Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,SOS_iterative_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,AYSO 350 Alliance 2015 Boys Blue AYSO 350 Alliance,0.58,0.5804190741441941,1.0,0.7428932632291978,0.6592021074917725,0.5,0.5,30,0,Active,True,2025-10-02
2,AYSO 350 Alliance 2015 Boys White AYSO 350 Alliance,0.58,0.5797148414735491,1.0,0.6202219725592072,0.778352234808538,0.5,0.5,30,0,Active,True,2025-09-29
3,AYSO United (AZ) 2015 Boys Black AYSO United (AZ),0.577,0.5772094373842938,1.0,0.7569695228116486,0.6290776641098205,0.5,0.5,30,0,Active,True,2025-10-05
4,AYSO United (AZ) 2015 Boys Blue AYSO United (AZ),0.564,0.564077526435653,1.0,0.6858483656717919,0.6345392665064727,0.5,0.5,30,0,Active,True,2025-09-22
5,AYSO United (AZ) 2015 Boys Red AYSO United (AZ),0.562,0.5624122708588561,1.0,0.7017940973232101,0.6102672569710703,0.5,0.5,30,0,Active,True,2025-09-30
6,AYSO United (AZ) 2015 Boys White AYSO United (AZ),0.555,0.5548450654145929,1.0,0.49749751839324646,0.7767278086797179,0.5,0.5,30,0,Active,True,2025-10-06
7,AZ Arsenal Soccer Club 2015 Boys Black AZ Arsenal Soccer Club,0.552,0.5516109482555254,1.0,0.7223113899879092,0.5357433512897175,0.5,0.5,30,0,Active,True,2025-10-09
8,AZ Arsenal Soccer Club 2015 Boys Blue AZ Arsenal Soccer Club,0.551,0.5512934413250744,1.0,0.6847689836088443,0.5716982230165277,0.5,0.5,30,0,Active,True,2025-10-01
9,AZ Arsenal Soccer Club 2015 Boys Red AZ Arsenal Soccer Club,0.551,0.5505840539572437,1.0,0.42303899744884305,0.8298812723373754,0.5,0.5,30,0,Active,True,2025-09-26
10,AZ Arsenal Soccer Club 2015 Boys White AZ Arsenal Soccer Club,0.549,0.5485076925353439,1.0,0.6858483656717916,0.5566900970049281,0.5,0.5,30,0,Active,True,2025-10-05
11,AZ Inferno 2015 Boys AZ Inferno,0.547,0.5466879094571188,1.0,0.640048712184755,0.5933908351008388,0.5,0.5,30,0,Active,True,2025-09-18
12,Amore Soccer 2015 Boys Amore Soccer,0.544,0.5444075494501577,1.0,0.5461644430758776,0.675873304174911,0.5,0.5,30,0,Active,True,2025-09-21
13,Arizona Soccer Academy 2015 Boys Arizona Soccer Academy,0.544,0.5437916941533102,1.0,0.40845153006066437,0.8105069407058866,0.5,0.5,30,0,Active,True,2025-10-02
14,Arizona Soccer Club 2015 Boys Black Arizona Soccer Club,0.543,0.54306864992603,1.0,0.7182780049162225,0.4970652447139272,0.5,0.5,30,0,Active,True,2025-10-09
15,Arizona Soccer Club 2015 Boys Blue Arizona Soccer Club,0.543,0.5426055530064107,1.0,0.5927572172593326,0.620270547772721,0.5,0.5,30,0,Active,True,2025-10-07
16,Arizona Soccer Club 2015 Boys Red Arizona Soccer Club,0.541,0.5410998614726004,1.0,0.7943504697948487,0.41114883756815307,0.5,0.5,30,0,Active,True,2025-10-08
17,Arizona Soccer Club 2015 Boys White Arizona Soccer Club,0.541,0.5410544602669909,1.0,0.7351714342639658,0.4701008670709887,0.5,0.5,30,0,Active,True,2025-10-09
18,Bala FC 2015 Boys Blue Bala FC,0.541,0.5409362139996046,1.0,0.6260985473567184,0.578582522641304,0.5,0.5,30,0,Active,True,2025-10-02
19,Bala FC 2015 Boys White Bala FC,0.539,0.5392910497581718,1.0,0.4837394698579937,0.712715778932865,0.5,0.5,30,0,Active,True,2025-10-05
20,Brazas Futebol Club 2015 Boys Brazas Futebol Club,0.538,0.5381131362882031,1.0,0.726309032730733,0.4642566487102825,0.5,0.5,30,0,Active,True,2025-10-04
21,CCV STARS 2015 Boys Blue CCV STARS,0.538,0.5376861814294789,1.0,0.5187599582520677,0.6696709488953266,0.5,0.5,30,0,Active,True,2025-10-05
22,CCV STARS 2015 Boys Red CCV STARS,0.535,0.5353876548947706,1.0,0.5337324656024701,0.6432058088713828,0.5,0.5,30,0,Active,True,2025-09-15
23,CCV STARS 2015 Boys White CCV STARS,0.535,0.5354198752835215,1.0,0.48498949688449977,0.6921098795331077,0.5,0.5,30,0,Active,True,2025-10-03
24,Canyon Del Oro Soccer Club 2015 Boys Black Canyon Del Oro Soccer Club,0.533,0.5332946464744281,1.0,0.6214001734614554,0.5450730589106857,0.5,0.5,30,0,Active,True,2025-10-03
25,Canyon Del Oro Soccer Club 2015 Boys Blue Canyon Del Oro Soccer Club,0.533,0.5330570116053877,1.0,0.5867025353856345,0.578582522641304,0.5,0.5,30,0,Active,True,2025-09-30
26,Canyon Del Oro Soccer Club 2015 Boys Red Canyon Del Oro Soccer Club,0.532,0.5320070480932297,1.0,0.5757389277439426,0.5842963127222061,0.5,0.5,30,0,Active,True,2025-10-09
27,Canyon Del Oro Soccer Club 2015 Boys White Canyon Del Oro Soccer Club,0.531,0.5314678723692059,1.0,0.4267079881767577,0.7306313736692718,0.5,0.5,30,0,Active,True,2025-10-08
28,Dynamos SC 2015 Boys Blue Dynamos SC,0.529,0.5287826125540943,1.0,0.5745159260744466,0.5693971366960251,0.5,0.5,30,0,Active,True,2025-09-27
29,Dynamos SC 2015 Boys Red Dynamos SC,0.529,0.5291305720704558,1.0,0.4575598228833482,0.6880930374689305,0.5,0.5,30,0,Active,True,2025-09-19
30,Dynamos SC 2015 Boys White Dynamos SC,0.528,0.5283109404441558,1.0,0.4072427827406673,0.734311919480112,0.5,0.5,30,0,Active,True,2025-10-02
31,East Valley/NSFC 2015 Boys East Valley/NSFC,0.527,0.5272753803171129,1.0,0.5854883840645485,0.5508885175210161,0.5,0.5,30,0,Active,True,2025-10-09
32,Epic Soccer Club 2015 Boys Blue Epic Soccer Club,0.527,0.5266866254116518,1.0,0.45755982288334834,0.675873304174911,0.5,0.5,30,0,Active,True,2025-10-01
33,Epic Soccer Club 2015 Boys Red Epic Soccer Club,0.524,0.5240059065493863,1.0,0.6627728706621276,0.4572566620848035,0.5,0.5,30,0,Active,True,2025-10-07
34,Epic Soccer Club 2015 Boys White Epic Soccer Club,0.524,0.5235021230951546,1.0,0.4700060261623093,0.6475045893134637,0.5,0.5,30,0,Active,True,2025-09-29
35,Excel Soccer Academy 2015 Boys Blue Excel Soccer Academy,0.522,0.5219281533208022,1.0,0.46751329828073324,0.6421274683232777,0.5,0.5,30,0,Active,True,2025-10-07
36,Excel Soccer Academy 2015 Boys White Excel Soccer Academy,0.521,0.520641779863731,1.0,0.631938152280692,0.4712707470379629,0.5,0.5,30,0,Active,True,2025-10-02
37,FBSL 2015 Boys Blue FBSL,0.521,0.5206043376416855,1.0,0.5696149370442042,0.5334067511642231,0.5,0.5,30,0,Active,True,2025-10-09
38,FBSL 2015 Boys Red FBSL,0.52,0.5203050856093203,1.0,0.5915484699393353,0.5099769581072662,0.5,0.5,30,0,Active,True,2025-10-05
39,FBSL 2015 Boys White FBSL,0.52,0.5195705769112041,1.0,0.5867025353856348,0.5111503491703858,0.5,0.5,30,0,Active,True,2025-10-06
40,FC Arizona 2015 Boys Black FC Arizona,0.519,0.5191244913955566,1.0,0.6901457541186775,0.4054767028591056,0.5,0.5,30,0,Active,True,2025-10-08
41,FC Arizona 2015 Boys Blue FC Arizona,0.519,0.5193665921902068,1.0,0.6627728706621274,0.43406009028890635,0.5,0.5,30,0,Active,True,2025-10-03
42,FC Arizona 2015 Boys Red FC Arizona,0.519,0.519332672231454,1.0,0.4987487513607368,0.5979146097965329,0.5,0.5,30,0,Active,True,2025-10-05
43,FC Arizona 2015 Boys White FC Arizona,0.518,0.5179111233871327,1.0,0.5842731933035452,0.5052824236321182,0.5,0.5,30,0,Active,True,2025-09-29
44,FC Batavia 2015 Boys FC Batavia,0.518,0.5179975063571489,1.0,0.5,0.5899875317857444,0.5,0.5,30,0,Active,True,2025-10-05
45,FC Deportivo Arizona 2015 Boys Blue FC Deportivo Arizona,0.517,0.5165343682082759,1.0,0.6760626761422183,0.40660916489916155,0.5,0.5,30,0,Active,True,2025-10-02
46,FC Deportivo Arizona 2015 Boys White FC Deportivo Arizona,0.517,0.5172669967438175,1.0,0.593964842779767,0.4923701409393203,0.5,0.5,30,0,Active,True,2025-10-04
47,FC Elite Arizona 2015 Boys Black FC Elite Arizona,0.517,0.5170112381568761,1.0,0.5903386144164987,0.4947175763678816,0.5,0.5,30,0,Active,True,2025-10-07
48,FC Elite Arizona 2015 Boys Blue FC Elite Arizona,0.517,0.5166461287551973,1.0,0.4012161431912098,0.682014500584777,0.5,0.5,30,0,Active,True,2025-10-08
49,FC Elite Arizona 2015 Boys Red FC Elite Arizona,0.516,0.5163006311959095,1.0,0.5075069433675011,0.5739962126120467,0.5,0.5,30,0,Active,True,2025-10-06
50,FC Elite Arizona 2015 Boys White FC Elite Arizona,0.516,0.5159164863363475,1.0,0.43529973153688356,0.6442827001448541,0.5,0.5,30,0,Active,True,2025-10-06
51,FC Sonora 2015 Boys Black FC Sonora,0.515,0.515250693348364,1.0,0.6594087810857245,0.4168446856560957,0.5,0.5,30,0,Active,True,2025-10-05
52,FC Sonora 2015 Boys Blue FC Sonora,0.515,0.5147055000583547,1.0,0.45880232060589243,0.614725179685881,0.5,0.5,30,0,Active,True,2025-10-09
53,FC Sonora 2015 Boys Red FC Sonora,0.514,0.5135736469200463,1.0,0.5461644430758776,0.5217037915243534,0.5,0.5,30,0,Active,True,2025-10-03
54,FC Sonora 2015 Boys White FC Sonora,0.514,0.5138391482819549,1.0,0.4974975183932467,0.5716982230165275,0.5,0.5,30,0,Active,True,2025-10-07
55,FC Tucson Youth Soccer 2015 Boys Blue FC Tucson Youth Soccer,0.512,0.5115077891342384,1.0,0.7476439898566661,0.30989495581452625,0.5,0.5,30,0,Active,True,2025-10-09
56,FC Tucson Youth Soccer 2015 Boys White FC Tucson Youth Soccer,0.511,0.5111679427530638,1.0,0.5634695728259985,0.4923701409393203,0.5,0.5,30,0,Active,True,2025-10-06
57,Flagstaff SC 2015 Boys Flagstaff SC,0.511,0.5108511565298762,1.0,0.5150105031155001,0.5392452795338811,0.5,0.5,30,0,Active,True,2025-09-28
58,Kingman SC 2015 Boys Kingman SC,0.509,0.5086564891211253,1.0,0.5708415029183468,0.4724409426872796,0.5,0.5,30,0,Active,True,2025-09-29
59,La Academia FC 2015 Boys Black La Academia FC,0.508,0.5078806193168853,1.0,0.33054841564628157,0.7088546809381452,0.5,0.5,30,0,Active,True,2025-10-03
60,La Academia FC 2015 Boys Blue La Academia FC,0.507,0.5074304539471143,1.0,0.673866612608579,0.36328565712699235,0.5,0.5,30,0,Active,True,2025-10-07
61,La Academia FC 2015 Boys Red La Academia FC,0.507,0.507029284342766,1.0,0.5087578629544918,0.5263885587593378,0.5,0.5,30,0,Active,True,2025-10-08
62,La Academia FC 2015 Boys White La Academia FC,0.506,0.5055811700280354,1.0,0.42548407392555326,0.6024217762146236,0.5,0.5,30,0,Active,True,2025-10-07
63,Madison FC 2015 Boys Blue Madison FC,0.506,0.5058625887017949,1.0,0.37859982653854446,0.6507131169704302,0.5,0.5,30,0,Active,True,2025-10-09
64,Madison FC 2015 Boys White Madison FC,0.503,0.5029963591902605,1.0,0.5050048378440364,0.5099769581072664,0.5,0.5,30,0,Active,True,2025-09-30
65,Next Level Soccer (AZ) 2015 Boys Next Level Soccer (AZ),0.503,0.5025004314766774,1.0,0.30558945019885897,0.7069127071845285,0.5,0.5,30,0,Active,True,2025-09-22
66,North Scottsdale Soccer Club 2015 Boys North Scottsdale Soccer Club,0.502,0.5022300698340773,1.0,0.5,0.5111503491703864,0.5,0.5,30,0,Active,True,2025-10-06
67,Paladin Soccer Club 2015 Boys Blue Paladin Soccer Club,0.502,0.501840833071781,1.0,0.45135555404615013,0.557848611312755,0.5,0.5,30,0,Active,True,2025-09-28
68,Paladin Soccer Club 2015 Boys Red Paladin Soccer Club,0.501,0.5010003105333869,1.0,0.6503596858820673,0.35464186678486687,0.5,0.5,30,0,Active,True,2025-10-08
69,Paladin Soccer Club 2015 Boys White Paladin Soccer Club,0.5,0.5003472838416461,1.0,0.2766858357403251,0.7250505834679051,0.5,0.5,30,0,Active,True,2025-10-04
70,Paris Saint-Germain Academy Phoenix 2015 Boys Blue Paris Saint-Germain Academy Phoenix,0.499,0.49925963706635945,1.0,0.562238095042891,0.4340600902889062,0.5,0.5,30,0,Active,True,2025-10-08
71,Paris Saint-Germain Academy Phoenix 2015 Boys White Paris Saint-Germain Academy Phoenix,0.499,0.499149695603581,1.0,0.5535970893306601,0.44215138868724513,0.5,0.5,30,0,Active,True,2025-10-05
72,Phoenix Premier FC 2015 Boys Black Phoenix Premier FC,0.499,0.4992557547176676,1.0,0.4488779651550764,0.5474008084332616,0.5,0.5,30,0,Active,True,2025-09-27
73,Phoenix Premier FC 2015 Boys Blue Phoenix Premier FC,0.498,0.4975982109877717,1.0,0.5585391159347245,0.42945193900413386,0.5,0.5,30,0,Active,True,2025-10-05
74,Phoenix Premier FC 2015 Boys Red Phoenix Premier FC,0.497,0.4966075863815738,1.0,0.6880011034739336,0.2950368284339356,0.5,0.5,30,0,Active,True,2025-10-06
75,Phoenix Premier FC 2015 Boys White Phoenix Premier FC,0.496,0.4959078534661203,1.0,0.44146088406527517,0.5380783832653264,0.5,0.5,30,0,Active,True,2025-10-06
76,Phoenix Rising FC 2015 Boys Blue Phoenix Rising FC,0.495,0.495479253042726,1.0,0.6119355317201026,0.3654607334935273,0.5,0.5,30,0,Active,True,2025-10-07
77,Phoenix Rising FC 2015 Boys Red Phoenix Rising FC,0.494,0.494170152046666,1.0,0.45383555692412236,0.5170152033092075,0.5,0.5,30,0,Active,True,2025-10-02
78,Phoenix Rising FC 2015 Boys White Phoenix Rising FC,0.494,0.4942337312242664,1.0,0.4377619049571088,0.5334067511642231,0.5,0.5,30,0,Active,True,2025-10-07
79,Phoenix Rush 2015 Boys Blue Phoenix Rush,0.493,0.4930311128443826,1.0,0.5720671993151013,0.39308836490681176,0.5,0.5,30,0,Active,True,2025-10-08
80,Phoenix Rush 2015 Boys White Phoenix Rush,0.493,0.4925450508450322,1.0,0.4060351572202329,0.5566900970049281,0.5,0.5,30,0,Active,True,2025-10-02
81,Phoenix United Futbol Club 2015 Boys Phoenix United Futbol Club,0.492,0.49155941410468845,1.0,0.576961002551157,0.3808360679722853,0.5,0.5,30,0,Active,True,2025-10-04
82,Pima County Surf Soccer Club 2015 Boys Pima County Surf Soccer Club,0.491,0.49146719307471226,1.0,0.6249261424221699,0.3324098229513914,0.5,0.5,30,0,Active,True,2025-10-04
83,Playmaker Futbol Academy 2015 Boys Playmaker Futbol Academy,0.49,0.4900897688610857,1.0,0.5806215236697269,0.36982732063570156,0.5,0.5,30,0,Active,True,2025-09-28
84,RSL-AZ North 2015 Boys Black RSL-AZ North,0.49,0.48999222053704317,1.0,0.5262521132849753,0.4237089894002406,0.5,0.5,30,0,Active,True,2025-09-29
85,RSL-AZ North 2015 Boys Blue RSL-AZ North,0.488,0.4883750173868942,1.0,0.49624631676851627,0.4456287701659547,0.5,0.5,30,0,Active,True,2025-10-03
86,RSL-AZ North 2015 Boys Red RSL-AZ North,0.487,0.48662024940108867,1.0,0.4501164503146507,0.4829847966907927,0.5,0.5,30,0,Active,True,2025-10-02
87,RSL-AZ North 2015 Boys White RSL-AZ North,0.487,0.4869471561640003,1.0,0.30346942403050015,0.6312663567895016,0.5,0.5,30,0,Active,True,2025-10-02
88,RSL-AZ South 2015 Boys Blue RSL-AZ South,0.486,0.48623177569308024,1.0,0.6457937021543215,0.2853651763110797,0.5,0.5,30,0,Active,True,2025-10-02
89,RSL-AZ South 2015 Boys Red RSL-AZ South,0.486,0.48646713742594055,1.0,0.47624412571221225,0.4560915614174906,0.5,0.5,30,0,Active,True,2025-10-07
90,RSL-AZ South 2015 Boys White RSL-AZ South,0.486,0.4857953292752884,1.0,0.46004533082566157,0.4689313155507804,0.5,0.5,30,0,Active,True,2025-10-07
91,RSL-AZ West Valley 2015 Boys Blue RSL-AZ West Valley,0.485,0.4849684211697901,1.0,0.34397145089127834,0.5808706549576723,0.5,0.5,30,0,Active,True,2025-09-24
92,RSL-AZ West Valley 2015 Boys White RSL-AZ West Valley,0.483,0.4825261484065243,1.0,0.5037536832314835,0.40887705880113817,0.5,0.5,30,0,Active,True,2025-10-02
93,RSL-AZ Yuma 2015 Boys Black RSL-AZ Yuma,0.483,0.4830687343955974,1.0,0.29507312420526605,0.620270547772721,0.5,0.5,30,0,Active,True,2025-10-03
94,RSL-AZ Yuma 2015 Boys Blue RSL-AZ Yuma,0.482,0.48177506470988574,1.0,0.40241914662063694,0.5064561769287916,0.5,0.5,30,0,Active,True,2025-09-24
95,RSL-AZ Yuma 2015 Boys Red RSL-AZ Yuma,0.479,0.47911285663677083,1.0,0.5745159260744466,0.32104835710940755,0.5,0.5,30,0,Active,True,2025-10-06
96,RSL-AZ Yuma 2015 Boys White RSL-AZ Yuma,0.479,0.479034164095812,1.0,0.4588023206058922,0.4363684998731679,0.5,0.5,30,0,Active,True,2025-10-08
97,Real Arizona FC 2015 Boys Blue Real Arizona FC,0.478,0.4784190850951213,1.0,0.5112593575033213,0.3808360679722853,0.5,0.5,30,0,Active,True,2025-10-08
98,Real Arizona FC 2015 Boys Red Real Arizona FC,0.478,0.4780284427433622,1.0,0.3462337751343021,0.543908438582509,0.5,0.5,30,0,Active,True,2025-10-07
99,Real Arizona FC 2015 Boys White Real Arizona FC,0.477,0.4766943857758741,1.0,0.6400487121847552,0.24342321669461545,0.5,0.5,30,0,Active,True,2025-10-07
100,Renegades Soccer Club 2015 Boys Renegades Soccer Club,0.477,0.47672296533561537,1.0,0.544923574153594,0.3386912525244828,0.5,0.5,30,0,Active,True,2025-10-01
