Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status,LastGame
1,Cachimbas FC 2014,0.411,0.548,0.75,0.719,0.075,1.0,1,Provisional,2025-08-30
2,Park City SC B2014 Red,0.411,0.548,0.75,0.719,0.075,1.0,1,Provisional,2025-08-30
3,REAL AZ,0.395,0.527,0.75,1.0,0.133,0.408,3,Provisional,2025-07-20
4,EV-NSFC 15 Boys Perez(1),0.38,0.506,0.75,0.289,1.0,0.091,1,Provisional,2025-04-14
5,Temecula FC 2014 quails,0.376,0.501,0.75,0.858,0.022,0.686,1,Provisional,2025-05-31
6,SWSC B2014 ELITE,0.357,0.476,0.75,0.758,0.027,0.726,1,Provisional,2025-06-01
7,B2014 Blue,0.356,0.474,0.75,0.574,0.325,0.548,1,Provisional,2025-08-09
8,2014 Tuzos Academy FV,0.354,0.354,1.0,0.513,0.148,0.424,21,Active,2025-10-04
9,14,0.346,0.346,1.0,0.489,0.084,0.523,62,Active,2025-09-28
10,AZSC 2014B Azanger- Indoor Only,0.333,0.444,0.75,0.813,0.091,0.419,2,Provisional,2025-07-14
11,South County B2013,0.333,0.444,0.75,0.385,0.492,0.459,1,Provisional,2025-08-24
12,Scottsdale 14 Sandsharks,0.333,0.333,1.0,0.358,0.24,0.434,30,Active,2025-04-19
13,Playmaker Futbol Academy 13B Black,0.326,0.362,0.9,0.448,0.098,0.627,12,Active,2025-04-25
14,Southeast 2014 Boys Black,0.324,0.324,1.0,0.376,0.097,0.586,30,Active,2025-09-14
15,FC Deportivo AZ 2014B (Gallegos),0.321,0.321,1.0,0.448,0.072,0.503,24,Active,2025-10-04
16,Scottsdale 14 Sandsharks Select,0.319,0.319,1.0,0.337,0.231,0.425,31,Active,2025-10-04
17,AZSC 13B Vargas Pre-E64RL,0.316,0.422,0.75,0.501,0.375,0.373,1,Provisional,2025-04-27
18,AZ Arsenal Pre-ECNL B14,0.316,0.316,1.0,0.352,0.098,0.587,51,Active,2025-09-28
19,2014B West,0.314,0.314,1.0,0.401,0.096,0.509,66,Active,2025-09-28
20,AZ Arsenal Pre-ECNL B15,0.311,0.311,1.0,0.419,0.081,0.495,39,Active,2025-09-28
21,BRAZAS FC 2015 Boys Black,0.306,0.34,0.9,0.483,0.128,0.445,12,Active,2025-09-27
22,Real Arizona 2014,0.306,0.306,1.0,0.385,0.109,0.481,47,Active,2025-04-27
23,State 48 FC Avondale 13 Copper,0.302,0.402,0.75,0.408,0.224,0.661,3,Provisional,2025-09-28
24,FC Elite Arizona 2014 Boys - Martinez,0.3,0.333,0.9,0.44,0.182,0.399,10,Active,2025-09-28
25,AZSC 14B Perez,0.3,0.3,1.0,0.362,0.1,0.508,56,Active,2025-04-27
26,Rebels FC 2014,0.299,0.399,0.75,0.685,0.175,0.305,2,Provisional,2025-10-04
27,Rey Del Castillo FC Black,0.299,0.399,0.75,0.401,0.022,0.96,3,Provisional,2025-09-27
28,Next Level Soccer Southeast 2014 Boys Blue,0.299,0.299,1.0,0.378,0.072,0.52,30,Active,2025-04-13
29,14 ECNL #1,0.298,0.298,1.0,0.361,0.132,0.452,39,Active,2025-05-25
30,14B GSA,0.298,0.298,1.0,0.301,0.123,0.556,51,Active,2025-09-28
31,Phoenix United 14 Elite,0.296,0.395,0.75,0.484,0.191,0.566,8,Active,2025-04-13
32,ALBION SC San Diego B14 Academy III,0.296,0.394,0.75,0.425,0.099,0.788,1,Provisional,2025-08-09
33,AZSC 2015B Navy,0.294,0.392,0.75,0.711,0.055,0.419,2,Provisional,2025-07-21
34,14B Velasco Pre-MLS Next,0.293,0.293,1.0,0.335,0.121,0.487,21,Active,2025-04-13
35,Tuzos Royals 2014,0.293,0.293,1.0,0.265,0.088,0.643,89,Active,2025-10-04
36,B14 EA,0.292,0.39,0.75,0.329,0.381,0.494,1,Provisional,2025-08-08
37,Excel Soccer Academy 14 Red,0.292,0.292,1.0,0.314,0.106,0.537,34,Active,2025-05-04
38,2014 Elite,0.29,0.322,0.9,0.434,0.166,0.39,16,Active,2025-09-28
39,PRFC Scottsdale 14B Pre-Academy,0.29,0.29,1.0,0.355,0.119,0.45,61,Active,2025-10-05
40,14 Pre-MLSN #1,0.29,0.29,1.0,0.326,0.11,0.506,39,Active,2025-10-04
41,Phoenix United 2014B West,0.287,0.319,0.9,0.443,0.107,0.45,15,Active,2025-04-19
42,AZEV B2014 (WHITE),0.287,0.287,1.0,0.4,0.067,0.446,45,Active,2025-09-27
43,Catalyst 14 N,0.286,0.381,0.75,0.572,0.016,0.644,1,Provisional,2025-05-16
44,Phoenix Premier FC 14B CG,0.286,0.286,1.0,0.369,0.131,0.395,22,Active,2025-05-03
45,Southeast 2013 Boys Green,0.285,0.38,0.75,0.498,0.074,0.661,3,Provisional,2025-09-28
46,Madison FC 14 Gold Boys,0.285,0.285,1.0,0.351,0.13,0.417,49,Active,2025-10-04
47,West Valley 2014 Boys Martinez Pre-Elite64,0.285,0.285,1.0,0.318,0.095,0.519,50,Active,2025-04-27
48,PRFC Desert Foothills 14B Pre-Academy,0.283,0.283,1.0,0.327,0.083,0.518,55,Active,2025-10-05
49,Southeast 2014 Boys Blue,0.283,0.283,1.0,0.322,0.085,0.521,40,Active,2025-10-04
50,Excel Soccer Academy 14B Red,0.283,0.283,1.0,0.286,0.107,0.542,40,Active,2025-10-05
51,South County Fury B2014,0.281,0.375,0.75,0.506,0.01,0.726,1,Provisional,2025-05-31
52,Phoenix Premier FC 14B X-Factor,0.281,0.281,1.0,0.334,0.16,0.383,31,Active,2025-09-21
53,Madison FC 14 Gold Boys Storm,0.281,0.281,1.0,0.315,0.15,0.427,35,Active,2025-04-26
54,AZEV B2014 (NAVY),0.28,0.28,1.0,0.315,0.138,0.44,54,Active,2025-09-27
55,Dynamos SC 14B SC,0.28,0.28,1.0,0.273,0.124,0.523,42,Active,2025-09-28
56,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,0.279,0.372,0.75,0.571,0.087,0.503,3,Provisional,2025-09-14
57,PSG 14B Blue,0.279,0.279,1.0,0.346,0.118,0.421,44,Active,2025-10-04
58,Legends FC AZ 14B FC,0.279,0.279,1.0,0.269,0.129,0.519,37,Active,2025-05-04
59,FC Elite Arizona 2014 Boys (ARCHIVED),0.275,0.275,1.0,0.304,0.133,0.444,47,Active,2025-06-01
60,"ARCOS FC , CHALLENGERS",0.273,0.364,0.75,0.207,0.457,0.462,1,Provisional,2025-06-15
61,AZ Arsenal 15 Boys Teal 1 JZ,0.272,0.272,1.0,0.341,0.086,0.448,25,Active,2025-04-26
62,Next Level Soccer Southeast 2014 Boys Red,0.271,0.271,1.0,0.265,0.085,0.56,36,Active,2025-04-19
63,NOS Santos 14 Boys Blue,0.27,0.27,1.0,0.319,0.065,0.506,37,Active,2025-10-04
64,14 ECNL #2,0.27,0.27,1.0,0.308,0.123,0.433,40,Active,2025-05-25
65,14B Velasco,0.269,0.269,1.0,0.226,0.114,0.565,38,Active,2025-09-27
66,Southeast 2014 Boys Red,0.268,0.268,1.0,0.254,0.085,0.563,47,Active,2025-10-05
67,AZ Arsenal 14 Boys Flagstaff,0.267,0.356,0.75,0.289,0.661,0.0,1,Provisional,2025-09-13
68,Excel Soccer Academy 14B Black,0.266,0.266,1.0,0.325,0.101,0.426,21,Active,2025-10-04
69,AZSC 2014B Pre-NL Premier 2,0.266,0.266,1.0,0.287,0.141,0.424,38,Active,2025-09-20
70,14B Jimmy,0.266,0.266,1.0,0.274,0.113,0.482,31,Active,2025-04-27
71,RSL-AZ Yuma 14 Boys Quinonez,0.265,0.265,1.0,0.341,0.063,0.453,26,Active,2025-10-04
72,Phoenix Premier FC 14B SW Black,0.264,0.264,1.0,0.341,0.111,0.379,28,Active,2025-09-28
73,15B AChacon Pre-MLS Next,0.26,0.347,0.75,0.422,0.146,0.537,6,Active,2025-09-28
74,East Valley NSFC 14 Boys Aguirre,0.26,0.26,1.0,0.27,0.072,0.528,59,Active,2025-09-20
75,AZ Arsenal 13 Boys Teal 1,0.259,0.346,0.75,0.455,0.048,0.631,2,Provisional,2025-04-12
