Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength
13 Boys Navy,2025-05-25,Playmaker Futbol Academy 14B Black,1,3,-2,-1.0,-1.0,neutral,0.204
13 Boys Navy,2025-03-15,CCV Stars 14 Boys West Pre-ECNL,2,9,-7,-3.5,-3.5,weak,0.194
13 Boys Navy,2024-05-25,FSC United 14 Boys,8,1,7,3.5,3.5,good,0.122
13 Boys Navy,2024-04-28,14B Moyer,2,5,-3,-1.5,-1.5,weak,0.197
13B Flores,2025-04-13,CCV Stars 14 Boys West Pre-ECNL,4,0,4,2.0,2.0,good,0.194
13B Flores,2024-11-09,Deportivo Mexico 14B,7,0,7,3.5,3.5,good,0.158
13B Flores,2024-09-15,14B GSA,3,1,2,1.0,1.0,neutral,0.309
13B Flores,2024-09-14,Playmaker Futbol Academy PRE-ECNL B14,3,2,1,0.5,0.5,neutral,0.207
14,2025-09-28,AZ Arsenal Pre-ECNL B14,0,3,-3,-1.5,-1.5,weak,0.293
14,2025-09-28,State 48 FC Avondale 13 Copper,0,6,-6,-3.0,-3.0,weak,0.625
14,2025-09-27,Southeast 2013 Boys Green,0,6,-6,-3.0,-3.0,weak,0.313
14,2025-09-26,2014B West,0,0,0,0.0,0.0,neutral,0.31
14,2025-09-07,2014B West,0,7,-7,-3.5,-3.5,weak,0.31
14,2025-09-06,PRFC North Valley 13B Predator,1,0,1,0.5,0.5,neutral,0.153
14,2025-09-06,AZ Arsenal 13 Boys Flagstaff,0,0,0,0.0,0.0,neutral,0.217
14,2025-04-13,AZ Arsenal Pre-ECNL B14,4,3,1,0.5,0.5,neutral,0.293
14,2025-04-12,Next Level Soccer Southeast 2014 Boys Blue,5,3,2,1.0,1.0,neutral,0.26
14,2025-04-12,Southeast 2014 Boys Blue,5,3,2,1.0,1.0,neutral,0.258
14,2025-04-12,Next Level Soccer Southeast 2014 Boys Red,2,1,1,0.5,0.5,neutral,0.235
14,2025-04-12,Southeast 2014 Boys Red,2,1,1,0.5,0.5,neutral,0.231
14,2025-03-09,Madison FC 14 Gold Boys Storm,3,3,0,0.0,0.0,neutral,0.346
14,2025-03-09,Madison FC 14 Gold Boys,3,3,0,0.0,0.0,neutral,0.337
14,2025-03-08,14B JCFresquez Pre-MLS Next,2,1,1,0.5,0.5,neutral,0.198
14,2025-03-08,14B Antunez Pre-MLS Next,2,1,1,0.5,0.5,neutral,0.178
14,2025-03-01,AZEV B2014 (NAVY),4,8,-4,-2.0,-2.0,weak,0.331
14,2025-02-22,Tuzos Titanes 2014,12,0,12,6.0,6.0,good,0.14
14,2025-02-22,14B JCFresquez Pre-MLS Next,7,2,5,2.5,2.5,good,0.198
14,2025-02-22,14B Antunez Pre-MLS Next,7,2,5,2.5,2.5,good,0.178
14,2025-02-15,Legends FC AZ 14B Gold,9,1,8,4.0,4.0,good,0.186
14,2025-02-15,Dynamos SC 14B Gold,9,1,8,4.0,4.0,good,0.182
14,2025-02-08,PRFC Southeast Valley 14B Pre-Academy,7,1,6,3.0,3.0,good,0.162
14,2025-02-01,East Valley NSFC 14 Boys Aguirre,8,1,7,3.5,3.5,good,0.215
14,2025-01-26,Next Level Soccer Southeast 2014 Boys Red,4,2,2,1.0,1.0,neutral,0.235
14,2025-01-26,Southeast 2014 Boys Red,4,2,2,1.0,1.0,neutral,0.231
14,2025-01-25,Phoenix Premier FC 14B Black,7,1,6,3.0,3.0,good,0.181
14,2025-01-25,14B Jimmy,8,5,3,1.5,1.5,good,0.282
14,2025-01-25,14B Velasco,8,5,3,1.5,1.5,good,0.259
14,2025-01-24,2014B West,6,3,3,1.5,1.5,good,0.31
14,2025-01-11,14B Engilman,4,1,3,1.5,1.5,good,0.203
14,2025-01-04,14B JCFresquez Pre-MLS Next,3,5,-2,-1.0,-1.0,neutral,0.198
14,2025-01-04,14B Antunez Pre-MLS Next,3,5,-2,-1.0,-1.0,neutral,0.178
14,2024-12-08,2014B West,1,4,-3,-1.5,-1.5,weak,0.31
14,2024-12-07,NOS Santos 14 Boys Blue,5,2,3,1.5,1.5,good,0.224
14,2024-12-07,PRFC West Valley 14B Pre-Academy,6,0,6,3.0,3.0,good,0.176
14,2024-11-24,AZSC 14B Perez,6,3,3,1.5,1.5,good,0.298
14,2024-11-24,VSC 2014 Boys Green,10,2,8,4.0,4.0,good,0.214
14,2024-11-23,RSL-AZ Yuma 14 Boys Quinonez,9,2,7,3.5,3.5,good,0.23
14,2024-11-23,Next Level Soccer Southeast 2014 Boys Blue,8,5,3,1.5,1.5,good,0.26
14,2024-11-23,Southeast 2014 Boys Blue,8,5,3,1.5,1.5,good,0.258
14,2024-11-03,AZ Arsenal 15 Boys Teal 1 JZ,4,1,3,1.5,1.5,good,0.267
14,2024-11-03,Legends FC AZ 14B Gold,5,2,3,1.5,1.5,good,0.186
14,2024-11-03,AZ Arsenal Pre-ECNL B15,4,1,3,1.5,1.5,good,0.293
14,2024-11-03,Dynamos SC 14B Gold,5,2,3,1.5,1.5,good,0.182
14,2024-11-02,Playmaker Futbol Academy 14B Gold,7,0,7,3.5,3.5,good,0.165
14,2024-11-02,Playmaker Futbol Academy 14B Black,7,0,7,3.5,3.5,good,0.204
14,2024-11-02,PRFC Desert Foothills 14B Pre-Academy,3,2,1,0.5,0.5,neutral,0.257
14,2024-10-27,PRFC Scottsdale 14B Pre-Academy,7,4,3,1.5,1.5,good,0.322
14,2024-10-26,Phoenix Premier FC 14B Black,6,5,1,0.5,0.5,neutral,0.181
14,2024-10-26,PRFC Southeast Valley 14B Predator,5,2,3,1.5,1.5,good,0.163
14,2024-10-25,PRFC Scottsdale 14B Pre-Academy,5,3,2,1.0,1.0,neutral,0.322
14,2024-10-24,PRFC Southeast Valley 14B Pre-Academy,8,1,7,3.5,3.5,good,0.162
14,2024-10-19,AZEV B2014 (NAVY),4,2,2,1.0,1.0,neutral,0.331
14,2024-10-13,AZ Arsenal 14 Boys Teal 1,5,4,1,0.5,0.5,neutral,0.194
14,2024-10-12,East Valley NSFC 14 Boys Aguirre,6,1,5,2.5,2.5,good,0.215
14,2024-10-12,PRFC North Valley 14B Predator,7,2,5,2.5,2.5,good,0.187
14,2024-09-28,PRFC North Valley 14B Predator,5,2,3,1.5,1.5,good,0.187
14,2024-09-21,Tuzos Halcones 2014,8,0,8,4.0,4.0,good,0.204
14,2024-09-14,Legends FC AZ 14B Black,8,2,6,3.0,3.0,good,0.227
14,2024-09-01,Madison FC 14 Blue Boys,9,0,9,4.5,4.5,good,0.226
14,2024-08-31,PSG 14B Blue,6,3,3,1.5,1.5,good,0.315
14 Boys Navy,2025-09-20,2014 Boys Yellow,2,6,-4,-2.0,-2.0,weak,0.227
14 Boys Navy,2025-09-06,Havasu Lions FC 14B Castillo,5,1,4,2.0,2.0,good,0.127
14 Boys Navy,2025-04-05,AZ Arsenal 14 Boys Teal SC,2,4,-2,-1.0,-1.0,neutral,0.21
14 Boys Navy,2025-04-05,AZ Arsenal 14 Boys Teal 2 SC,2,4,-2,-1.0,-1.0,neutral,0.201
14 Boys Navy,2025-03-23,CCV STARS 14 Boys Navy LAV,5,1,4,2.0,2.0,good,0.127
14 Boys Navy,2025-03-23,CCV Stars 14 Boys South Orange,5,1,4,2.0,2.0,good,0.147
14 Boys Navy,2025-03-22,Real Arizona 2014,0,8,-8,-4.0,-4.0,weak,0.322
14 Boys Navy,2025-03-22,PRFC Southeast Valley 14B Predator-Central,0,0,0,0.0,0.0,neutral,0.168
