Team,Goals For,Opponent,Goals Against,Date
14 Boys Navy,2,2014 Boys Yellow,6,2025-09-20
14 Boys Navy,1,Playmaker Futbol Academy 14B Black,3,2025-05-25
14 Boys Navy,1,Synergy FC 14 B,0,2025-04-27
14 Boys Navy,1,Milan,2,2025-04-26
14 Boys Navy,0,Madison FC 14 Gold Boys,4,2025-04-26
14 Boys Navy,0,14B Negrete Pre MLS Next,6,2025-04-13
14 Boys Navy,0,PRFC Scottsdale 14B Pre-Academy,4,2025-04-12
14 Boys Navy,1,PRFC Southeast Valley 14B Predator-Central,6,2025-04-05
14 Boys Navy,2,AZ Arsenal 14 Boys Teal SC,4,2025-04-05
14 Boys Navy,2,AZ Arsenal 14 Boys Teal SC,4,2025-04-05
14 Boys Navy,1,Brazas 2014 Boys Black Marcos,10,2025-04-05
14 Boys Navy,1,14 Boys Navy,5,2025-03-23
14 Boys Navy,5,CCV Stars 14 Boys South Orange,1,2025-03-23
14 Boys Navy,5,14 Boys Navy,1,2025-03-23
14 Boys Navy,0,Real Arizona 2014,8,2025-03-22
14 Boys Navy,1,State 48 FC Avondale 14 Black,3,2025-03-22
14 Boys Navy,0,PRFC Southeast Valley 14B Predator-Central,0,2025-03-22
14 Boys Navy,1,2014 Boys Blue,4,2025-03-21
14 Boys Navy,0,2014 Boys Yellow,0,2025-03-16
14 Boys Navy,2,14B Engilman,4,2025-03-15
14 Boys Navy,3,Tuzos Academy Mesa 2014,2,2025-03-15
14 Boys Navy,2,CCV Stars 14 Boys West Pre-ECNL,9,2025-03-15
14 Boys Navy,0,AZ Arsenal 14 Boys Teal MC,6,2025-03-08
14 Boys Navy,7,14B Rueda,0,2025-03-08
14 Boys Navy,2,U-12 (2014) Boys Pre Academy Blue,0,2025-03-02
14 Boys Navy,1,Monsters 2014,4,2025-03-01
14 Boys Navy,0,PRFC Scottsdale 14B Pre-Academy,7,2025-03-01
14 Boys Navy,2,West Valley 2014 Boys Martinez Pre-Elite64,0,2025-03-01
14 Boys Navy,3,CCV Stars 14 Boys East Pre-ECNL,11,2025-03-01
14 Boys Navy,4,Phoenix Premier FC 14B White,1,2025-02-22
14 Boys Navy,2,PRFC Scottsdale 14B Pre-Academy,4,2025-02-21
14 Boys Navy,3,2014 Boys Yellow,2,2025-02-15
14 Boys Navy,4,14B Midhaan,1,2025-02-15
14 Boys Navy,0,Phoenix United 2014 Academy,4,2025-02-15
14 Boys Navy,1,AZ Arsenal 14 Boys Select,3,2025-02-08
14 Boys Navy,0,Scottsdale 14 Sandsharks Black,0,2025-02-08
14 Boys Navy,1,PRFC West Valley 14B Predator,2,2025-02-01
14 Boys Navy,2,Legends FC AZ 14B Black,1,2025-02-01
14 Boys Navy,5,ASA 014B Magic,0,2025-02-01
14 Boys Navy,0,Scottsdale 14 Sandsharks Select,1,2025-01-25
14 Boys Navy,5,Hustle Hard 2014- Boys,1,2025-01-25
14 Boys Navy,1,Select 14B Red,1,2025-01-18
14 Boys Navy,6,FSC United 14 Boys,4,2025-01-18
14 Boys Navy,2,AZ Arsenal 14 Boys Teal CB,2,2025-01-12
14 Boys Navy,0,Amore 2014 Boys,6,2025-01-12
14 Boys Navy,2,14B Hermanson AL,0,2025-01-12
14 Boys Navy,0,AZEV B2014 (NAVY),4,2025-01-12
14 Boys Navy,2,2014 Boys Blue,3,2025-01-11
14 Boys Navy,0,Legends FC AZ 14B Black,4,2025-01-11
14 Boys Navy,1,West Valley 2014 Boys Martinez Pre-Elite64,4,2025-01-11
14 Boys Navy,5,PRFC North Valley 14B Predator,1,2025-01-10
14 Boys Navy,2,Phoenix United 2014 Premier,1,2024-12-14
14 Boys Navy,0,Amore 2014 Boys,4,2024-12-08
14 Boys Navy,0,Tuzos Halcones 2014,1,2024-12-08
14 Boys Navy,0,FC Elite Arizona 2014 Boys (ARCHIVED),8,2024-12-08
14 Boys Navy,3,2014 Boys Yellow,2,2024-12-08
14 Boys Navy,5,FC Deportivo AZ 2014B (Gallegos),5,2024-12-07
14 Boys Navy,3,2014 Boys Blue,4,2024-12-07
14 Boys Navy,5,PRFC North Valley 14B Copa,2,2024-12-07
14 Boys Navy,2,PRFC West Valley 14B Predator,4,2024-12-06
14 Boys Navy,0,CCV Stars 14 Boys North Navy,2,2024-12-06
14 Boys Navy,2,PSG 14B Blue,8,2024-11-24
14 Boys Navy,0,Phoenix United 2014 Premier,2,2024-11-23
14 Boys Navy,1,West Valley 2014 Boys Martinez Pre-Elite64,7,2024-11-23
14 Boys Navy,2,Phoenix United 2014 Academy,1,2024-11-23
14 Boys Navy,2,U-12 (2014) Boys Pre Academy Blue,3,2024-11-23
14 Boys Navy,0,AZSC 2014B Pre-NL Premier 2,4,2024-11-16
14 Boys Navy,2,PRFC Scottsdale 14B Pre-Academy,3,2024-11-16
14 Boys Navy,2,Select 14B Red,0,2024-11-10
14 Boys Navy,2,Select 14B Red,0,2024-11-10
14 Boys Navy,0,Phoenix United 2014 Academy,3,2024-11-10
14 Boys Navy,2,PRFC Southeast Valley 14B Predator-Central,1,2024-11-10
14 Boys Navy,3,CAC 14/15B (Conroy),1,2024-11-09
14 Boys Navy,5,14B Midhaan,1,2024-11-09
14 Boys Navy,2,Select 14B Red,2,2024-11-09
14 Boys Navy,3,AZSC 2014B Pre-NL Premier 2,2,2024-11-09
14 Boys Navy,2,Madison FC 14 Gold Boys,4,2024-11-09
14 Boys Navy,4,Synergy FC 14 B,1,2024-11-02
14 Boys Navy,2,Phoenix Valley Soccer Club boys 2014,8,2024-11-02
14 Boys Navy,2,Playmaker Futbol Academy 14B Gold,6,2024-10-27
14 Boys Navy,3,Tuzos Titanes 2014,3,2024-10-26
14 Boys Navy,1,PRFC Scottsdale 14B Predator,5,2024-10-26
14 Boys Navy,2,14B Midhaan,6,2024-10-25
14 Boys Navy,2,Select 14B,5,2024-10-19
14 Boys Navy,0,Madison FC 14 Gold Boys,4,2024-10-19
14 Boys Navy,3,AZ Arsenal 14 Boys Teal SC,1,2024-10-13
14 Boys Navy,5,VSC 2014 Boys Green,3,2024-10-13
14 Boys Navy,9,AZ Arsenal 14 Boys Select,1,2024-10-12
14 Boys Navy,4,Tuzos Titanes 2014,0,2024-10-12
14 Boys Navy,4,PRFC Southeast Valley 14B Predator-Central,0,2024-10-05
14 Boys Navy,7,East Valley NSFC 14 Boys Tiggs,0,2024-09-28
14 Boys Navy,3,AZ Inferno 14 Boys Black,3,2024-09-28
14 Boys Navy,3,2014 Boys Blue,1,2024-09-21
14 Boys Navy,1,East Valley NSFC 14 Boys Aguirre,4,2024-09-21
14 Boys Navy,2,AZ Arsenal 14 Boys Teal CB,4,2024-09-20
14 Boys Navy,0,14B Hermanson AL,3,2024-09-15
14 Boys Navy,2,2014 Boys Yellow,1,2024-09-14
14 Boys Navy,0,CAC 14/15B (Conroy),1,2024-09-14
14 Boys Navy,3,Phoenix United 2014 Academy,1,2024-09-14
14 Boys Navy,4,Hustle Hard 2014- Boys,1,2024-09-13
14 Boys Navy,0,Madison FC 14 Gold Boys,0,2024-09-07
14 Boys Navy,4,PRFC Southeast Valley 14B Predator,5,2024-09-07
14 Boys Navy,8,FSC United 14 Boys,1,2024-05-25
14 Boys Navy,2,14B Moyer,5,2024-04-28
14 Cityzens,5,PRFC Desert Foothills 14B Predator,1,2025-10-04
14 Cityzens,5,14B Laroussi,2,2025-09-27
14 Cityzens,2,State 48 FC Avondale 14 White,1,2025-09-14
