Unmatched Team,Column,Category,Appearances,Top Opponents
AZ Arsenal 15 Boys Teal 1 JZ,Team A,AGE_MISMATCH,14,"Dynamos SC 14B SC, AZSC 14B Perez, 14B Velasco"
Phoenix United 2015 Elite,Team A,AGE_MISMATCH,9,"14B GSA, Southeast 2014 Boys Red, Dynamos SC 14B SC"
Next Level Soccer Southeast 2015 Boys Blue,Team A,AGE_MISMATCH,7,"PRFC West Valley 14B Pre-Academy, RSL-AZ Yuma 14 Boys Quinonez, PRFC Scottsdale 14B Predator"
BRAZAS FC 2015 Boys Black,Team A,AGE_MISMATCH,6,"Phoenix Premier FC 14B X-Factor, 14 Cityzens, PRFC Scottsdale 14B Predator"
Pima Surf Academy Boys 15,Team A,AGE_MISMATCH,5,"Pima Surf 2014 B Blue, Verde Valley United FC, Kingman SC B14 McGill"
AZ Arsenal 13 Boys Flagstaff,Team A,AGE_MISMATCH,3,"2014B West, CCV Stars 14 Boys North Pre-ECNL, CCV Stars 14 Boys West Pre-ECNL"
Madison FC 2015 Boys Gold,Team A,AGE_MISMATCH,3,"AZ Arsenal Pre-ECNL B15, Phoenix Premier FC 14B X-Factor, Select 14B Red"
Next Level Soccer Northwest 2015 Boys Red,Team A,AGE_MISMATCH,3,"Phoenix United 2014 Premier, 14B Engilman, FC Deportivo AZ 2014B (Gallegos)"
State 48 FC Avondale 13 Copper,Team A,AGE_MISMATCH,2,"14, AZ Arsenal Pre-ECNL B14"
U-13 (2013) Boys Yuma Academy,Team A,AGE_MISMATCH,2,"14 Pre-MLSN #1, 14 Pre-MLSN #2"
Schneider Futsal Academy 2015,Team A,AGE_MISMATCH,2,"PRFC Southeast Valley 14B Predator, AZEV B2014 (WHITE)"
FDI 2015,Team A,AGE_MISMATCH,2,PSC 2014/15B
AZ Arsenal 13 Boys Teal 2 Don,Team A,AGE_MISMATCH,1,14B Felix Nogales
FC ARIZONA 13 GFC CUEVAS,Team A,AGE_MISMATCH,1,14B JDeutsch Pre-MLS Next
15 Pre-MLS Next Tier #1,Team A,AGE_MISMATCH,1,AZ Arsenal Pre-ECNL B15
Tuzos Academy 2013,Team A,AGE_MISMATCH,1,14B JDeutsch Pre-MLS Next
