Team,Rank_v53,Rank_v53e,Rank_Movement,PowerScore_v53,PowerScore_v53e,PowerScore_Change,Abs_Rank_Movement,Abs_PowerScore_Change
CCV Stars 14 Boys West Orange CCV STARS,50,68,-18,0.1998,0.1735,-0.026300000000000018,18,0.026300000000000018
FSC United 14 Boys Flagstaff SC,102,119,-17,0.1162,0.0878,-0.028399999999999995,17,0.028399999999999995
Tuzos Halcones 2014 FBSL,86,71,15,0.1416,0.1674,0.02579999999999999,15,0.02579999999999999
CCV Stars 14 Boys North Pre-ECNL CCV STARS,55,67,-12,0.2253,0.2071,-0.018199999999999994,12,0.018199999999999994
14B Midhaan RSL-AZ North,110,98,12,0.1046,0.1122,0.007599999999999996,12,0.007599999999999996
Scottsdale 14 Sandsharks Black North Scottsdale Soccer Club,44,55,-11,0.2196,0.1958,-0.023799999999999988,11,0.023799999999999988
Select 14B Yavapai Soccer,87,76,11,0.141,0.1583,0.01730000000000001,11,0.01730000000000001
Tuzos Academy Mesa 2014 FBSL,61,50,11,0.1819,0.2029,0.02099999999999999,11,0.02099999999999999
Tuzos Royals 2014 FBSL,70,80,-10,0.1697,0.1514,-0.018299999999999983,10,0.018299999999999983
Verde Valley United FC,79,88,-9,0.2097,0.1957,-0.013999999999999985,9,0.013999999999999985
East Valley NSFC 14 Boys Tiggs East Valley/NSFC,97,106,-9,0.1226,0.1058,-0.016799999999999995,9,0.016799999999999995
PRFC Southeast Valley 14B Predator Phoenix Rising FC,34,42,-8,0.2434,0.2318,-0.0116,8,0.0116
AZ Arsenal 14 Boys Teal CB Arizona Arsenal Soccer Club,64,72,-8,0.1781,0.1673,-0.010800000000000004,8,0.010800000000000004
14B Moyer RSL-AZ South,35,43,-8,0.2393,0.2258,-0.013500000000000012,8,0.013500000000000012
AZ Inferno 14 Boys Black AZ Inferno,74,66,8,0.1612,0.1799,0.018699999999999994,8,0.018699999999999994
14B JDeutsch Pre-MLS Next RSL-AZ South,57,64,-7,0.1861,0.1834,-0.00269999999999998,7,0.00269999999999998
14 Pre-MLSN #2 FC Tucson Youth Soccer,9,16,-7,0.3138,0.2901,-0.0237,7,0.0237
Northwest 2014 Boys Next Level Soccer (AZ),101,108,-7,0.1168,0.1025,-0.014300000000000007,7,0.014300000000000007
Synergy FC 14 B Synergy FC AZ,95,102,-7,0.1237,0.1077,-0.016,7,0.016
PRFC Scottsdale 14B Copa Phoenix Rising FC,90,83,7,0.1361,0.1436,0.007500000000000007,7,0.007500000000000007
Playmaker Futbol Academy 14B Gold Playmaker Futbol Academy,67,60,7,0.1731,0.1905,0.0174,7,0.0174
CDO 14B Premier Canyon Del Oro Soccer Club,66,59,7,0.176,0.1907,0.014700000000000019,7,0.014700000000000019
Scottsdale 14 Sandsharks Select North Scottsdale Soccer Club,10,4,6,0.309,0.3402,0.031200000000000006,6,0.031200000000000006
Tuzos 2014 Nava FBSL,62,56,6,0.2304,0.2474,0.017000000000000015,6,0.017000000000000015
14B Laroussi RSL-AZ South,118,112,6,0.1513,0.1605,0.009200000000000014,6,0.009200000000000014
U-12 (2014) Boys Yuma Pre Academy SC del Sol,85,91,-6,0.201,0.1836,-0.0174,6,0.0174
PRFC North Valley 14B Copa Phoenix Rising FC North Valley,93,87,6,0.1296,0.1404,0.010800000000000004,6,0.010800000000000004
14B NL #2 FC Tucson Youth Soccer,109,103,6,0.2957,0.3002,0.004500000000000004,6,0.004500000000000004
14B Hinds RSL-AZ Southern AZ,84,78,6,0.1438,0.1557,0.011899999999999994,6,0.011899999999999994
PRFC West Valley 14B Predator Phoenix Rising FC,37,31,6,0.2383,0.2522,0.013899999999999968,6,0.013899999999999968
PRFC Southeast Valley 14B Predator-Central Phoenix Rising FC,78,84,-6,0.152,0.1438,-0.008199999999999985,6,0.008199999999999985
Amore 2014 Boys Amore Soccer,54,48,6,0.1943,0.2108,0.016499999999999987,6,0.016499999999999987
2014 Boys Blue Thunderbird FC,83,89,-6,0.1458,0.14,-0.0058,6,0.0058
14B Engilman RSL-AZ North,41,35,6,0.2308,0.2455,0.01469999999999999,6,0.01469999999999999
Dynamos SC 14B Gold Dynamos SC,71,65,6,0.1678,0.1809,0.0131,6,0.0131
CDO 14B Elite Canyon Del Oro Soccer Club,59,54,5,0.2144,0.2297,0.01529999999999998,5,0.01529999999999998
State 48 FC Avondale 14 Black State 48 FC,69,74,-5,0.1723,0.1622,-0.010099999999999998,5,0.010099999999999998
Madison FC 14 Blue Boys Madison FC,58,63,-5,0.1853,0.188,0.002700000000000008,5,0.002700000000000008
Deportivo Mexico 14B Renegades Soccer Club,116,121,-5,0.1273,0.1189,-0.00839999999999999,5,0.00839999999999999
