Team,ComponentID,ComponentSize,Degree
14B OMolina,0,330,21
AZ Arsenal 14 Boys Teal CB,0,330,30
Hustle Hard 2014- Boys,0,330,26
FC Deportivo AZ 2014B (Gallegos),0,330,22
PRFC West Valley 14B Predator,0,330,33
Bala FC - 2014B,0,330,3
OJB FC 2014 Boys,0,330,1
14B NL #2,0,330,11
AZSC 2014B Azanger- Indoor Only,0,330,2
Tuzos Royals 2014,0,330,52
West Valley 2014 Boys Acosta Pre-Premier,0,330,2
PRFC Southeast Valley 13B Predator,0,330,2
B13 Velazquez,0,330,1
Legends FC AZ 14B Black,0,330,37
FC Elite Arizona 2014 Boys - Urbina,0,330,10
FSC United 15 Boys,0,330,2
Havasu Lions FC 14B Castillo,0,330,3
Southeast 2014 Boys Green,0,330,30
Scottsdale 13 Sandsharks Select,0,330,3
Select 14/15B Red,0,330,18
South County B2013,0,330,1
ALBION SC Las Vegas B13 Academy V,0,330,1
Phoenix United 2014B West,0,330,13
14B Blue #1,0,330,12
AZ Inferno 14 Boys Blue,0,330,7
AZSC 14B Azanger,0,330,27
PRFC North Valley 13B Predator,0,330,5
VSC 2014 Boys White,0,330,15
14B Midhaan,0,330,21
2014 Boys Blue,0,330,28
Las Vegas Elite FC B14 Gold,0,330,2
Albion CC SM B14 Academy,0,330,1
Desert Communities Soccer Club,0,330,1
Excel Soccer Academy 14B Red,0,330,25
Select 14B Red,0,330,26
BRAZAS FC 2014 Boys Gold,0,330,3
14B Velasco,0,330,28
U-12 (2014) Boys Pre Academy Orange,0,330,3
AZSC 2014B Pre-NL Premier 2,0,330,32
2014 Boys Yellow,0,330,34
CCV STARS 14 Boys Navy LAV,0,330,28
State 48 FC Avondale 14 White,0,330,6
SWSC B2014 ELITE,0,330,1
Phoenix Premier FC 14B Pre MLS AD,0,330,3
RENO PUMITAS,0,330,1
CITY SC SW B14 White LE Rea,0,330,1
Amore 2013 Boys,0,330,3
AZSC 2014/2015B Navy,0,330,6
14B Felix Nogales,0,330,14
"ARCOS FC , CHALLENGERS",0,330,1
Brazas 2014 Boys Black Marcos,0,330,29
South County Fury B2014,0,330,1
Los Alamos Soccer League,0,330,1
RSL-AZ Yuma 14 Boys Quinonez,0,330,21
Chelsea 13B,0,330,6
FC Elite Arizona 2014 Boys (ARCHIVED),0,330,39
Tuzos Chandler 2014 boys,0,330,6
Tuzos 2014 Nava,0,330,17
Milan,0,330,23
PSC 2014B,0,330,6
AZ Arsenal 14 Boys Teal 1,0,330,18
Madison FC 14 Blue Boys,0,330,36
AZ Arsenal 14 Boys Teal 2 AP,0,330,23
Excel Soccer Academy 14 Red,0,330,22
SCUM East Valley 14B Ninjas,0,330,5
Phoenix Premier FC 14B CG,0,330,19
U-12 (2014) Boys Pre Academy Blue,0,330,30
15B AChacon Pre-MLS Next,0,330,4
14B Geoff,0,330,16
Schneider Futsal Academy 2015,0,330,2
CCV Stars 14 Boys North Pre-ECNL,0,330,19
CCV Stars 14 Boys West Pre-ECNL,0,330,24
Madison FC 2015 Boys Gold,0,330,8
FC Elite Arizona 2014 Boys - Martinez,0,330,9
14B Hermanson AL,0,330,30
Carlsbad B14 White - C. Oliveira,0,330,1
Madison FC 14 Gold Boys Storm,0,330,25
Tuzos Academy Mesa 2014,0,330,46
AZ Arsenal 13 Boys Teal DC,0,330,1
AZ Arsenal 14 Boys AYDP,0,330,21
Playmaker Futbol Academy PRE-ECNL B14,0,330,27
CCV STARS 14 Boys White PEO,0,330,22
BRAZAS FC 2015 Boys Black,0,330,11
U-12 (2014) Boys Yuma Pre Academy,0,330,17
Eagles F.C.,0,330,17
2014 Rush Boys,0,330,34
JUSA Select Oftellie B14,0,330,1
14B NL #1,0,330,11
Tuzos Nogales 2014,0,330,3
14B Hinds,0,330,23
La Academia 14B,0,330,19
Rey Del Castillo FC Gold,0,330,2
15 Pre-MLS Next Tier #1,0,330,1
Next Level Soccer Northwest 2015 Boys Red,0,330,7
ASA 014B Magic,0,330,13
Spartak Academy 2014 Boys,0,330,3
CCV Stars 14 Boys North Orange,0,330,27
PRFC North Valley 14B PreAcademy,0,330,32
Park City SC B2014 Red,0,330,1
REAL AZ,0,330,3
U-13 (2013) Boys Yuma Academy,0,330,2
Next Level Soccer Southeast 2014 Boys Red,0,330,24
AZ Arsenal 13 Boys Teal 1,0,330,2
PRFC West Valley 15B Predator,0,330,8
State 48 FC Casa Grande 14/15 Black,0,330,2
13B Flores,0,330,4
FDI 2015,0,330,1
Phoenix Premier FC 14B SW White,0,330,2
Verde Valley United FC,0,330,17
Gila Valley Ninjas,0,330,3
State 48 FC Avondale 14 Black,0,330,27
Legends FC AZ 14B FC,0,330,24
14B Bratcher,0,330,18
Legends FC AZ 14B Gold,0,330,24
Cimarron FC,0,330,1
2014B West,0,330,46
State 48 FC Avondale 13 Copper,0,330,3
Galacticos FC Sonora,0,330,1
RSL-AZ Yuma 14 Boys Rodriguez,0,330,13
Southeast 2014 Boys Black,0,330,19
ALBION SC San Diego B14 Academy III,0,330,1
Amore 2014 Boys,0,330,44
Peak FC - U9/U10/U11,0,330,1
PRFC SEV 13B NL Premier 2 AZ,0,330,1
B-14 Hugo,0,330,1
14B Hermanson,0,330,2
CAC 14/15B (Conroy),0,330,28
Jedi 14B,0,330,3
Phoenix United 2014 Premier,0,330,45
FC ARIZONA 13 GFC CUEVAS,0,330,3
14 Pre-MLSN #2,0,330,36
Phoenix Premier FC 14B Pre MLS Next AD,0,330,5
Scottsdale 14 Sandsharks Select,0,330,24
Tuzos USA 2013,0,330,1
PRFC Southeast Valley 14B Pre-Academy,0,330,32
Avalanche 14B Gray SL,0,330,1
LAFC 14 BOYS,0,330,19
FCDA 2013B Red,0,330,1
Temecula FC 2014 quails,0,330,1
2014 Tuzos Academy FV,0,330,18
Platinum IE B14 Yanez 1037,0,330,1
PRFC Scottsdale 15B Predator,0,330,9
PRFC Scottsdale 14B Pre-Academy,0,330,40
Tuzos Titanes 2014,0,330,22
FC Elite Arizona 2014/15 Boys,0,330,2
14B Velasco Pre-MLS Next,0,330,16
CCV Stars 14 Boys East Pre-ECNL,0,330,21
PRFC Southeast Valley 14B Predator,0,330,47
South County B2013 Blue,0,330,1
CDO 13B Elite,0,330,3
Scottsdale 14 Sandsharks,0,330,22
PRFC Scottsdale 14B Copa,0,330,36
Rey Del Castillo FC 2014/15,0,330,1
AZ Inferno 14 Boys Black,0,330,47
AZ Arsenal Pre-ECNL B14,0,330,38
PRFC North Valley 14B Copa,0,330,38
AZ Arsenal 14 Boys Flagstaff,0,330,1
14B JDeutsch Pre-MLS Next,0,330,21
El Paso Football Club U11 BLUE,0,330,4
CDO 14B Elite,0,330,14
State 48 FC 14 White,0,330,22
East Valley NSFC 14 Boys Aguirre,0,330,44
Las Vegas Sports Academy U12 Boys Black 2014,0,330,4
14 ECNL #1,0,330,25
CITY SC SW B14 White MV II,0,330,1
14B Antunez Pre-MLS Next,0,330,24
Synergy FC 14 B,0,330,33
PRFC Southeast Valley 14B Predator-Central,0,330,38
Southeast 2013 Boys Green,0,330,3
NOS Santos 14 Boys White,0,330,25
Cachimbas FC 2014,0,330,1
CCV Stars 14 Boys West Orange,0,330,19
14B GSA,0,330,32
Xplosion SC B14,0,330,1
PRFC West Valley 14B Pre-Academy,0,330,47
14 Cityzens,0,330,51
Phoenix Premier FC 14B White,0,330,25
AYSO United 15BlueB,0,330,1
Pima Surf 2014 B Blue,0,330,9
14B Flores,0,330,20
Playmaker Futbol Academy North 14B,0,330,3
VSC 2014 Boys Green,0,330,20
15B NMarkette,0,330,26
Fenomenos 2014,0,330,1
Phoenix Premier FC 13B Black,0,330,1
Next Level Soccer Northwest 2014 Boys,0,330,33
CCV Stars 14 Boys South Orange,0,330,31
Select 14B,0,330,25
U-11 (2014) Boys Pre Academy,0,330,24
EV-NSFC 15 Boys Perez(1),0,330,1
Catalyst 14 N,0,330,1
Santos 15B,0,330,8
14B Rayados Blue AL,0,330,14
Dynamos SC 14B SC,0,330,26
AZSC 2015B White,0,330,2
B2014 Premier,0,330,1
Pima Surf Academy Boys 15,0,330,6
Pima Surf 2014 B,0,330,4
14B Engilman,0,330,32
2014 Elite,0,330,13
PRFC Scottsdale 14B Predator,0,330,38
Rey Del Castillo FC Black,0,330,1
Phoenix Premier FC 14B SW,0,330,25
SWSC B2014 GOLD,0,330,1
Playmaker Futbol Academy 14B Gold,0,330,53
15B Oscar,0,330,3
ESC - Boys Chandler 15/16,0,330,4
FC Arizona 14B Black GFC Suenaga U12,0,330,9
AZ Thundercats 2013,0,330,2
Northwest 2013 Boys Black,0,330,1
Real Arizona 2014,0,330,32
Madison FC 14 Gold Boys,0,330,38
Dynamos SC 14B Gold,0,330,33
Scottsdale 14 Sandsharks Black,0,330,19
Next Level Soccer Southeast 2015 Boys Blue,0,330,15
Phoenix Premier FC 14B X-Factor,0,330,27
Monsters 2014,0,330,10
PSG 14B Blue,0,330,37
AZ Arsenal 14 Boys Teal SC,0,330,36
SCFC 2014,0,330,2
15B Vyas,0,330,9
FC ARIZONA PRE ECNL RL B14,0,330,4
14B Moyer,0,330,26
Madison FC 14 White Boys,0,330,6
B14 Premier,0,330,1
Sun Warriors 13/14 Boys,0,330,5
Deportivo Mexico 14B,0,330,14
West Valley 2014 Boys Martinez Pre-Elite64,0,330,44
14 ECNL #2,0,330,31
Southeast 2014 Boys Red,0,330,32
FCDA 13B Red NL (AZ),0,330,2
Kingman SC B14 McGill,0,330,19
PSG 13B Blue E64RL,0,330,1
City SC B14 Premier - O'Mahoney,0,330,1
NOS Santos 14 Boys Blue,0,330,30
Playmaker Futbol Academy 13B Black,0,330,4
Northwest 2014 Boys,0,330,33
14 Boys Navy,0,330,32
14B Laroussi,0,330,15
14B Rayados Blue,0,330,3
Playmaker Futbol Academy 14B Black,0,330,56
Tuzos Royals 14 Pre-Academy,0,330,44
PRFC North Valley 15B Copa,0,330,5
Excel Soccer Academy 14B Black,0,330,16
Southeast 2013 Boys Blue,0,330,1
AZSC 15B Gold,0,330,2
