Team A,Team B,Score A,Score B,Date,Competition,SourceURL
Southeast 2014 Boys Black,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,3,2,9/14/2025,Cactus Kick Off,
Southeast 2014 Boys Black,Southeast 2014 Boys Blue,2,0,9/14/2025,Cactus Kick Off,
14B Antunez Pre-MLS Next,Southeast 2014 Boys Black,0,7,9/13/2025,Cactus Kick Off,
Southeast 2014 Boys Black,Southeast 2014 Boys Blue,4,0,9/13/2025,Cactus Kick Off,
14 Pre-MLSN #1,Southeast 2014 Boys Black,1,3,8/31/2025,Phoenix Rising Cup,
Dynamos SC 14B SC,Southeast 2014 Boys Black,1,1,8/30/2025,Phoenix Rising Cup,
Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,8/30/2025,Phoenix Rising Cup,
Dallas Texans Pre ECNL B14 Salazar,Southeast 2014 Boys Black,1,2,5/17/2025,Next Generation Cup ,
Southeast 2014 Boys Black,Fenomenos 2014,2,2,5/17/2025,Next Generation Cup ,
Southeast 2014 Boys Black,Catalyst 14 N,8,5,5/16/2025,Next Generation Cup ,
AZ Arsenal 13 Boys Teal 2 Don,Southeast 2014 Boys Black,1,7,4/13/2025,Rivalries Cup,
Southeast 2014 Boys Black,ALBION SC Las Vegas B13 Academy V,9,1,4/12/2025,Rivalries Cup,
AZ Arsenal 13 Boys Teal 1,Southeast 2014 Boys Black,2,4,4/12/2025,Rivalries Cup,
Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,1,1,3/23/2025,Tournaments Powered by Rated Sports ,
Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,6,0,2/17/2025,PDT,
Southeast 2014 Boys Black,Phoenix United 14 Elite,2,0,2/14/2025,PDT,
Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,5,2/9/2025,Desert Classic,
Southeast 2014 Boys Black,PRFC North Valley 13B Predator,7,1,1/26/2025,AZ Soccer Clash,
Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,1,1/11/2025,CCV Stars Champions Cup,
Southeast 2014 Boys Black,14B GSA,2,3,12/7/2024,The Open,
Southeast 2014 Boys Black,Legends FC AZ 14B FC,3,1,12/1/2024,Tournaments Powered by Rated Sports ,
14B GSA,Southeast 2014 Boys Black,1,4,11/30/2024,Tournaments Powered by Rated Sports ,
Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,4,4,11/24/2024,Heritage Cup,
PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,0,6,11/23/2024,Heritage Cup,
Southeast 2014 Boys Black,14B GSA,3,1,10/18/2024,The Fiesta Cup ,
FC ARIZONA 13 GFC CUEVAS,Southeast 2014 Boys Black,1,2,10/13/2024,Tournaments Powered by Rated Sports ,
Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,1,2,10/12/2024,Tournaments Powered by Rated Sports ,
Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,3,9/29/2024,The Derby,
Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,4,8/31/2024,Phoenix Rising Cup,
PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,1,2,8/30/2024,Phoenix Rising Cup,
Playmaker Futbol Academy PRE-ECNL B14,14B GSA,1,3,9/28/2025,The Derby 2025,
Southeast 2015 Boys Red,14B GSA,1,2,9/28/2025,The Derby 2025,
14B GSA,Excel Soccer Academy 14B Red,7,2,9/27/2025,The Derby 2025,
14B GSA,Tuzos Royals 2014,3,1,9/27/2025,The Derby 2025,
14B GSA,Tuzos Royals 2014,4,1,9/7/2025,Tuzos Challenge,
14B GSA,Phoenix United 2015 Elite,4,3,9/7/2025,Tuzos Challenge,
14B GSA,Dynamos SC 14B SC,3,3,9/6/2025,Tuzos Challenge,
Tuzos Royals 2014,14B GSA,1,2,9/6/2025,Tuzos Challenge,
14B GSA,Phoenix Premier FC 14B Pre MLS AD,6,1,8/31/2025,Phoenix Rising Cup,
