Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
az arsenal soccer club 2016 boys gold,scottsdale soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Scottsdale Soccer Club 2016 Boys Blue,3,2,League Play,2025-03-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,rsl-az south 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ South 2016 Boys Gold,3,0,League Play,2025-02-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,mesa soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Mesa Soccer Club 2016 Boys Gold,3,0,League Play,2025-03-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,fountain hills soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Fountain Hills Soccer Club 2016 Boys Blue,1,4,League Play,2025-04-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,casa grande soccer club 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Casa Grande Soccer Club 2016 Boys Black,2,0,League Play,2025-05-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,peoria soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Peoria Soccer Club 2016 Boys White,2,2,League Play,2025-09-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,casa grande soccer club 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Casa Grande Soccer Club 2016 Boys Black,0,4,League Play,2025-03-31,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,buckeye soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Buckeye Soccer Club 2016 Boys Gold,3,2,League Play,2025-06-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,rsl-az yuma 2016 boys red,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ Yuma 2016 Boys Red,4,1,League Play,2025-02-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys White,1,2,League Play,2025-06-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,cave creek soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Cave Creek Soccer Club 2016 Boys White,3,1,League Play,2025-02-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,rsl-az north 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ North 2016 Boys Black,0,3,League Play,2025-01-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,scottsdale soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Scottsdale Soccer Club 2016 Boys Gold,4,0,League Play,2025-05-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,desert sc 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Desert SC 2016 Boys White,1,1,League Play,2024-12-22,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Blue,0,1,League Play,2025-01-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,rsl-az west valley 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ West Valley 2016 Boys Black,0,1,League Play,2025-02-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,fc tucson youth soccer 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,FC Tucson Youth Soccer 2016 Boys Gold,4,3,League Play,2025-09-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
