Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Team A Normalized,Team B Normalized,Team A Match,Team A Match Type,Team B Match,Team B Match Type
2025-08-28,FC Elite Arizona 2015 Boys Blue,Paladin Soccer Club 2015 Boys White,1,2,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_0,,fc elite arizona 2015 boys blue,paladin soccer club 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,Paladin Soccer Club 2015 Boys White,EXACT
2024-10-21,FC Elite Arizona 2015 Boys Blue,FC Arizona 2015 Boys Black,2,3,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_1,,fc elite arizona 2015 boys blue,fc arizona 2015 boys black,FC Elite Arizona 2015 Boys Blue,EXACT,FC Arizona 2015 Boys Black,EXACT
2024-11-11,FC Elite Arizona 2015 Boys Blue,AZ Arsenal Soccer Club 2015 Boys White,0,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_2,,fc elite arizona 2015 boys blue,az arsenal soccer club 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,AZ Arsenal Soccer Club 2015 Boys White,EXACT
2024-11-20,FC Elite Arizona 2015 Boys Blue,Thunderbird FC 2015 Boys White,1,1,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_3,,fc elite arizona 2015 boys blue,thunderbird fc 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,Thunderbird FC 2015 Boys White,EXACT
2024-12-12,FC Elite Arizona 2015 Boys Blue,Real Arizona FC 2015 Boys Red,2,1,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_4,,fc elite arizona 2015 boys blue,real arizona fc 2015 boys red,FC Elite Arizona 2015 Boys Blue,EXACT,Real Arizona FC 2015 Boys Red,EXACT
2025-04-02,FC Elite Arizona 2015 Boys Blue,United Latinos SC 2015 Boys Black,0,3,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_5,,fc elite arizona 2015 boys blue,united latinos sc 2015 boys black,FC Elite Arizona 2015 Boys Blue,EXACT,United Latinos SC 2015 Boys Black,EXACT
2025-06-17,FC Elite Arizona 2015 Boys Blue,Arizona Soccer Club 2015 Boys Black,0,4,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_6,,fc elite arizona 2015 boys blue,arizona soccer club 2015 boys black,FC Elite Arizona 2015 Boys Blue,EXACT,Arizona Soccer Club 2015 Boys Black,EXACT
2025-06-29,FC Elite Arizona 2015 Boys Blue,Arizona Soccer Club 2015 Boys Black,1,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_7,,fc elite arizona 2015 boys blue,arizona soccer club 2015 boys black,FC Elite Arizona 2015 Boys Blue,EXACT,Arizona Soccer Club 2015 Boys Black,EXACT
2025-04-25,FC Elite Arizona 2015 Boys Blue,Dynamos SC 2015 Boys Blue,3,3,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_8,,fc elite arizona 2015 boys blue,dynamos sc 2015 boys blue,FC Elite Arizona 2015 Boys Blue,EXACT,Dynamos SC 2015 Boys Blue,EXACT
2025-03-01,FC Elite Arizona 2015 Boys Blue,Scottsdale City FC 2015 Boys White,1,2,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_9,,fc elite arizona 2015 boys blue,scottsdale city fc 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,Scottsdale City FC 2015 Boys White,EXACT
