Team_Name,Club,State,State_Code,Region,Division,Age_Group,Age_U,Gender,Gender_Full,League,Active_Status,GotSport_Team_ID,Team_ID,Source_URL
13G AK Thorns,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,199795,f40d0636dbce,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=235
2013 Girls Cook Inlet SC,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,39967,14f9e0aa2a19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=67
2013G Alaska Rush Lloyd,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,195341,2d672ef380c7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=195
2013G CSC Aftershock,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,562065,9043653c54ce,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=229
ALASKA SELECT CHICAS 2013,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,578026,99e8585f1964,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=62
Alaska Eclipse 13 Girls,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,16227,997d8baa8bb7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=140
KPSC 13/14G,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,256021,8dd0a4e4574c,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=227
VR 2013 Girls,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,321758,513948f9e608,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=163
VR 2015 Girls,,Alaska,AK,West Coast,U13G,2012,13,F,Female,USYS,Active,563518,f1b4086d180c,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=190
13G GA,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,505401,668f148c1066,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=86
AL Lady Rush 2013 DC Gray,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,478519,e5d398c09b80,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=186
AYSO United G2013 Premier,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,258136,8c73dc9677d9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=137
Alabama FC 13G Pre ECNL 1,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,505692,d464ed47ff45,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=55
Alabama FC 13G Pre ECNL 2,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,505690,8ea55ce3dfc5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=137
Alabama FC 13G Premier,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,674960,f1f4341e6317,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=243
Alabama FC Alabaster 13G Premier,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,503180,8c59e07dc21e,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=155
Alabama FC Alabaster 13G Select,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,503182,7520338380ad,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=227
Alabama FC Central 13G Premier,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,503183,a7ad5ad30de5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=237
Alabama FC Central 13G Select,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,503184,e01c618b5d62,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=169
Alabama FC South 13G Grandview,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,591435,be95f6e75aaf,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=204
Auburn Soccer Club 2013 Girls,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,42792,432682926546,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=168
BUSA S Fire Tigers,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,169343,e56ed9c40ed2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=244
Briarwood Girls 13 Blue,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,409151,4c207c5c6404,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=225
Briarwood Girls 13 Gold,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,289444,c36c5df48fdc,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=145
Cottontown United 13/14 Girls,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,286092,d0ab9ab91db4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=212
Cullman United 2013/14 Girls Black,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,267350,a1b32173ab67,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=244
Dothan Shockers FC 13/14G,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,553707,26cd5457f4a7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=212
Dothan Shockers FC 13/14GC,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,417483,2bb8aecd5037,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=223
ESSC STRYKERS RED 24/25,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,572306,092ced1c4d24,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=264
Hartselle City FC 13 G,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,413820,225e17098e5d,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=211
Homewood Freedom 2013 Girls,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,284761,dcc567dbb55a,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=220
Hoover Jr Phantoms 2013 Girls Blue,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,149470,55c131e9c2cb,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=248
Hoover Vestavia 13G Grey,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,505402,fa5bfb5728a1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=171
Lyon FC 2014 Girls Black,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,651893,0b94ab8e75e5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=180
Madison Blaze 2013 Girls,,Alabama,AL,Southeast,U13G,2012,13,F,Female,USYS,Active,76351,3bd6457b201e,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=13&search[gender]=f&search[page]=154
