Team_Name,Club,State,State_Code,Region,Division,Age_Group,Age_U,Gender,Gender_Full,League,Active_Status,GotSport_Team_ID,Team_ID,Source_URL
12B AK Timbers,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,199796,1e3cbb0e37c8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=209
2012 Boys Cook Inlet SC Elite,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,181585,b8b86d41572f,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=129
2012B Alaska Rush Gold,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,39592,ca5bb05b4475,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=101
2012B Alaska Rush Silver,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,563734,6efecb8f15d1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=253
2012B CSC Firestorm Blue,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,360289,1bd326a0e730,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=101
2012B CSC Firestorm Gold,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,435808,1fa896aac63e,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=269
Alaska Eclipse 12B,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,57598,8988cdf0ae6f,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=91
KPSC 2012B,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,488345,e5f816090e6a,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=358
VR 2012 Boys,,Alaska,AK,West Coast,U14B,2011,14,M,Male,USYS,Active,358637,9fee13d1c55e,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=325
12 N2 NAL,,Alabama,AL,Southeast,U14B,2011,14,M,Male,USYS,Active,498580,27ddf1da4375,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=159
2012 Boys,,Alabama,AL,Southeast,U14B,2011,14,M,Male,USYS,Active,105655,fd9d91352409,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=364
AFCHSV 2012 Boys ECRL 2,,Alabama,AL,Southeast,U14B,2011,14,M,Male,USYS,Active,684363,48ffe5cb4be2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=14&search[gender]=m&search[page]=249
