gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42161270,Raiders FC 2015,Raiders FC,IL,IL,2,USA,U11,M
42158964,SASA Spirits 2015B 1984,SASA Spirits SC,IL,IL,2,USA,U11,M
42163321,SLSG IL B 2015 Academy Red,St. Louis Scott Gallagher,IL,IL,2,USA,U11,M
42158932,SASA Spirits 2015B Blue,SASA Spirits SC,IL,IL,2,USA,U11,M
42160406,EMSSC 2015 Panthers,East Moline Silvis Soccer Club,IL,IL,2,USA,U11,M
42164506,Deportivo 59 FC 2015B Premier,Deportivo 59 FC,IL,IL,2,USA,U11,M
42159642,Morton United FC 2015 Boys RED,Morton United FC,IL,IL,2,USA,U11,M
42161929,Metro Alliance FC 2015B Premier,Metro Alliance FC ,IL,IL,2,USA,U11,M
42160267,Chicago Inter Soccer 2015B Red South,Chicago Inter,IL,IL,2,USA,U11,M
42160769,JGSA 15 Boys Black,John Gaspar Soccer Academy,IL,IL,2,USA,U11,M
42159133,Glen-Ed SC 15B United I,Glen-Ed SC,IL,IL,2,USA,U11,M
42161125,PFCU 2015 Dortmund Boys,Central Illinois United,IL,IL,2,USA,U11,M
42160794,LASC 2015 Boys Elite,Lindenhurst Area Soccer Club,IL,IL,2,USA,U11,M
42161124,PFCU 2015 Schalke Boys,Central Illinois United,IL,IL,2,USA,U11,M
42159108,FC Central Illinois 2015B Select,FC Central Illinois,IL,IL,2,USA,U11,M
42159134,Glen-Ed SC 15B Elite,Glen-Ed SC,IL,IL,2,USA,U11,M
42163862,Quad Cities Rush 2015,,IL,IL,2,USA,U11,M
42159929,MidState 2015 Boys,MidState Soccer Club,IL,IL,2,USA,U11,M
42159271,Illinois FC 2015 Boys Blue,Illinois FC,IL,IL,2,USA,U11,M
42160994,Sockers FC 2015 White,Sockers FC,IL,IL,2,USA,U11,M
42159247,Metro Alliance FC 2015B Southern IL Navy,Metro Alliance FC ,IL,IL,2,USA,U11,M
42161754,Evolution 2015 Boys Mercurial South,Evolution SC,IL,IL,2,USA,U11,M
42160731,GSC 2015 Boys (Green),Geneseo Soccer Club,IL,IL,2,USA,U11,M
42171934,SLSG IL B 2015 Academy Black,St. Louis Scott Gallagher,IL,IL,2,USA,U11,M
42158264,Metro Alliance FC 2015B Elite,Metro Alliance FC ,IL,IL,2,USA,U11,M
42159709,PFCU 2015 Leipzig Boys,Central Illinois United,IL,IL,2,USA,U11,M
42159485,SJFC 15/16 BOYS,St. Joseph Futbol Club - Spartans,IL,IL,2,USA,U11,M
42159544,LSC 2015,Limestone Soccer Club,IL,IL,2,USA,U11,M
42163840,INTER EMSSC,East Moline Silvis Soccer Club,IL,IL,2,USA,U11,M
42159350,Sangamo United FC 2015B Venom,Sangamo United FC,IL,IL,2,USA,U11,M
42160770,JGSA 15 Boys White,John Gaspar Soccer Academy,IL,IL,2,USA,U11,M
42159272,Illinois FC 2015 Boys Orange,Illinois FC,IL,IL,2,USA,U11,M
42160592,Roadrunners SC B2015 Pre-ECNL,Roadrunners SC,IL,IL,2,USA,U11,M
42160390,2015-2016 Boys,Pekin Pride Soccer,IL,IL,2,USA,U11,M
42159710,PFCU 2015 Bayern Boys,Central Illinois United,IL,IL,2,USA,U11,M
42159551,Jax United 2015 / 2016,Jacksonville United Soccer Club,IL,IL,2,USA,U11,M
42158476,Arcola FC 15/16B,Arcola FC ,IL,IL,2,USA,U11,M
