gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42163183,Boys 15 Academy 2,Fusion Soccer Club,MN,MN,2,USA,U11,M
42163277,Boys 15 Academy 1,Fusion Soccer Club,MN,MN,2,USA,U11,M
42163277,Boys 15 Academy 1,Fusion Soccer Club,MN,MN,2,USA,U11,M
42162335,15 Boys EDT 1,Minnesota Rush,MN,MN,2,USA,U11,M
42164546,2015 Boys Academy Black,North Suburban SA,MN,MN,2,USA,U11,M
42160927,Skills 2015 Black N/A,Skills FC,MN,MN,2,USA,U11,M
42165209,2015B Elite Jumale,Wave SC,MN,MN,2,USA,U11,M
42162783,15 Boys EDT 2,Minnesota Rush,MN,MN,2,USA,U11,M
42163191,2015 Boys Academy Carolina,North Suburban SA,MN,MN,2,USA,U11,M
42173362,2015 Boys Pre-ECNL,MN Thunder Academy,MN,MN,2,USA,U11,M
42164547,2015 Boys Academy 2 - PreECNL-RL,St. Croix,MN,MN,2,USA,U11,M
42160612,15 Boys Select 1B,Tonka United SA,MN,MN,2,USA,U11,M
42165312,2015 Boys Thunder,Mahtomedi Soccer Association,MN,MN,2,USA,U11,M
42160562,2015 Boys Regional,CC United Soccer Club,MN,MN,2,USA,U11,M
42175327,Extreme U11 Boys,Bemidji Youth Soccer Association,MN,MN,2,USA,U11,M
42163516,15 Boys Academy 1,Tonka United SA,MN,MN,2,USA,U11,M
42160765,MN Rush 2015B Black,North Star FC,MN,MN,2,USA,U11,M
42163842,Skills FC 2015B Black,Skills FC,MN,MN,2,USA,U11,M
42163656,2015 Boys Academy 1,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42163204,2015 Boys Academy,Minneapolis United,MN,MN,2,USA,U11,M
42164543,2015 Boys Copa,Minneapolis United,MN,MN,2,USA,U11,M
42160911,Salvo SC 15B South Red,Salvo SC,MN,MN,2,USA,U11,M
42164860,2015 Boys Gold 2,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42164860,2015 Boys Gold 2,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42164237,Manitou FC 2015 Boys Academy Orange,Manitou FC,MN,MN,2,USA,U11,M
42164859,Boys 15 Navy 3,Fusion Soccer Club,MN,MN,2,USA,U11,M
42163822,2015 Boys State,Shakopee SA,MN,MN,2,USA,U11,M
42165310,2015 Boys Regional - Kaizer,MapleBrook SC,MN,MN,2,USA,U11,M
42165301,PIZM Wildcats,Pine Island Youth Soccer,MN,MN,2,USA,U11,M
42175936,CFC (2015),CFC,MN,MN,2,USA,U11,M
42160841,Salvo SC 15B East Grey,Salvo SC,MN,MN,2,USA,U11,M
42161107,2015 Boys Tango,Minneapolis United,MN,MN,2,USA,U11,M
42163303,2015 Boys Force,MN Thunder Academy,MN,MN,2,USA,U11,M
42164574,Winona Euro FC Juventude,Winona Euro FC,MN,MN,2,USA,U11,M
42164545,2015 Boys Academy Silver,North Suburban SA,MN,MN,2,USA,U11,M
42164277,Manitou Mini-Majik 2015 White,Manitou FC,MN,MN,2,USA,U11,M
42161001,NORTH STAR FC 2015B Blue,North Star FC,MN,MN,2,USA,U11,M
42161132,Salvo SC 15B East Steel,Salvo SC,MN,MN,2,USA,U11,M
42164916,North United 15 Boys Platinum,North United SC,MN,MN,2,USA,U11,M
42164992,HFC United U11,HFC United,MN,MN,2,USA,U11,M
42163947,15 Boys Gray,BV UNITED,MN,MN,2,USA,U11,M
42164551,15 Boys EDT 3,Minnesota Rush,MN,MN,2,USA,U11,M
42174442,2015 Boys Stoltz,Mahtomedi Soccer Association,MN,MN,2,USA,U11,M
42164549,15 Boys EDT 4,Minnesota Rush,MN,MN,2,USA,U11,M
42164572,15 Boys State (U11),Keliix-Intra Soccer Club,MN,MN,2,USA,U11,M
42160611,15 Boys Academy 2,Tonka United SA,MN,MN,2,USA,U11,M
42175012,2015 Boys Academy 1 - PreECNL,St. Croix,MN,MN,2,USA,U11,M
42164238,Manitou FC 2015 Boys Academy Black,Manitou FC,MN,MN,2,USA,U11,M
42164544,2015 Boys Swoosh,MN Thunder Academy,MN,MN,2,USA,U11,M
42161425,2015 Boys Samba,Minneapolis United,MN,MN,2,USA,U11,M
42164550,15 Boys EDT 5,Minnesota Rush,MN,MN,2,USA,U11,M
42164540,Boys 15 Navy 1,Fusion Soccer Club,MN,MN,2,USA,U11,M
42161224,Salvo SC 15B South Steel,Salvo SC,MN,MN,2,USA,U11,M
42163149,2015B Elite 2 Werket,Wave SC,MN,MN,2,USA,U11,M
42164275,2015 Boys Academy 4 Blue,St. Croix,MN,MN,2,USA,U11,M
42175033,Esko United U10 (1),Esko United,MN,MN,2,USA,U11,M
42165347,2015 Boys Black,Centennial Soccer Club,MN,MN,2,USA,U11,M
42165348,2015 Boys Red,Centennial Soccer Club,MN,MN,2,USA,U11,M
42160675,Salvo SC15B East Red,Salvo SC,MN,MN,2,USA,U11,M
42164884,2015 (BU11) Green - Lynch,Boreal FC,MN,MN,2,USA,U11,M
42163220,2015 Boys State,CC United Soccer Club,MN,MN,2,USA,U11,M
42164553,2015 Boys Liverpool,EPSC,MN,MN,2,USA,U11,M
42164071,2015 Boys Steel,Edina Soccer Club,MN,MN,2,USA,U11,M
42161128,Salvo SC 15B Central Red,Salvo SC,MN,MN,2,USA,U11,M
42163216,2015 Boys Premier,Minneapolis United,MN,MN,2,USA,U11,M
42164288,2015/16 Boys Academy,St. Croix,MN,MN,2,USA,U11,M
42163552,MN RUSH 2015B GRAY,North Star FC,MN,MN,2,USA,U11,M
42163012,15 Boys Academy 2,United FC Rush,MN,MN,2,USA,U11,M
42161017,PIZM 10U Boys - Blue,Pine Island Youth Soccer,MN,MN,2,USA,U11,M
42163804,2015 Boys Heat,Bloomington United,MN,MN,2,USA,U11,M
42163781,2015B WW2,Western Wisconsin Soccer,MN,MN,2,USA,U11,M
42163011,15 Boys Academy 1,United FC Rush,MN,MN,2,USA,U11,M
42163850,2015B Premier Kadi,Wave SC,MN,MN,2,USA,U11,M
42163134,2015 Boys Black 2,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42161319,Salvo SC 15B East Crimson,Salvo SC,MN,MN,2,USA,U11,M
42163800,Gitchi Gummi 2015 Boys White,Gitchi Gummi Soccer Club,MN,MN,2,USA,U11,M
42171976,KMYSA B11U,KMYSA,MN,MN,2,USA,U11,M
42172031,PIZM 11U Boys,Pine Island Youth Soccer,MN,MN,2,USA,U11,M
42163245,2015 Boys Red 1,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42164235,2015 Boys Cities 1,CC United Soccer Club,MN,MN,2,USA,U11,M
42164321,Redbird FC U9/10 B Black,Alexandria Area SA,MN,MN,2,USA,U11,M
42164368,2015 Boys Academy 2,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42163989,Owatonna Boys U10- Gendron,Owatonna SA,MN,MN,2,USA,U11,M
42164554,2015 Boys Leeds United,EPSC,MN,MN,2,USA,U11,M
42164567,2015 Boys Blue 1,North East United Soccer Club,MN,MN,2,USA,U11,M
42164571,15 Boys Regional (U11),Keliix-Intra Soccer Club,MN,MN,2,USA,U11,M
42163790,2025 CMYSA 10B D3,Central Minnesota Youth SA,MN,MN,2,USA,U11,M
42163789,2025 CMYSA 10B D2,Central Minnesota Youth SA,MN,MN,2,USA,U11,M
42163773,2015 Boys Black 1,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42164858,2015 Boys Silver,Edina Soccer Club,MN,MN,2,USA,U11,M
42160614,15 Boys Select 2 Zumbra,Tonka United SA,MN,MN,2,USA,U11,M
42163087,2015 Boys Gold 1,Lakeville Soccer Club,MN,MN,2,USA,U11,M
42174277,FC Alliance 2015B West,FC Alliance TN,MN,MN,2,USA,U11,M
42164539,2015 (BU11) White - Yussuf,Boreal FC,MN,MN,2,USA,U11,M
42164069,2015 Boys Green,Edina Soccer Club,MN,MN,2,USA,U11,M
42163806,Brainerd United 2015 White,Lakes Area Youth Soccer Association,MN,MN,2,USA,U11,M
42163732,2015 Boys Regional,Shakopee SA,MN,MN,2,USA,U11,M
42163013,15 Boys Academy 3,United FC Rush,MN,MN,2,USA,U11,M
42164244,2015 LFC Boys Select,Legacy FC,MN,MN,2,USA,U11,M
