gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42176235,UNITED FC GRAND ISLAND 15B,Wichita Regional Soccer Association,NE,NE,2,USA,U11,M
42176261,Sting Pre-ECNL Ausenbaugh,,NE,NE,2,USA,U11,M
42176261,Sting Pre-ECNL Ausenbaugh,,NE,NE,2,USA,U11,M
42172958,Sting NE B15 Pre-Elite Amdor,Sting Nebraska,NE,NE,2,USA,U11,M
42172976,EVO-U11B-Black-2014,Evolution SC (NE),NE,NE,2,USA,U11,M
42173854,Sting NE B15 Dotson,Sting Nebraska,NE,NE,2,USA,U11,M
42171682,EVO-Orange-EJ-2015,Evolution SC (NE),NE,NE,2,USA,U11,M
42161934,Sting NE B15 Waldoch 24 ARCHIVE,Sting Nebraska,NE,NE,2,USA,U11,M
42164352,402 DA 2015 Boys Gold,402 Development Academy,NE,NE,2,USA,U11,M
42164352,402 DA 2015 Boys Gold,402 Development Academy,NE,NE,2,USA,U11,M
42186122,WNFC U11 Boys Select Black,Western Nebraska FC,NE,NE,2,USA,U11,M
42172967,Omaha United SC 2014B Black,Omaha United SC,NE,NE,2,USA,U11,M
42177444,LCFC 2015B Elite,Lincoln City FC,NE,NE,2,USA,U11,M
42172949,GEA Academy Pre-ECNL 15B I,Gretna Elite Academy,NE,NE,2,USA,U11,M
42177446,KSC 2015 Boys,Kearney SC,NE,NE,2,USA,U11,M
42175228,DASC 2014 BOYS BLACK NL,DASC,NE,NE,2,USA,U11,M
42174534,Omaha United 2015B,Omaha United SC,NE,NE,2,USA,U11,M
42175241,Syracuse Soccer Club - 11U Boys Rockets,Syracuse SC,NE,NE,2,USA,U11,M
42164057,Sting NE B15 Tungland,Sting Nebraska,NE,NE,2,USA,U11,M
42175227,UFA Siouxland 2014 Elite,United Futbol Academy (UFA),NE,NE,2,USA,U11,M
42161660,GI United FC U11,United FC Grand Island,NE,NE,2,USA,U11,M
42176655,Omaha-EVO-2015B-Orange,Evolution SC (NE),NE,NE,2,USA,U11,M
42172974,GEA Gold 14B I,Gretna Elite Academy,NE,NE,2,USA,U11,M
42176094,Diablos FC 2015B,,NE,NE,2,USA,U11,M
42164051,Lincoln Surf 15B Blue,Dreamers FC,NE,NE,2,USA,U11,M
42176006,Nebraska Roots 2014B 1,Nebraska Roots,NE,NE,2,USA,U11,M
42175230,Sporting NE B Academy Watford 2015,Sporting Nebraska FC,NE,NE,2,USA,U11,M
42160815,HFC Sidekicks 2015/16,Heartland FC,NE,NE,2,USA,U11,M
42164239,402 DA 2015 Boys Black,402 Development Academy,NE,NE,2,USA,U11,M
42175528,ISC - B11U Blue,Interstate SC,NE,NE,2,USA,U11,M
42164079,KSC 2015 Boys Academy,Kearney SC,NE,NE,2,USA,U11,M
42176623,Nebraska Roots,Nebraska Roots,NE,NE,2,USA,U11,M
42172458,Scrappers,,NE,NE,2,USA,U11,M
42160328,WNFC 2015 Boys Select Black,Western Nebraska FC,NE,NE,2,USA,U11,M
42175232,GEA Academy Pre-ECNL 15B II,Gretna Elite Academy,NE,NE,2,USA,U11,M
42175229,402 DA 2015B Premier,402 Development Academy,NE,NE,2,USA,U11,M
42175529,OUSC 2015-14B BLACK II,Omaha United SC,NE,NE,2,USA,U11,M
42175245,FSC United U11 Gold (S),Fremont United Soccer,NE,NE,2,USA,U11,M
42161335,Sporting Nebraska B LNK 2015,Sporting Nebraska FC,NE,NE,2,USA,U11,M
42160692,402 DA 2015 Boys White,402 Development Academy,NE,NE,2,USA,U11,M
42175231,Sporting Nebr B Acad Ipswich 2015,Sporting Nebraska FC,NE,NE,2,USA,U11,M
42175233,Eagles Football Club - B11U,Eagles Football Club ,NE,NE,2,USA,U11,M
42175530,UFA Siouxland 2014 Competitive,United Futbol Academy (UFA),NE,NE,2,USA,U11,M
42164458,Lightning,Lincoln Spirit SC,NE,NE,2,USA,U11,M
42176491,Destroyers,Columbus SC,NE,NE,2,USA,U11,M
42177438,EAA Roots 2015B I,Elkhorn AA,NE,NE,2,USA,U11,M
42177472,LCFC 2015B Premier,Lincoln City FC,NE,NE,2,USA,U11,M
42177448,SNFC B Academy Leeds 2015,Sporting Nebraska FC,NE,NE,2,USA,U11,M
