gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42159282,Club Ohio United 15B Black,Club Ohio,OH,OH,2,USA,U11,M
42161451,CE 2015B Grasshoppers Black,Columbus Force SC,OH,OH,2,USA,U11,M
42160443,Club Ohio West Pre MLS NEXT 15B,Club Ohio,OH,OH,2,USA,U11,M
42160537,CE 2015B Grasshoppers (Red),Columbus Force SC,OH,OH,2,USA,U11,M
42176608,CUP 15B Gold,Cincinnati United,OH,OH,2,USA,U11,M
42176609,CUP 15B Black,Cincinnati United,OH,OH,2,USA,U11,M
42160536,CUSM 15B AS ROMA,Cincinnati United,OH,OH,2,USA,U11,M
42160245,CUSE 15B Arsenal,Cincinnati United,OH,OH,2,USA,U11,M
42161219,CAU Force 2015B Pre-ECNL,Canton Akron United Force,OH,OH,2,USA,U11,M
42159811,Columbus Force 15B Pre-ECNL,Columbus Force SC,OH,OH,2,USA,U11,M
42160444,Club Ohio West 15B Green,Club Ohio,OH,OH,2,USA,U11,M
42159752,Northwest FC 2015B Orange,Northwest FC,OH,OH,2,USA,U11,M
42160373,FC Storm B15 Premier 1,FC Storm,OH,OH,2,USA,U11,M
42169037,BSA Celtic 15B White,Ohio Galaxies FC,OH,OH,2,USA,U11,M
42162882,Pride SC 2015B Copa,Pride Soccer Club,OH,OH,2,USA,U11,M
42175938,Grasshoppers FC - 2015B Black,Grasshoppers FC,OH,OH,2,USA,U11,M
42162766,2015 Boys Pre-ECNL,Ohio Premier,OH,OH,2,USA,U11,M
42176029,DSX Orange 2015B,Dublin Soccer League,OH,OH,2,USA,U11,M
42160756,Lakota FC B15 Black,Lakota Futbol Club,OH,OH,2,USA,U11,M
42162862,KHPE1 New Albany B15,Kings Hammer New Albany,OH,OH,2,USA,U11,M
42162772,2015 Boys NPL,Ohio Premier,OH,OH,2,USA,U11,M
42160630,CUSE 15B Barcelona,Cincinnati United,OH,OH,2,USA,U11,M
42162983,Cincy Galaxy 2015B Elite Navy,Cincy Galaxy SC,OH,OH,2,USA,U11,M
42173434,Polaris SC 15B Navy,Polaris Soccer Club,OH,OH,2,USA,U11,M
42162940,Barcelona United Pre-Academy 15B,Barcelona United,OH,OH,2,USA,U11,M
42162903,UAU 2015 BU11 GOLD,Upper Arlington United,OH,OH,2,USA,U11,M
42163448,TCSC 2015 Boys Premier,Tri-County Soccer Club,OH,OH,2,USA,U11,M
42160600,Academia Ole 1 2015B,Academia De Futbol Ole,OH,OH,2,USA,U11,M
42161149,Highland Vipers U11 1,Highland Youth Soccer,OH,OH,2,USA,U11,M
42163355,Cleveland Force 15B Pre-ECNL White,Cleveland Force SC,OH,OH,2,USA,U11,M
42162550,Elite FC 2015 Boys Elite Premier,Elite FC,OH,OH,2,USA,U11,M
42163456,KHPA CINCY B15-1,Kings Hammer Soccer Club,OH,OH,2,USA,U11,M
42159579,PCFC 2015 Boys,PCFC,OH,OH,2,USA,U11,M
42162938,Barcelona United Elite 15B,Barcelona United,OH,OH,2,USA,U11,M
42169704,PSC B2015 Gold,Perrysburg SC,OH,OH,2,USA,U11,M
42160320,Lakota FC B15 Red,Lakota Futbol Club,OH,OH,2,USA,U11,M
42159918,FC Storm B15 White,FC Storm,OH,OH,2,USA,U11,M
42161023,CE 2015B Flames,Columbus Force SC,OH,OH,2,USA,U11,M
42175939,Grasshoppers FC - 2015B Teal,Grasshoppers FC,OH,OH,2,USA,U11,M
42162872,Sporting Columbus Boys 2015 Pre-ECNL,Sporting Columbus,OH,OH,2,USA,U11,M
42162797,CE 2015B Azzurri,Columbus Force SC,OH,OH,2,USA,U11,M
42163458,FC Storm B15 Orange,FC Storm,OH,OH,2,USA,U11,M
42159488,AW United Boys 2015 Blue,Anthony Wayne United SC,OH,OH,2,USA,U11,M
42160966,Kolping SC B15 Orange,Kolping SC,OH,OH,2,USA,U11,M
42161919,North FC West 2015 Boys NPL,North FC,OH,OH,2,USA,U11,M
42176447,FC Cleveland Flames U11 Boys II,FC Cleveland Flames,OH,OH,2,USA,U11,M
42162912,SP Soccer Academy 2015 Boys Blue 1,SP Soccer Academy,OH,OH,2,USA,U11,M
42159655,COE 2015B Blue,Central Ohio Elite,OH,OH,2,USA,U11,M
42162873,Club Ohio United 2015 White,Club Ohio,OH,OH,2,USA,U11,M
42161924,CVSA 2015 Boys Blue,Cuyahoga Valley Soccer Academy,OH,OH,2,USA,U11,M
42161247,TFA B15 Elite,Total Futbol Academy(OH),OH,OH,2,USA,U11,M
42160430,Columbus United B'15 Lions,Columbus United,OH,OH,2,USA,U11,M
42163430,P24Masia,Soccer Vision Academy- OH Boys,OH,OH,2,USA,U11,M
42159575,Sylvania United Boys 2015 Blue,,OH,OH,2,USA,U11,M
42163061,Manta Pre ECNL B15,Manta United Soccer Club,OH,OH,2,USA,U11,M
42163457,KHPA CINCY B15-2,Kings Hammer Soccer Club,OH,OH,2,USA,U11,M
42160740,Club Ohio West 15B Academy,Club Ohio,OH,OH,2,USA,U11,M
42162925,Northwest FC 2015B Blue,Northwest FC,OH,OH,2,USA,U11,M
42159640,Club Ohio Dayton 15B Green,Club Ohio,OH,OH,2,USA,U11,M
42173670,Metro FC B15 Rapids,Ohio Galaxies FC,OH,OH,2,USA,U11,M
42159030,Pacesetter South 2015 Boys Red,Pacesetter South,OH,OH,2,USA,U11,M
42159030,Pacesetter South 2015 Boys Red,Pacesetter South,OH,OH,2,USA,U11,M
42173996,Cincy SC B15 Premier,Cincy SC,OH,OH,2,USA,U11,M
42163282,Cincinnati Elite FC B15 Gold,Cincinnati Elite FC,OH,OH,2,USA,U11,M
42159577,Sylvania United Boys 2015 White,,OH,OH,2,USA,U11,M
42161871,Campbell FC 2015,Campbell FC,OH,OH,2,USA,U11,M
42161834,CE 2015B Arsenal FC - A,Columbus Force SC,OH,OH,2,USA,U11,M
42163561,Cleveland Force 15B White West,Cleveland Force SC,OH,OH,2,USA,U11,M
42161061,Cincy SC B15 Orange,Cincy SC,OH,OH,2,USA,U11,M
42176267,North FC West Pre-ECNL B15,North FC,OH,OH,2,USA,U11,M
42159473,FC Storm B15 Loveland Black,FC Storm,OH,OH,2,USA,U11,M
42162778,LFC United 2015 B Elite,LFC United,OH,OH,2,USA,U11,M
42159486,SFC 2015,Spartans FC,OH,OH,2,USA,U11,M
42162283,Boys 2015 Black -1,Shaker Youth Soccer Assn - Premier Football Club,OH,OH,2,USA,U11,M
42158914,PSC B2015 Black,Perrysburg SC,OH,OH,2,USA,U11,M
42162565,GCKA 2015B Red,Grove City Kids Association,OH,OH,2,USA,U11,M
42161262,Cleveland Force 15B Yellow West,Cleveland Force SC,OH,OH,2,USA,U11,M
42161262,Cleveland Force 15B Yellow West,Cleveland Force SC,OH,OH,2,USA,U11,M
42162769,2015 Boys OCL,Ohio Premier,OH,OH,2,USA,U11,M
42162958,Ambassadors FC 2015 Boys,Ambassadors FC (OH),OH,OH,2,USA,U11,M
42174182,BSA Celtic 15B Blue,Ohio Galaxies FC,OH,OH,2,USA,U11,M
42176695,CUP 15B Silver,Cincinnati United,OH,OH,2,USA,U11,M
42172721,DUSC Bulldogs 2015 Boys,Dublin United Soccer Club,OH,OH,2,USA,U11,M
42159061,MSC Express 2015 Boys Purple,Maumee SC,OH,OH,2,USA,U11,M
42161068,CULM 15B Bournemouth,Cincinnati United,OH,OH,2,USA,U11,M
42162844,Polaris SC 15B Gray,Polaris Soccer Club,OH,OH,2,USA,U11,M
42161194,Galacticos FC 2015,Final Third Foundation Affiliate,OH,OH,2,USA,U11,M
42159203,GTFC Impact Boys 2015 White,GTFC Impact,OH,OH,2,USA,U11,M
42159693,Archbold Bluestreaks B2015,Archbold Bluestreaks,OH,OH,2,USA,U11,M
42160754,SPIRE FC 2015 BLACK BOYS,Spire FC,OH,OH,2,USA,U11,M
42160754,SPIRE FC 2015 BLACK BOYS,Spire FC,OH,OH,2,USA,U11,M
42162856,Blast FC 2015B Black,Blast FC Soccer Academy,OH,OH,2,USA,U11,M
42163437,Liberty FC 2015 Boys,Liberty Football Club,OH,OH,2,USA,U11,M
42164342,U11 Boys Royal - 1 - Book,Brunswick Soccer Association,OH,OH,2,USA,U11,M
42162870,Sporting Columbus Boys 2015 NPL,Sporting Columbus,OH,OH,2,USA,U11,M
42160403,All United SC,,OH,OH,2,USA,U11,M
42162748,Johnstown FC 2015 Boys,Johnstown FC,OH,OH,2,USA,U11,M
42162748,Johnstown FC 2015 Boys,Johnstown FC,OH,OH,2,USA,U11,M
42161692,TFA B15 Premier,Total Futbol Academy(OH),OH,OH,2,USA,U11,M
42159118,2015 Boys W,ESSL Arsenal,OH,OH,2,USA,U11,M
42162843,Polaris SC 2015 Boys Gray Euro,Polaris Soccer Club,OH,OH,2,USA,U11,M
42161065,Madeira FC B2015 Orange,Madeira FC,OH,OH,2,USA,U11,M
42159812,Columbus Force 15B Blue,Columbus Force SC,OH,OH,2,USA,U11,M
42161077,LGSC B15 Tigers Black,Lawrenceburg Greendale Soccer Club,OH,OH,2,USA,U11,M
42161207,Kolping SC B15 Black,Kolping SC,OH,OH,2,USA,U11,M
42176607,CU North 15B Elite 1,Cincinnati United,OH,OH,2,USA,U11,M
42159542,LB Eagles 2015 Travel,Liberty Benton SA,OH,OH,2,USA,U11,M
42163833,Monroe Premier FC 2015 Boys Gold,Monroe Premier FC,OH,OH,2,USA,U11,M
42162888,LSO United B15,LSO United,OH,OH,2,USA,U11,M
42162909,Worthington United 94 2015 Boys Navy III,Worthington United,OH,OH,2,USA,U11,M
42174798,CUSM 15B Bologna,Cincinnati United,OH,OH,2,USA,U11,M
42174798,CUSM 15B Bologna,Cincinnati United,OH,OH,2,USA,U11,M
42160428,Oak Hills Premier Boys 2015,Oak Hills Youth Athletics,OH,OH,2,USA,U11,M
42159063,Pacesetter South 2015 Boys Black,Pacesetter South,OH,OH,2,USA,U11,M
42159538,Glass City Boys U11,Glass City SC,OH,OH,2,USA,U11,M
42163514,CAPS FC 2015B,Caps FC,OH,OH,2,USA,U11,M
42159636,CE 2015B AC Milan,Columbus Force SC,OH,OH,2,USA,U11,M
42164635,Boys 2015 White - East 5,Shaker Youth Soccer Assn - Premier Football Club,OH,OH,2,USA,U11,M
42162952,KHPA CINCY B15-B,Kings Hammer Soccer Club,OH,OH,2,USA,U11,M
42162552,Elite FC 2015 Boys OCL,Elite FC,OH,OH,2,USA,U11,M
42159780,CUSE 15B Dortmund,Cincinnati United,OH,OH,2,USA,U11,M
42163044,Mercury B2015 west 1,Mercury,OH,OH,2,USA,U11,M
42161399,Team Challenger FC B15 Black,Team Challenger FC North,OH,OH,2,USA,U11,M
42164170,2015 Boys - Collins 4W,Bay Soccer Club,OH,OH,2,USA,U11,M
42163035,FOSC B15 Elite,Fairfield Optimist Soccer Club,OH,OH,2,USA,U11,M
42163560,Cleveland Force 15B White East,Cleveland Force SC,OH,OH,2,USA,U11,M
42162937,LEGEND SC B 2015,Legend SC,OH,OH,2,USA,U11,M
42162810,UPPER 90 FC 2015 Boys Team Red,Upper 90 FC,OH,OH,2,USA,U11,M
42176331,CVSA 2015 Boys Red,Cuyahoga Valley Soccer Academy,OH,OH,2,USA,U11,M
42160800,TCFC Red Bulls B2015,Taylor Creek Youth Organization,OH,OH,2,USA,U11,M
42161681,Mercury Premier 2015 Boys White,Mercury,OH,OH,2,USA,U11,M
