gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42158655,Greenwood 2015 Pre-MLS Next,Tulsa Greenwood SC,OK,OK,3,USA,U11,M
42220054,WSA South Arsenal 2015B,West Side Alliance SC,OK,OK,3,USA,U11,M
42176443,OK Energy FC 15B Pre-ECNL,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42164217,ESC ELITE ACADEMY 2015 BOYS GOLD,Edmond SC,OK,OK,3,USA,U11,M
42160874,NWO Green Monsters 2015 B,Northwest Optimist SC,OK,OK,3,USA,U11,M
42159701,PC United SA United 2015B,Ponca City SA,OK,OK,3,USA,U11,M
42160554,NEOFC Bartlesville 15 Boys Gray,NE Oklahoma FC,OK,OK,3,USA,U11,M
42160638,Sporting Oklahoma 15B,Sporting Oklahoma,OK,OK,3,USA,U11,M
42172040,WSA 15 Boys White (Romo),West Side Alliance SC,OK,OK,3,USA,U11,M
42161640,NEOFC 15 Boys Blue NPL,NE Oklahoma FC,OK,OK,3,USA,U11,M
42159950,WSA OKC 15 Boys Integrity,West Side Alliance SC,OK,OK,3,USA,U11,M
42161646,Tulsa SC Pre-ECNL RL B15,Tulsa Soccer Club,OK,OK,3,USA,U11,M
42171525,GOAT'd Guys,Broken Arrow Express Soccer Club,OK,OK,3,USA,U11,M
42160395,Elite Football Academy 2015 black,,OK,OK,3,USA,U11,M
42176168,OK Energy FC 15B Black,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42164406,Oklahoma Cosmos 16B Elite,South Lakes SC,OK,OK,3,USA,U11,M
42161025,Sporting Oklahoma 15B White,Sporting Oklahoma,OK,OK,3,USA,U11,M
42164347,Enid Tornados Gutierrez,Enid SC,OK,OK,3,USA,U11,M
42160316,WSA OKC 15 Boys (Ferlaino),West Side Alliance SC,OK,OK,3,USA,U11,M
42161102,ESC ELITE ACADEMY 2015 BOYS BLACK,Edmond SC,OK,OK,3,USA,U11,M
42160164,Apex 2015 Boys,Harrah SC,OK,OK,3,USA,U11,M
42164630,WSA South 15 Boys (Pedro Colina),West Side Alliance SC,OK,OK,3,USA,U11,M
42162104,FC Tulsa Academy 15 Boys Black,FC Tulsa Academy,OK,OK,3,USA,U11,M
42159748,OKC Crew '15,Northwest Soccer Club,OK,OK,3,USA,U11,M
42176528,OK Energy FC 15B Pre-ECRL2,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42160637,Sporting Oklahoma 15B Blue,Sporting Oklahoma,OK,OK,3,USA,U11,M
42160636,Sporting Oklahoma 15B Red,Sporting Oklahoma,OK,OK,3,USA,U11,M
42163412,WSA OKC 16 Boys (Thomas),West Side Alliance SC,OK,OK,3,USA,U11,M
42163349,WSA 15 Boys (Keck),West Side Alliance SC,OK,OK,3,USA,U11,M
42160775,OKC 405 FC 2015B Green,OKC 405 FC,OK,OK,3,USA,U11,M
42175913,OEFC 14B Navy,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42160555,NEOFC Bartlesville 15 Boys White,NE Oklahoma FC,OK,OK,3,USA,U11,M
42175055,NOKC 2016 Boys Red,North OKC SC,OK,OK,3,USA,U11,M
42176057,OK Energy FC 15B White,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42177158,EFC U11 BOYS,ELGIN FUTBOL CLUB (E.F.C.),OK,OK,3,USA,U11,M
42163491,NWO FC 16 Elite,Northwest Optimist SC,OK,OK,3,USA,U11,M
42160396,Elite Football Academy 2015 Pink,,OK,OK,3,USA,U11,M
42164255,ESC 2015 BOYS TIGERS,Edmond SC,OK,OK,3,USA,U11,M
42160437,WSA OKC 15 Boys (Zepeda),West Side Alliance SC,OK,OK,3,USA,U11,M
42161998,Oklahoma Cosmos 15B Select,South Lakes SC,OK,OK,3,USA,U11,M
42161670,Oklahoma Cosmos 15B Premier,South Lakes SC,OK,OK,3,USA,U11,M
42177323,2015 B Green,Tulsa Greenwood SC,OK,OK,3,USA,U11,M
42163369,BA Express 2015B Elite,Broken Arrow Express Soccer Club,OK,OK,3,USA,U11,M
42161645,Tulsa SC 15B Red,Tulsa Soccer Club,OK,OK,3,USA,U11,M
42175000,ESC ACADEMY 2015 BOYS RED,Edmond SC,OK,OK,3,USA,U11,M
42175808,OK Energy FC 15B Grey,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42176445,OK Energy FC 15B Gold,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42164599,ESC 2015 BOYS COLLARD,Edmond SC,OK,OK,3,USA,U11,M
42174857,ESC ACADEMY 2015 BOYS BLUE,Edmond SC,OK,OK,3,USA,U11,M
42161588,FC Tulsa Academy 15 Boys Premier,FC Tulsa Academy,OK,OK,3,USA,U11,M
42176221,OK Energy FC 15B Silver,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42176433,OK Energy FC 15B Red,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42176381,OK Energy FC 15B Pre-ECRL,Oklahoma Energy FC,OK,OK,3,USA,U11,M
42164503,Mini-Miami Inter,NW Oklahoma SA,OK,OK,3,USA,U11,M
42164680,Oklahoma Celtic 2015B White,Oklahoma Celtic,OK,OK,3,USA,U11,M
42164662,Westminster United,,OK,OK,3,USA,U11,M
42174947,ESC ACADEMY 2015 BOYS GREEN,Edmond SC,OK,OK,3,USA,U11,M
42161693,SSC U10 Academy Boys-Black,Stillwater SC,OK,OK,3,USA,U11,M
42164402,PC Dragons,Ponca City SA,OK,OK,3,USA,U11,M
42176440,Royals,,OK,OK,3,USA,U11,M
