gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42162223,MP 15 Blue,South Carolina Surf SC,SC,SC,3,USA,U11,M
42162975,TFC 15B Ibis I GA,Tormenta FC,SC,SC,3,USA,U11,M
42176467,CASC 14/15 Rangers,Cainhoy Athletic SC,SC,SC,3,USA,U11,M
42177320,Alpha SA 2015,Alpha Soccer Academy,SC,SC,3,USA,U11,M
42177164,LUFC BOYS U11 (2015) BLUE,Land United Football Club,SC,SC,3,USA,U11,M
42175856,BISA 14B PANTHERS,Bilu International Soccer Academy,SC,SC,3,USA,U11,M
42175567,JIYSC 2015 Boys Red Chambers,James Island Youth SC,SC,SC,3,USA,U11,M
42175560,JIYSC 2015 Boys Red Moody,James Island Youth SC,SC,SC,3,USA,U11,M
42175738,TSC 2014 Boys,Technical SC,SC,SC,3,USA,U11,M
42175729,2014 Boys Augusta Arsenal Navy,Augusta Arsenal SC (SC),SC,SC,3,USA,U11,M
42177327,CESA Pachuca 2015B Black,Carolina Elite Soccer Academy,SC,SC,3,USA,U11,M
42177181,Coast B15 Black,Coast FA,SC,SC,3,USA,U11,M
42174980,CCFC 2015 Green,Carolina Core FC Youth,SC,SC,3,USA,U11,M
42162976,TFC 15B Ibis II GA,Tormenta FC,SC,SC,3,USA,U11,M
42161347,Coast 2015 Red,Coast FA,SC,SC,3,USA,U11,M
42177219,CESA 2015B Pre-USYS-NL #2,Carolina Elite Soccer Academy,SC,SC,3,USA,U11,M
42175821,FCC 2013/2014 Boys Gold,FC Charleston,SC,SC,3,USA,U11,M
42175863,FCC 2014 Boys Gold 2,FC Charleston,SC,SC,3,USA,U11,M
42177277,United FC 15B White,Furman United SC,SC,SC,3,USA,U11,M
42175829,JIYSC 2014 Boys Red Kifer,James Island Youth SC,SC,SC,3,USA,U11,M
42175826,Lexington SA 15 Black,Lexington SA,SC,SC,3,USA,U11,M
42175740,2014 Boys Augusta Arsenal Green,Augusta Arsenal SC (SC),SC,SC,3,USA,U11,M
42175739,FCC 2014 Boys White,FC Charleston,SC,SC,3,USA,U11,M
42175737,Shaw Futbol Club - 11U (2014) - Academy,,SC,SC,3,USA,U11,M
42175731,SCUFC 15 Boys Futures 3,South Carolina United FC,SC,SC,3,USA,U11,M
42175730,Shaw Futbol Club - 11U (2014) - Select,,SC,SC,3,USA,U11,M
42174977,CASA Pride 2014 Boys (A),Clemson Anderson SA,SC,SC,3,USA,U11,M
42174988,CCFC Argentina 2015B,Carolina Core FC Youth,SC,SC,3,USA,U11,M
42177325,CEFC 2015 Boys Navy,Clover Elite ,SC,SC,3,USA,U11,M
42175832,Lexington SA 15 Red,Lexington SA,SC,SC,3,USA,U11,M
42175833,FCC 2015 Boys Gold GR,FC Charleston,SC,SC,3,USA,U11,M
42175860,CASC 2014 Golden Gators,Cainhoy Athletic SC,SC,SC,3,USA,U11,M
42175861,FCC 2014 Boys Navy 2,FC Charleston,SC,SC,3,USA,U11,M
42175862,Spartanburg United 14 Boys White,Spartanburg United SA,SC,SC,3,USA,U11,M
42175865,MPFC 2014B Kryptonite,Mount Pleasant Soccer Club,SC,SC,3,USA,U11,M
42177278,United FC 15B Gold,Furman United SC,SC,SC,3,USA,U11,M
42177280,CESA Spartanburg 2015B,Carolina Elite Soccer Academy,SC,SC,3,USA,U11,M
42177224,CESA 2015B Pre-USYS-NL #1,Carolina Elite Soccer Academy,SC,SC,3,USA,U11,M
42177311,Bulls Rush 2015 Boys Red U11,,SC,SC,3,USA,U11,M
42177338,JIYSC 15 Boys Red Brisson,James Island Youth SC,SC,SC,3,USA,U11,M
42177343,JIYSC 16 Boys Red Watt,James Island Youth SC,SC,SC,3,USA,U11,M
42177166,FMU 2015 Boys EPL,Fort Mill United Soccer Club,SC,SC,3,USA,U11,M
42177384,Coast 15 Red,Coast FA,SC,SC,3,USA,U11,M
42174685,JIYSC 2014 Boys Black MOODY,James Island Youth SC,SC,SC,3,USA,U11,M
42174702,JIYSC 2014 Boys Red Cepeda,James Island Youth SC,SC,SC,3,USA,U11,M
42174763,CSC 14 Boys Yellow North,Charleston Soccer Club,SC,SC,3,USA,U11,M
42175549,SC Surf MP 14 Black,South Carolina Surf SC,SC,SC,3,USA,U11,M
42175721,Charleston City CCFC U11 2014 Boys,Charleston City FC,SC,SC,3,USA,U11,M
42175722,SCUFC 15 Boys Futures 2,South Carolina United FC,SC,SC,3,USA,U11,M
42175857,SC Surf MP 14 White,South Carolina Surf SC,SC,SC,3,USA,U11,M
42176180,Bulls 2015 Boys Red,Bulls SC,SC,SC,3,USA,U11,M
42177184,Coast B15 White,Coast FA,SC,SC,3,USA,U11,M
