gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42160642,Nordic 2015 Boys Milan,Nordic SC,VT,VT,1,USA,U11,M
42163971,VT Northern United U10 Boys Gold,VT Northern United,VT,VT,1,USA,U11,M
42163830,Capital U10 Boys,Capital SC,VT,VT,1,USA,U11,M
42163854,AU 2015-2016 Boys,Addison United SC,VT,VT,1,USA,U11,M
42163893,Barre Boys 2015,Barre SC,VT,VT,1,USA,U11,M
42163255,Vermont Fusion U10 Green,VT Fusion Soccer,VT,VT,1,USA,U11,M
42164064,VTUSA U10 Boys,Vermont United Soccer Academy,VT,VT,1,USA,U11,M
42163899,u10 Boys Blue,Central Vermont FC,VT,VT,1,USA,U11,M
42163845,Caledonia Flood Thunder (10B),Caledonia Flood ,VT,VT,1,USA,U11,M
42163993,Iroquois U10 1,Iroquois SC,VT,VT,1,USA,U11,M
42163952,VT Northern United U10 Boys Green,VT Northern United,VT,VT,1,USA,U11,M
42160702,U10 Arctic Wolves,Atletico Middlebury,VT,VT,1,USA,U11,M
42163387,MRVSA Travel Boys U10D3 Avalanche,Mad River Valley Soccer Association,VT,VT,1,USA,U11,M
42162574,EUSC U10 Boys Morgan,Essex United SC,VT,VT,1,USA,U11,M
42164031,MSC U10 Boys,Morrisville SC,VT,VT,1,USA,U11,M
42163951,VT Northern United U10 Boys Blue,VT Northern United,VT,VT,1,USA,U11,M
42162575,EUSC U10 Boys Sunderland,Essex United SC,VT,VT,1,USA,U11,M
42163986,Soccer Roots CF U10B White,Soccer Roots,VT,VT,1,USA,U11,M
42163857,U10 Boys - Northfield SC - 2025,Northfield SC,VT,VT,1,USA,U11,M
42163980,u10 Boys Sky,Central Vermont FC,VT,VT,1,USA,U11,M
42161743,Nordic 2015 Boys Napoli,Nordic SC,VT,VT,1,USA,U11,M
42163671,Colchester S25 U10B Black,Colchester SC,VT,VT,1,USA,U11,M
42164017,U10 NEK Warriors,NEK Warrior SC,VT,VT,1,USA,U11,M
42163672,Colchester S25 U10B Green,Colchester SC,VT,VT,1,USA,U11,M
42163900,u10 Boys Silver,Central Vermont FC,VT,VT,1,USA,U11,M
42164153,Far Post U10 Boys Ajax,Far Post SC,VT,VT,1,USA,U11,M
42163748,Queen City FC U11 (2015) Boys Premier,Queen City FC,VT,VT,1,USA,U11,M
42160633,Georgia United U10 Blue,Georgia United SC,VT,VT,1,USA,U11,M
42163979,Onion River SC U10B Yellow,Onion River YS,VT,VT,1,USA,U11,M
42163985,Soccer Roots CF U10B Navy,Soccer Roots,VT,VT,1,USA,U11,M
42163961,U10 Boys White,Milton Youth Soccer Club,VT,VT,1,USA,U11,M
42163772,CYS/Lancer U10 Boys,Cambridge SC,VT,VT,1,USA,U11,M
42163994,Iroquois U10 2,Iroquois SC,VT,VT,1,USA,U11,M
42164465,BFC U10 BOYS WHITE,Burlington FC,VT,VT,1,USA,U11,M
42163256,Vermont Fusion U10 White,VT Fusion Soccer,VT,VT,1,USA,U11,M
42163910,Summit FC u10,Summit FC,VT,VT,1,USA,U11,M
42163895,Barre Boys 2015/2016 3,Barre SC,VT,VT,1,USA,U11,M
42163995,U10 Boys Gold,Stowe Soccer Club,VT,VT,1,USA,U11,M
42164010,Colchester S25 U10B GREY,Colchester SC,VT,VT,1,USA,U11,M
42164083,Slate Valley United U10,Slate Valley United FC,VT,VT,1,USA,U11,M
42164000,Spring 25 U10 Boys,Fairfax Fletcher SC,VT,VT,1,USA,U11,M
42164463,BFC U10 BOYS BLUE,Burlington FC,VT,VT,1,USA,U11,M
42164464,BFC U10 BOYS GREEN,Burlington FC,VT,VT,1,USA,U11,M
