gotsport_team_id,display_name,club,state,team_association_raw,region,country,age_group,gender
42162516,WYO 307 2015 Boys,Wyoming Soccer Association,WY,WY,4,USA,U11,M
42160545,JHYS United Boys 2015 Black,Jackson Hole Youth Soccer,WY,WY,4,USA,U11,M
42160282,Blades 2015B Red,Casper SC,WY,WY,4,USA,U11,M
42163739,Worland 10U Boys Bronze,Worland Soccer,WY,WY,4,USA,U11,M
42164094,YFSA SP25: U9/U10 Boys *RED,Yellowstone Fire Soccer Assoc,WY,WY,4,USA,U11,M
42163532,Worland 10U Boys Silver,Worland Soccer,WY,WY,4,USA,U11,M
42160546,JHYS United Boys 2015 Blue,Jackson Hole Youth Soccer,WY,WY,4,USA,U11,M
42163934,STRIKERS COED U10 BLACK,Lander Valley Youth Soccer,WY,WY,4,USA,U11,M
42163749,Rock Springs Avengers U10 Boys Kirkwood,RS Avengers,WY,WY,4,USA,U11,M
42161431,2015-2016 GSC Boys White,Gillette Edge SC,WY,WY,4,USA,U11,M
42163524,JHYS United Boys 2015 White,Jackson Hole Youth Soccer,WY,WY,4,USA,U11,M
42164093,YFSA SP25: U9/U10 Boys *BLACK,Yellowstone Fire Soccer Assoc,WY,WY,4,USA,U11,M
42161432,2015-2016 GSC Boys Black,Gillette Edge SC,WY,WY,4,USA,U11,M
42163911,JCSA U10 Boys Black Spring 2025,Johnson County Soccer,WY,WY,4,USA,U11,M
42163912,JCSA U10 Boys White Spring 2025,Johnson County Soccer,WY,WY,4,USA,U11,M
42175923,Evanston Express,,WY,WY,4,USA,U11,M
42163535,U10 SVSC-Rich,Star Valley Soccer Club,WY,WY,4,USA,U11,M
