team_name,gotsport_team_id,state
CFC Ole B2015 Pre-ECNL,270709,CT
TUSC 2015 Boys U11 Black,391381,CT
Beachside South NEAL U11 (2015),144043,CT
Beachside North NEAL U11 (2015),144091,CT
2015 Boys Blue SELECT,452018,CT
Ginga FC Boys 2015 Pre-MLS NEXT Academy Division,273328,CT
VALLEY FC 2014 BOYS EDP PREMIER,272786,CT
Rangers,272242,CT
B2015 Pre-ECNL I,392786,CT
Levels SC 2015,449378,CT
Oakwood SC 15 Pre-MLS Next Blue,399018,CT
B2015 Blue,418704,CT
CT Rush South 2015 Boys,394199,CT
Inter Connecticut 2015 Pre-NAL Boys,260298,CT
Ct Select Black 2015,576243,CT
CFC North 2015 EDP Wolves Black,395104,CT
FSA FC BOYS 2015 ELITE,394880,CT
Vale Middletown 2015 Boys Red,331083,CT
2015 Boys White SELECT,452263,CT
Glastonbury U11 Blue Sharks,580690,CT
CT Rush Central 2015 Boys Blue,387369,CT
Wilton B2015 Blue,423222,CT
Stamford FC Boys 2015 White,550176,CT
TUSC 2016 Boys U10 Black,409606,CT
CFC North 2015 EDP Star Hill Black,395108,CT
JA Elite FC - 2015 Boys DSA (U11),644879,CT
Southern New England Elite 2015,490303,CT
Ginga FC Coastal Boys 2015 Pre-MLS NEXT Academy Division,397385,CT
CFC Ole B2015 Academy #1,395469,CT
VALLEY FC 2015 BOYS EDP PREMIER,395209,CT
VALLEY FC 2015 BOYS EDP PREMIER,395209,CT
Foundation SC 2015 Boys,522602,CT
Vale Middletown 2015 Boys Black,452497,CT
Suffield U11B Blue,414565,CT
Suffield U11B Blue,414565,CT
Boys 2014 Red,522363,CT
SAFC BU11 Gold F25,558157,CT
Levels SC Yellow,316783,CT
Southeast SC B15,396569,CT
FUSA U10 Boys Red,555945,CT
FUSA U10 Boys Blue,555969,CT
CFC North 2015 EDP Sportsworld Black,395107,CT
Glastonbury Boys U10 Blue,581164,CT
West Hartford 2015B Boys,426469,CT
2015 Boys Red,424600,CT
Rocky Hill Sharks,423568,CT
Dundee,329961,CT
Ginga FC Boys 2015 Hamden United,577634,CT
B2015 Pre-ECNL II,399689,CT
CT Rush Select MLS Next Gen 2015 Boys,450512,CT
Joga Bonito Academy 2015 Boys,571083,CT
JCFC 2014/15 Boys,633888,CT
Farm Boys FC,600705,CT
FUSA U10 Boys White,555967,CT
Connecticut FC Bethany Pre ECNL B2015,650897,CT
ERU B2015 Gold (U11),669009,CT
Ridgefield B2015 Black (U11) - EDP,448923,CT
Green Warriors 2015 EDP Boys,395113,CT
Southeast SC B15 Red,523204,CT
B2015 EDP Championship,451379,CT
Ginga FC Boys 2015 Academy Blue,452412,CT
Ginga FC Boys 2015 Academy Yellow,273335,CT
OGRCC Thunder Boys 2015 Blue,425759,CT
Inter Connecticut 2015 SL Boys,448527,CT
West Hartford 2015C Boys,426470,CT
B2015 White,418706,CT
CSC United B2015,275906,CT
B2015 Orange,418707,CT
Ginga FC Coastal Academy Boys 2015,452638,CT
Inter Connecticut FC 2015 Boys RL,332805,CT
FSA FC BOYS 2015 NAVY,394882,CT
CT Rush Central 2015 Boys White,523477,CT
BSC Boys U10 Blue,566951,CT
Ajax Premier B2015 - Pink,391901,CT
Wilton B2015 Bayern,422754,CT
Wilton B2015 White,563059,CT
FUSA U10 Boys Black,555944,CT
Bristol Hawks (BU11),415580,CT
Monroe B2015 (U11),551637,CT
Sporting CT GVSA 2015 Boys,372743,CT
Stamford FC Boys 2015 Gold,492520,CT
Ole Select 2015 Boys Yellow,380454,CT
Ole Select 2015 Boys Orange,264060,CT
ESA Jaguars Power,304568,CT
2015 Boys Black,424601,CT
Ridgefield B2015 Orange (U11),448924,CT
FSC U11A Boys,621729,CT
JCFC 2015. Cuenquita,444745,CT
CFC North 2015 Pre ECNL Sky,606063,CT
Westport U10 B2015 White,569004,CT
Inter CT FC - Union 2015 Boys SL,395317,CT
JCFC 2014B Black,630866,CT
2015 Boys White,424603,CT
CFC Ole B2015 Academy #2,523741,CT
TUSC 2015 Boys U11 Gold,409601,CT
NFSC 2015 Boys Johnson,563914,CT
SAFC BU11 Blue F25,558158,CT
Oakwood SC 15 Pre-MLS Next White,399020,CT
