team_name,gotsport_team_id,state
2015 (U11) Pre MLS,369803,FL
Weston FC 2015 Future Elite I,482590,FL
2015 Boys Blue,278299,FL
Weston FC 2015 Future Elite II,482591,FL
KBSC Academy 2015,251099,FL
ONE FC B2015 BLACK,398246,FL
2015 Boys White,284015,FL
2015-BOYS TEAM ORANGE,197079,FL
FPFC PRE ECNL I B15,366684,FL
ACADEMIA METODO COIRA 2015 ELITE,285615,FL
MVP FC 15B,468101,FL
CFC 15 Premier,537120,FL
GALACTICOS SOCCER ACADEMY 2015 ELITE,225802,FL
Tampa Dynamo FC 2015B Red,272597,FL
Strikers Miami FC 2015 PRE ECNL,309877,FL
WS 2015B Messi,58951,FL
CSSA 2015W White,393507,FL
2015B Red Pre ECNL,368681,FL
JFC 2015 Pre MLS Academy I,242022,FL
Lions U11 Red (2015),539729,FL
Weston FC 2015 Boys Black,263376,FL
Aventura FC Bold Nation 2015B Gold,307227,FL
2015B Black,355808,FL
Azzurri Storm 2015 Boys Select,303057,FL
WS 2015B Tevez,63728,FL
IMCF Academy 2015,508467,FL
OCSS South 2015 Pre MLS 1,503294,FL
FHFC 2015 B Blue,369316,FL
2015B BLACK,304112,FL
TBU 2015B Pre MLS Next North,89154,FL
TBU 2015B Pre MLS Next South,85966,FL
CES - Real Betis Academy Miami Elite 2015 A,329958,FL
SWFL B15 PRE-ECNL,498202,FL
ONE FC B2015 PRE-MLS,625537,FL
Deportivo Cali Doral 2015 Elite Redin,304234,FL
FBS-FC 2015 Orange,151597,FL
2015-BOYS TEAM BLACK,152480,FL
Pre ECNL B15,238017,FL
FLFC 2015 Boys Premier,503211,FL
Palm Beach Wolves SC 2015,548462,FL
2015 Black,286509,FL
Doral SC Elite 2015,284078,FL
PBG 15 PRE-ECNL BOYS NIKE,291115,FL
West Pines United FC 2015 Elite,267708,FL
Silva Select 2015,595389,FL
Fort Lauderdale FC 15 Boys Blue,408030,FL
15 Kraze Pre ECNL,249308,FL
B2015 FERMIN,524949,FL
2015 Boys (FL),302524,FL
2015 (U11) Black,510304,FL
ANBBK Boynton Beach Knights BBK-2015-B-Black,404348,FL
2015 Boys OCLN PreECNL,374721,FL
St Petersburg FC Boys 2015 SPFC,301389,FL
2015 CTC Hialeah City FC BLUE,303658,FL
Solrise Soccer Academy 2015B Elite,610243,FL
SK Sunblazer U10 Gold,419311,FL
B2015 ERIC GARCIA,524950,FL
ANWSC Wellington SC 2015B Elite White,265808,FL
S5A KENDALL U11 ELITE,546551,FL
2015 (U11) Blue,369804,FL
Wellington pre ECNL B15,497653,FL
2015 Boys Grey,282884,FL
Elite 2015 Black,322069,FL
Labelle Heat 15/16,272645,FL
2015 Boys Grey,331845,FL
Doral SC Premier 2015,409528,FL
2015 LUIS ARAGONES,291177,FL
2015B Pre-MLS Navy,249532,FL
GGS 2015 Boys Gold,267310,FL
2015 White 2,286537,FL
2015 Boys Elite,321920,FL
MIAMI UNITED FC 2015 ELITE,290929,FL
JAM Doral - Cuadrado,127866,FL
2015 Southern Homestead Elite,287380,FL
2015 Boys White,278303,FL
Naples Eagles 2015/2016,296812,FL
Parkland SC Pre ECNL B15,385415,FL
B2015 CUBARSI,524948,FL
2015 Boys,326247,FL
2015 (U11) Grey,510305,FL
IdeaSport 2015 Pre-MLS 1,280196,FL
FPFC 15B TRP REGIONAL,495650,FL
Chargers TPA B2015 Academy Yellow,270630,FL
ALL STARS 2015,387415,FL
2015B Pre-MLS White,249531,FL
GOTFC 2015 Elite,448896,FL
EJE7 2015,482543,FL
Weston FC 2015 Boys White,263379,FL
15B FPFC PRE-ECNL II,495937,FL
SWFL Soccer Academy 2015-2016,432361,FL
Weston FC 2015 Future Elite III,482592,FL
Florida Fire West Pines United 2015 Black,309515,FL
2015 BOYS ECNL DEV 1,246657,FL
Deportivo Cali Pembroke 2015 Mafla,557369,FL
KBSC Elite 2015,251116,FL
ONE FC B2015 BLUE,417114,FL
Florida Royal FC 2015 Division 1 Elite,610560,FL
Parkland SC Elite B15,385431,FL
FPFC 15B WC REGIONAL,366689,FL
Nona Soccer 2015 Boys Black,235569,FL
KH PreElite Swan City B15-1,369579,FL
S5A KENDALL U11 BLACK,546389,FL
IdeaSport 2015 Pre MLS 2,503380,FL
SFK SELECT U10 Jonathan,419783,FL
FPFC 16B PRE ECNL I,495943,FL
2015 Boys Red,340804,FL
MSVG 2015 Boys,355342,FL
U11,158854,FL
Doral West 2015 B,553163,FL
2015B WHITE,234273,FL
SFK ELITE U10 Randy,301521,FL
MAKO 2015 BOYS GREEN SEFPL,497743,FL
Chargers LWR B2015 Pre-EA ARCHIVED PER JUAN,270615,FL
Deportivo Cali Pembroke 2015 Willington,332929,FL
Jupiter United 2015 Boys Elite,265434,FL
KBSC Premier 2015,394832,FL
2015 White,286527,FL
U11 Black 2015,479796,FL
Florida Fire West Pines United 2015 Gold,324335,FL
CSSA 2015B Blue,393508,FL
Springs SC Pre-ECNL B15,371621,FL
CLW Chargers B2015 Pre-MLS (U10) Yellow,499270,FL
Homestead Elite U10B,413641,FL
TBU 2015B North Red WFPL,309646,FL
B2015 TER STEGEN,524947,FL
PBG 15 BOYS PRE-ECNL SWOOSH,291120,FL
JAM Doral - Rugani,171391,FL
Mutiny SC 2015B Red,506898,FL
TPA Chargers B2015 Pre-MLS (U10) Red,512495,FL
2015 Boys ULTRA,15224,FL
FPFC 15B TRY REGIONAL,249363,FL
MIAMI UNITED FC 2015 PREMIER II,579376,FL
Naples Elite SC 2015 Blue FCL,392307,FL
FPFC 15B HERNANDO REGIONAL,250057,FL
2015 Elite Colo Colo,327732,FL
A1 Academy 2015,611494,FL
SCU 2015 Boys Pre-ECNL,366466,FL
ANBBK Boynton Beach Knights BBK-2015-B-Red,404352,FL
2015 Boys Navy,427088,FL
15B FPFC TRP ELITE,250054,FL
FBS-FC 2015 Teal,520041,FL
2015B East Lake Navy,249535,FL
FPFC 15B CP REGIONAL GOLD,634063,FL
Merak Academy U11 Gold,669308,FL
PSG ACADEMY FL2 U10 RONALDINHO,399606,FL
Strikers Miami FC 2015 Black,458799,FL
Labelle Heat U11 15/16,400525,FL
JFC 2015B Elite Blue,362531,FL
Sol SC Florida 2015B FAL,389843,FL
DORAL WEST 2015,198936,FL
Driftwood Dragons 2015/2016,557528,FL
WASA SC 2015 White,283574,FL
FHFC 2015 B White,369317,FL
HSP 2015 NEXT PRO I,330046,FL
Lions U11 Red (2015),539731,FL
InterGNV 15/16 USL-Y,393576,FL
2015 Black,318449,FL
Hodler U10 PRE ECNL 2,431500,FL
SWFL B15 BLACK,498203,FL
Naples Elite SC 2015 MI,664026,FL
St Petersburg FC Boys 2015 SPFC Team 2,506164,FL
Mutiny SC 2015B Black,506900,FL
CES - Real Betis Academy Miami - Elite 2015,648091,FL
Elite 2015 Red,550702,FL
2015 Boys Black,411901,FL
TBU 2015B South Red WFPL,309650,FL
2015 BOYS ECNL DEV 2,366022,FL
JAM Doral - Bonucci,516351,FL
OBSC 2015 Boys Red,392266,FL
FC Prime Pre ECNL B15,397313,FL
Ocala Premier 2015/2016 Boys Grey,522119,FL
Miami Beach Football MBFC 2015,397050,FL
FPFC 15B TRY ELITE,249365,FL
W P B FC LIONS BOYS 2015,437760,FL
305 FC 2015,543733,FL
2015B Rangers,321013,FL
FORCE BOYS 2015 BLACK,390046,FL
PSG ACADEMY FL1 2015 LUCAS HERNANDEZ,399125,FL
PBG 15 BOYS PREMIER SWOOSH,401648,FL
Edgewater FC u11,206742,FL
HFC Boys 2015 PREMIER,390607,FL
2015 Boys Red,428431,FL
St. Pete Raiders 2015B Jennison,254919,FL
MIAMI UNITED FC 2015 PREMIER I,557250,FL
Boca United Boys 2015 PA II,429811,FL
2015B White Brandon,546691,FL
2015 White Colo Colo,525791,FL
LCPFC 15B ELITE,400428,FL
2015 Boys Select,407391,FL
15 Kraze Pre ECNL RL,381914,FL
2015B Academy Gold Tropics,492938,FL
WS 2015B Di Maria,300552,FL
2015B Blue Brandon,249534,FL
FPFC 15B CP GOLD,250052,FL
B15 Academy,193868,FL
PSL Hurricanes FC 2015 Boys Red,405682,FL
Arena Strikers U10,559188,FL
JFC 2015B Storm Blue,246050,FL
JAM Doral - Davids,415536,FL
Hollywood - 2015 Red,305639,FL
SWFL B15 YELLOW NOT NEEDED,498314,FL
Nona Soccer 2015 Boys Orange,486595,FL
Azzurri Storm 2015 Boys Premier,234388,FL
Lake Worth Sharks U11boys,550992,FL
ALBION SC Miami B2015 Academy,279345,FL
Strikers Miami FC 2015 Pro Academy,514676,FL
2015 Boys Elite,490872,FL
ASG PRE MLS 2015B,387563,FL
Naples Elite SC 2015 Red,392309,FL
ANBBK Boynton Beach Knights BBK-2015-B-White,414602,FL
2015B Elite,394819,FL
SWFL B15 WHITE,498204,FL
2015 Green HB,550710,FL
FCS 2015 Boys Select- WFPL,370549,FL
