team_name,gotsport_team_id,state
CF 15B Central Black,250744,GA
CF 15B North Black,248320,GA
CF 15B South Black,385843,GA
Moultrie TASA 2015/16 boys,469311,GA
Concorde fire central 2015B Gold,643157,GA
SSA Swarm Marietta 15B Pre MLS-Next I,678254,GA
GSA 15B Premier,563482,GA
UFA South Georgia 15B Red,461706,GA
SG Spartans FC 2015/16B,556470,GA
TRIUMPH 15B GOLD,598030,GA
AFC Lightning 14B White,626880,GA
Alianza White 15,671493,GA
SSA Swarm Coastal 15/16B,523751,GA
CF 15B South White,385851,GA
Legion FC 2014 Boys,649276,GA
Hart Academy 2014B,601218,GA
Inter Atlanta FC 15B SL Blue,601046,GA
NTH NASA 15 SCCL Elite Milton,628976,GA
CF 15B Central White,250745,GA
CF 15B Alpharetta Club,628463,GA
Rush Union B2015 Rush,374455,GA
SSA Swarm Kennesaw/Paulding 15B Academy I,523002,GA
Alliance SC 2015B Elite,679201,GA
Steamers FC 2015B Blue Academy,679200,GA
CF 15B Alpharetta Black,628464,GA
FC Calhoun 2015 B,429252,GA
Alliance SC 2015B Premier,678273,GA
2015 B LSA Gold,678460,GA
MSC U11 Boys White,644655,GA
UFA 15B Black,627117,GA
Concorde Fire South 15B Gold,643357,GA
Georgia Revolution FC 15B Red,671526,GA
Georgia Wolves 2015Red,679208,GA
Inter Atlanta FC 15B Black,638832,GA
SSA Swarm Marietta 15B Pre MLS-Next II,678266,GA
GSA North 15B Red,601189,GA
Savannah United 15B West,533997,GA
SSA Swarm Kenn/Paulding 14B Elite,642644,GA
Atlanta Fire 15B Elite I,275294,GA
AFC Lightning 14B Red,601201,GA
GSA North 14B Green,601245,GA
ALBION SC Atlanta B15 Academy,505272,GA
NASA 15B Premier Smyrna,681693,GA
ALBION SC ATLANTA METRO B15 SCCL,644569,GA
Suda Swarm FC 2015 Boys Premier,678270,GA
Georgia Impact 2015B Premier,380458,GA
Roswell Santos Red 15B,679196,GA
GSA North 14B White,601224,GA
Georgia Impact 2015B Elite,380457,GA
UFA 15B Red,627123,GA
Rush Union B2015 Royal,374413,GA
Alliance SC 2015B Elite Pre-SCCL,621357,GA
CF 15B Central Club 2,620740,GA
MAYS Striker 2014 A,644675,GA
CF 15B Cobb Black,251885,GA
Alpharetta Ambush SC B15 Red - Travel,398678,GA
CF 15B North White,367489,GA
CH4 BU10 Gold - 2016,526949,GA
Concorde Fire 14B South White,601231,GA
Savannah United 15B Premier,447663,GA
Roswell Santos Green 15B,679210,GA
All-In FC Sugar Hill 15B Bronze,679209,GA
Atlanta Fire 2015 Silver 3,679207,GA
Augusta Arsenal 2015B Green,679206,GA
Steamers FC 2015B White Academy,679205,GA
Triumph 15B White,475830,GA
UFA Lawrenceville 15B Red,381300,GA
GSA North 15B Black,678468,GA
Atlanta Fire 2015B Gold II,383284,GA
NTH NASA 15B Classic,678467,GA
Chattanooga Red Wolves SC - 15B Red.,394327,GA
UFA 15B Gold,627121,GA
NTH NASA 15B Select,678465,GA
Triumph 15B black,454519,GA
2015 B LSA Navy,678463,GA
All-In FC Buford 2015B Gold,678462,GA
Suda Swarm FC 2015 Boys Elite,678461,GA
NTH NASA 15 SCCL South,642859,GA
GSA South 15B Premier,678459,GA
NTH NASA 15 SCCL Elite Marietta,628975,GA
UFA Loganville 14B White,601232,GA
GSA South 15B Red,678271,GA
GSA North 14B White,601224,GA
CF 15B Alpharetta White,628543,GA
SSA Swarm Coweta 15B Elite,521295,GA
Rush Union B2015 Azul,383662,GA
AFC Lightning 15B Red,673845,GA
RHSC 2014 Boys White,633052,GA
UFA Mountains 15B Black,371053,GA
UFA Norcross 15B Red,391314,GA
AFU South 2015B Gold,470334,GA
Harris County United 2015B,684720,GA
Steamers FC 2015B Blue,678265,GA
Atlanta Fire 15B Elite II,614409,GA
GSA North 15B Premier Jefferson Cup,591048,GA
AFC Lightning 15B Gold,643092,GA
Inter Atlanta FC 15B Blue,630192,GA
2014B CSA CLT Pre-ECNL White,601184,GA
UFA Loganville 14B Bronze,601193,GA
Legion FC2014 Boys,601202,GA
FSA 2015 Boys Blue,640011,GA
BVB IA Georgia B15 Black,671510,GA
Atlanta City FC 2014B Rec,649281,GA
HSA 2014 Boys,649282,GA
Inter Atlanta 15B Gray,671527,GA
Inter Atlanta FC 15B Navy,679197,GA
ASC 2015 Boys,679202,GA
Augusta Arsenal 2015B Navy,679203,GA
NTH NASA 15 SCCL Premier Marietta,634079,GA
UFA 15B White - North,678274,GA
UFA 15B Premier,627122,GA
GSA East 14B Premier,601210,GA
AFC Lightning 14B Black,601234,GA
GSA East 14B Red,601241,GA
SSA Swarm Marietta 15B,522976,GA
AFC Lightning 15B Black,673394,GA
GSA South 15B White,673408,GA
Triumph 15B Green,629329,GA
AFC Lightning 15B White,673838,GA
CF 15B Central Bronze II,624944,GA
UFA 15B Bronze I,627119,GA
SSA Swarm Marietta 15B II,525454,GA
Georgia Revolution FC 2015 Blue,673843,GA
Athens United 15B Red,638712,GA
FC CALHOUN Premier,674997,GA
Savannah United 15B Blue,447664,GA
SSA Swarm Coastal 15/16 B Silver,587103,GA
UFA Metro Atlanta 14B Black,606922,GA
Athens United 14B Gold,606923,GA
United FC-Furman 15B Black,606932,GA
GSA North 14B Gold,606958,GA
Rush Union B2014 Grey (Milton),606959,GA
Grow U11 Blue,606960,GA
SSA Swarm Cartersville 15B-Morgans...,574809,GA
Rush Union B2014 Cinza,642648,GA
CF 15B South Red,509115,GA
BVBIA Georgia 15B Yellow,671778,GA
Georgia Storm SA 14B Silver,644666,GA
UFA Metro Atlanta 14B Red,644684,GA
GSA East 15B Premier,679198,GA
2015B Sugar Hill Gold,679199,GA
AFC Lightning Griffin 2015B Gold,673853,GA
Savannah United 14B Dev,601516,GA
UFA South Georgia 15B Black,677885,GA
NTH NASA B15 Smyrna Select,681690,GA
Alliance SC 2015B Red,679211,GA
