team_name,gotsport_team_id,state
Hawaii Rush East 15B,319507,HI
RUSH Mililani 15B,437206,HI
Hawaii Rush East 15B White,569347,HI
Kona Super Sonics 2015B,633649,HI
Kipuupuu United SC U11 Boys,556254,HI
Universal SC 15B,600859,HI
OA B15 Academy I,568555,HI
Hawaii Soccer Academy 2015 Boys Black,396869,HI
HSC Bulls 15B - I,315092,HI
Lightning FC 2015B,510433,HI
Hawaii Rush Mililani 15B,310308,HI
Hawaii RUSH 15B Azul,310307,HI
Surf Hawaii 15B Academy I,632736,HI
Hawaii RUSH 15B Nero,310306,HI
HSC Bulls 15B-II,391117,HI
ATHENS UNITED 15B Black,675000,HI
OA B15 Academy,438664,HI
