team_name,gotsport_team_id,state
Idaho Juniors 15B Neon,273039,ID
NBFC 2015 Boys Blue,392437,ID
2015 Timbers Elite,514521,ID
15 Boys Inferno Copa,383466,ID
2015 B Timberwolves FC,92953,ID
Idaho Juniors 15B Black,333704,ID
2015 Thunder FC Premier,408354,ID
Idaho Rush 15 Blue,392831,ID
ALBION SC IDAHO B15 Academy,394268,ID
GSA U11B Academy Green,392322,ID
PFC 2015,343264,ID
SSC 15B Black,275144,ID
ALBION SC IDAHO MH B15 Academy,517702,ID
NBFC 2015 Boys Black,392434,ID
IFFC 2015B Claret - Brower,399734,ID
NPSC U11B-White,513153,ID
Idaho Rush 15 Black,503496,ID
Rapids SC 2015B Blue,408478,ID
SSC 15B Yellow,275140,ID
2015 Timbers Elite 2,514524,ID
Sandpoint Strikers FC 2015B,509001,ID
NBFC 2015 Boys White,392439,ID
NBFC 2015 Boys Grey,506623,ID
Idaho Juniors 15B White,517680,ID
BTT 15 Boise Timbers Elite,577567,ID
UVSF United '15 Marostica,538790,ID
2015 Boys Bolts,411243,ID
2015/16 Teton FC Boys - Mervis,459401,ID
'15B Idaho Surf Hailey Academy,408646,ID
GSA U11B Academy Black,520096,ID
2015 Boys Silver,398700,ID
15 Boys Inferno Liga,383467,ID
Sandpoint Strikers FC 2015B Red,395946,ID
GSA 15B Academy - Pina,383859,ID
BVB IA CDA U10 BOYS,489520,ID
IFFC 2015B Cobalt - Schuijt,399735,ID
Sun Valley Soccer Club - Boys 2015s,398131,ID
NPSC U11B-Red,644418,ID
IFFC 2015B Cobalt - Nestler,521859,ID
NBFC 2015 Boys Pewter,506624,ID
Snake River Strikers 2015 Spring 2025,585815,ID
SSC 15B Premier,275147,ID
ALBION SC IDAHO North B15 Academy,517706,ID
Shelley U10 Boys Team 2024-25,537206,ID
Idaho Legends 2015/2016 Boys - Filippini,633708,ID
IFFC 2015B Cobalt - Neibaur,521860,ID
CGA Academy 15B,374243,ID
Hells Canyon FC Rapids Boys - 2015,356658,ID
Real Meridian CF 2015 - Rayo Vallecano,500866,ID
JYSA Rigby Boys 2015 Maroon,334789,ID
Global Sports Academy,598017,ID
CGA Academy 15/16B White,537157,ID
ID Surf 15B Academy,516809,ID
Digger Boys 2015,427370,ID
JYSA Rigby Boys 2015 White,585894,ID
Rapids SC 2015B White,520868,ID
Idaho Magic 15/16B,500811,ID
ID Surf Boise 15B Academy,516812,ID
2015 Boys,387224,ID
15/16 Timberwolves FC Black,584721,ID
McCall U11 Lava Chickens,520073,ID
Hells Canyon FC Rapids - Boys 2015 - White,652920,ID
JYSA Rigby Boys 2015,450341,ID
Sun Valley Soccer Club - Boys 2015s - Orange,598844,ID
25/26 FC North Idaho 2015 White BOYS U11,652929,ID
