team_name,gotsport_team_id,state
Surf Select Boys 2015,439627,MA
2015 Boys Merrimack Elite,394644,MA
NEFC Metro West Boys 2015 MLS Futures Red,489712,MA
2015 Boys Elite Red,227068,MA
South Shore 2015B AT Sky Blue Real,332469,MA
2014 PRE-MLS NEXT BLUE,518984,MA
IFA HFC U10/U11 Boys,266571,MA
2015B Pre-Regional North,661893,MA
IFA South Shore 2015 Boys Blue,381261,MA
Mass City FC BU10 Volt,262516,MA
FC United 2015 Elite,393998,MA
Wellesley Premier Club 2015 Boys FC,387447,MA
New England Surf Metro Boston Navy 2015 Boys,260950,MA
2015/U11 Boys: NEAL,390830,MA
NEFC South Boys 2015 Red,323051,MA
New England Surf Metro South 2015 Boys Navy,295079,MA
Mass City FC BU10 Pre Volt,273237,MA
2015 Boys South Shore Elite Black,390434,MA
Boston Vigor FC boys 2015 Manchester,519693,MA
South 2015 Boys Gold,145075,MA
NEFC North Shore Boys 2015 Red,355895,MA
Knights F.C U11 - 2015 Blue,508634,MA
Eagles.S.A 2015,587316,MA
NEFC Metro West Boys 2015 MLS Futures Navy,489713,MA
2015 Boys CELTIC JW,395277,MA
Pre-ECNL 2015 Boys,596605,MA
NEFC Metro West Boys 2015 Elite,642194,MA
Charlestown Surf B2015 Navy,399466,MA
NEFC Metro West Boys 2015 Northboro Grey,319763,MA
NEFC Metro West Boys 2015 Northboro Grey,319763,MA
NEFC New Hampshire Boys 2015 Pre-NL,492340,MA
West 2015 Boys White,229811,MA
South 2015 Boys Blue,342162,MA
Steel United MA 2015B Elite,386927,MA
USG 2015 Boys Black,452282,MA
Northfields United 2015 Boys,483821,MA
NEFC 2015 Pre-MLS Next Navy,647084,MA
2015 Boys Elite White,392755,MA
CEN 2015 Boys White,512905,MA
NEFC Metro West Boys 2015 Northboro Navy,254439,MA
North Shore 2015B Whitecaps,519525,MA
Boston Bolts B2015 Central Pre-Academy Blue,392727,MA
SW 2015B,290921,MA
Fall River United,431925,MA
SFC 2015B White,385877,MA
North Shore 2015B Navy,519527,MA
FC Stars Westford 2015 Boys Blue,509808,MA
MW 2015 Boys Blue,396723,MA
NEFC Metro West Boys 2015 Northboro Red,242289,MA
Harvest SC Boys 2015,389067,MA
ACI 2015 Coastal Boys,508149,MA
Wellesley Wildcats,613158,MA
NEFC Metro West Boys 2015 Mendon Red,242290,MA
Raiders FC 2015B,519297,MA
NEFC Metro West Boys 2015 Mendon Navy,319764,MA
NEFC South Boys 2015 Grey,517400,MA
North 2015 Boys Carolina Blue,386844,MA
FC Stars East 2015 Boys Blue,389019,MA
FC Juventud New England 2015,333307,MA
Boston Bolts B2015 Boston Premier,270775,MA
New England Surf Metro West 2015 Boys NAVY,260952,MA
West 2015 Boys Pre-MLS Blue,332723,MA
Boston Bolts B2015 Metro North Pre-Academy,270762,MA
SFC 2015B Pre-EDP,385876,MA
New England Force 2015 Boys Pre Surge White,642594,MA
Boys 2015,394112,MA
SE Red 2015B,334422,MA
NEFC South APEX Boys 2015 Pre-MLS Next Academy,647092,MA
New England Revolution MLS NEXT 2010s - U15,33888,MA
U11 Pre-MLS Gold,638915,MA
South Shore 2015B AT Sky Blue United,332468,MA
2015 Boys South Shore Elite White,519035,MA
BEST FC 2015 Boys Red Regional,392129,MA
Boston Bolts B2015 Boston Elite,329743,MA
Marshfield United 2015 Boys Black,271634,MA
MIFC 2015 Elite Boys,383618,MA
Mass City FC BU10 Royal Blue,457328,MA
Mass City FC BU10 Red,331769,MA
New England Force 2015 Boys Surge Black,642590,MA
Warriors FC,624803,MA
Lenox Boys,615794,MA
Needham Courage (B5),20124,MA
Greater Lowell 2015 Boys Pre-MLS Academy,642804,MA
Boys 2015,266209,MA
Andover Premier FC 2015 Boys,519198,MA
Mass City FC BU10 Sky Blue,273238,MA
NEFC North Shore Soccer Academy Oceanside Boys 2015,520356,MA
NEFC Blackstone Valley Boys U11 Pre-RAL,323059,MA
Pre-EDS CEN 2015 Boys Blue,333935,MA
Charlestown Surf B2015 Sky,514543,MA
Boys 2015 Flamengo,331532,MA
NEFC Blazers Boys 2015,372871,MA
New England Force 2015 Boys Pre National League Black,642588,MA
MW 2015 Boys Gold,437834,MA
Westfield FC U11 Boys,635106,MA
Sharon United,447388,MA
MA RUSH - NORTH 2015/16 Boys,636108,MA
2015 Boys Elite Development,317819,MA
2015/U11 Boys: MA Elite,630690,MA
Royal Society FC Eastern MA 2015/2016,520395,MA
2015 Boys Boston Black,270774,MA
Bridgewater United Red,615096,MA
Carver,364099,MA
FSC B2015,506245,MA
ACI 2015 Mariner Boys,446637,MA
Newton United,431671,MA
BEST FC 2015 Boys Pre-National,392130,MA
GB Boys 2015 Gold,396889,MA
Boston Bolts B2015 Boston Pre-Academy,273280,MA
FC Stars Lancaster 2015 Boys White,509636,MA
2015 BOSTON,519796,MA
U11 Pre-MLS Blue,638910,MA
IFA South Shore 2015 Boys Gold,488031,MA
FC Stars Acton 2015 Boys Blue,327295,MA
NEFC Metro North Boys 2015 Navy,486855,MA
New England Surf Metro West 2015 Boys SKY,275062,MA
North 2015 Boys Navy,519199,MA
MetroWest 2015 Boys Black,395270,MA
New England Surf Metro Boston Sky 2015 Boys,396707,MA
Leones Soccer Club 2015 Red,515624,MA
Vipers 2015 Boys Blue,394557,MA
New England Surf Metro South 2015 Boys Sky,396833,MA
Vipers 2015 Boys Black,394555,MA
Whitman Hanson Panthers 3/4,624923,MA
RYS U10 Boys,621222,MA
NEFC Blackstone Valley Boys U11 Red,339069,MA
2015 Boys Elite Gold,517469,MA
Boston Bolts B2015 BUFC Red,519553,MA
FC Stars Westford 2015 Boys White,509809,MA
2015 Boys Elite Black,227069,MA
NEFC South Boys 2015 Navy,390984,MA
HYS B4 Academy,603250,MA
Boston Bolts B2015 West Elite,575839,MA
West 2015 Boys Pre-MLS Gold,395452,MA
2015 LPDA,388199,MA
Warriors,656075,MA
New England Surf 2015 State Sky,636164,MA
NEFC North Shore Boys 2015 Navy,485349,MA
FC Stars Acton 2015 Boys White,266309,MA
Scorpions U11 Boys Elite,397123,MA
Boston Bolts B2015 West Pre-Academy,447958,MA
FC Stars SDA 2015 Cruickshank Boys,454272,MA
ACI 2015 Lighthouse Boys,273388,MA
Wildcats Football Club B2015,392584,MA
2015 Boys REDS SR,395279,MA
2015 BOSTON NICE,452525,MA
Inter EB,364404,MA
B2015 Black,453123,MA
Pre-EDS CEN 2015 Boys White,640157,MA
NEFC RDP Boys 2015 Red,323543,MA
Burlington Soccer Academy 2015 Boys,515559,MA
FC Stars SDA 2015 Connolly Boys,581480,MA
Elite Juniors,482005,MA
Commonwealth Kickers,619499,MA
Burlington Soccer Academy 2016 Boys,639491,MA
Boston Bolts B2015 BUFC Blue,519551,MA
Marshfield United 2015 Boys Grey,453422,MA
AFC 2015B Elite,392440,MA
Norwood Youth Soccer - Frontier,431784,MA
Tanners FC,303914,MA
Bridgewater United,618789,MA
NEFC Metro North Boys 2015 Red,486854,MA
Pre-EDS CEN 2015 Boys Gold,145566,MA
2015/U11 Boys: South Shore,321320,MA
WB Wildcats,619976,MA
B2015 EBS1,520124,MA
FC Stars Pre ECNL Boys 2015,649936,MA
NEFC South Boys 2016 Pre MLS Academy,643203,MA
New England Surf 2015 State Navy,636163,MA
Boston Bolts B2015 North Shore Pre-Academy,519449,MA
FC Stars Northboro 2015 Boys Blue,327180,MA
U11 Pre-MLS Academy,638938,MA
South Shore 2015B Navy,395079,MA
IFA South Shore 2015 Boys Orange,510159,MA
GB Boys 2015 White,447937,MA
Acushnet FC (Araujo),501257,MA
Hanover Hawks,612681,MA
Weston Pumas,561685,MA
Needham Summit (B5),304115,MA
Wellesley Premier Club 2015 Boys Raiders,387452,MA
NEFC South Boys 2015 Blue,390987,MA
NEFC 2015 Pre-MLS Next Red,647082,MA
New England Force 2015 Boys Storm,642595,MA
Boston Bolts B2015 Metro North Elite,329821,MA
FC Stars Lancaster 2015 Boys Blue,454406,MA
2015 Boys South Shore Premier,390435,MA
Inter Academy Metrowest Boston 2016 White Boys,640755,MA
MMR Boys 3/4 Blue,627454,MA
Strikers United 2015 West Boys (BU11),272864,MA
FC Juventud New England 2015 white,268957,MA
2015 PSG,397486,MA
2015 LYON,397489,MA
Inter Academy Metrowest Boston 2016 Blue Boys,457508,MA
SE White 2015B,396970,MA
Bridgewater United FC - U10B,491745,MA
2015 Boys Revere Premier,269278,MA
IFA South Shore 2015 Boys White,496461,MA
Brookline Newcastle,612192,MA
Cruzeiro 2015,363371,MA
MetroWest 2015 Boys White,395271,MA
GB Boys 2015 East Boston,396894,MA
Quincy Attack,622705,MA
Mass City Boys 2016 U10 Volt,576018,MA
FC Stars Merrimack Valley 2015 Boys,402928,MA
Nautico 2015,391929,MA
Wachusett United FC 2015 Boys,634553,MA
New England Force 2015 Boys Pre National League Teal,642589,MA
New England Force 2015 Boys Surge White,642591,MA
New England Force 2015 Boys Pre Surge Black,642592,MA
2015/U11 Boys: Boston,453488,MA
