team_name,gotsport_team_id,state
MFA GR 15B Elite,151135,MI
Nationals Oakland Pre-Academy 15 Boys Blue,80522,MI
Michigan Tigers 2015 Boys Pre-MLS Next (Gold),94473,MI
Michigan Wolves 15 Academy,82133,MI
Nationals Macomb Pre-Academy 15 Boys,87587,MI
Michigan Jaguars Pre MLS 2015 Boys 1-DA,92497,MI
Midland Fusion 15 Green,370940,MI
MI Stars Oakland 15B Pre-MLS NEXT,114678,MI
Michigan Wolves 15 Academy Black,82134,MI
BASA 15 Boys,396728,MI
Detroit City FC North 15B Rouge,391456,MI
MDA 2015B GOLD,498523,MI
MPSA CRUSH 2015 VAB,79362,MI
Michigan Jaguars CW3 2015 Boys Green-DA,266483,MI
Chaos 15' Red,287173,MI
Central 15 B Red,99522,MI
Hartland 15B Red,106639,MI
Kalamazoo SC 2015B Red,381299,MI
Michigan Jaguars Novi 2015 Boys White,383351,MI
Freeland Force 15 Boys Green,404315,MI
Plymouth Reign 15 Boys White,507256,MI
Michigan Wolves 15 Pre-Academy,82135,MI
TKO Premier SC 2015B White,373692,MI
SWM Kickers 2015B Blue,380307,MI
WCSC - U10 Boys Hackworth (A),400498,MI
Michigan Jaguars Downriver 2015 Boys U11 Green,277799,MI
Kingdom SC 2016B Grey,374380,MI
HV Storm 2015 Boys Silver,394003,MI
Detroit City FC West 15B Pre ECNL-RL,256170,MI
Cobras 15,410465,MI
Dewitt SC-2015 Boys Gold NO,274301,MI
TKO Premier SC 2015B Blue,253901,MI
SJSC REDWINGS 2015 BOYS GREY,400216,MI
SWM Kickers 2015B White,380311,MI
SJSC REDWINGS 2015 BOYS RED,400215,MI
Michigan Wolves HYPE 15,416079,MI
Lenawee United FC - BU10 2015,529045,MI
ELSC 3rd Grade U10 Boys,518733,MI
ELSC 3rd Grade U10 Boys,518733,MI
Midwest United FC 15B Pre-Academy,151299,MI
Saline FC 15 Boys Black,261127,MI
Michigan Jaguars Huron Valley 2015 Boys White,514895,MI
MFA GR 15B White,279900,MI
Plymouth Reign 15 Boys Green,211560,MI
Dewitt SC - 2015 Boys Gold,396356,MI
OSC U10 Boys 24-25,514451,MI
Detroit City FC Downriver 15B Rouge,150577,MI
Michigan Jaguars Pre MLS 2015 Boys 2-DA,96688,MI
North Storm '15B Red,507853,MI
Midwest United FC SCOR 15B Academy 1,537084,MI
Michigan Tigers 2015 Boys Gray,220796,MI
Storm 2015B,384450,MI
Michigan Tigers 2015 Boys Gray,220796,MI
Ann Arbor United SC 2015B Gold,534494,MI
Blizzard 2015 White,413355,MI
Fury '15 Red,257556,MI
Midwest United FC SCOR 15B Academy,413918,MI
Okemos 15B Maroon,398004,MI
Grand Ledge SC 15 Boys - Navy,395890,MI
RASC 2015B Red,373717,MI
Haslett SC 2015B Navy,398108,MI
MI Rangers FC 15B White,286948,MI
BC Fire SC 2015B White,513938,MI
Michigan Jaguars Huron Valley 2015 Boys Green,97505,MI
HJR U11 Boys (2015),399684,MI
Galaxy 15B Orange,532707,MI
Rapids FC 15B Grey,537319,MI
Kingdom SC 2015B Red,255253,MI
Nationals Capital Area 15 Boys Black,505749,MI
Portage SC 2015B Yellow,380257,MI
Michigan Jaguars Rochester Romeo 2015 Boys Green-DA,383464,MI
15 Lightning Gold,266578,MI
