team_name,gotsport_team_id,state
RDP Boys 2015,580911,NH
2015 Boys Maroon,349143,NH
2015 Pre MLS Next Carolina,636275,NH
HBCavs BU11 Blue (2015),398758,NH
Timberwolves Boys U11 25/26,535653,NH
Seacoast United Bedford 2015 Boys NEAL,299228,NH
Tazmanian Devils FC Coed U10,493535,NH
2015 Boys 1,405003,NH
U11 Storm - 15/16,380261,NH
PCSC 2015 Boys Black,396800,NH
2015 NH Carolina,392032,NH
Seacoast United Concord 2015 Boys Carolina,394639,NH
Nashua United SC U11 Boys - Blue,281312,NH
Strikers U10 Boys B 24/25,539780,NH
ORU 2015 Boys Blue,405547,NH
2015 Pinsonneault White,534595,NH
Conval 2015 Boys U11,533999,NH
2015 NH Navy,518518,NH
Red Hawks U11 Coed - Red,404979,NH
WSA Boys 2015/2016 White - BU11,541796,NH
2015 NH Premier Blue,392034,NH
ORU 2015 Boys Gray,405548,NH
BU10 Tournament,579077,NH
HB Cavs BU11 White (2015),398760,NH
Goal King Academy - Rye Soccer 2015,390101,NH
Timberwolves Boys U10 25/26,535655,NH
2015 ASC Boys Coyotes,281177,NH
ISC 2015 Pride,405387,NH
WSA Boys 2015 Gold - BU11,541756,NH
Lightning Soccer Club 2015 Boys Green,407241,NH
2015 Boys - Roehm,401931,NH
FC Stars New Hampshire 2015 Boys Green,598530,NH
U10 Fall 2025,541805,NH
Lightning Soccer Club 2015 Boys White,600878,NH
BAC Bulldogs 2015 BU11 Premier,406056,NH
LSC United Boys 2015 - White,537803,NH
Select C15 Shea,272997,NH
Rapids U11 Boys,600425,NH
2015 Boys Black,443201,NH
Fremont FC 2015/2016 Boys,402039,NH
Strikers U10 Boys A 24/25,539786,NH
Select 2015/2016 Salemi,591301,NH
2015 NH Premier Volt,518520,NH
Red Hawks U11 Coed - Black,404980,NH
Exeter Boys U10 Premier Blue,532062,NH
BU11 Blue-SP25,540822,NH
LRU U10 Beale,600173,NH
BU11 White 1-SP25,540820,NH
PCSC 2015 Boys Maroon,396801,NH
Seacoast United Bedford 2015 Boys Carolina,518451,NH
LSC United Boys 2015 - Blue,282123,NH
BAC Bulldogs 2015 BU11 Select,406058,NH
Eagles u11 Boys,406082,NH
BU11 Red-FA 25,540823,NH
2015 Pre MLS Next Navy,636318,NH
Become Elite Soccer 2015/2016 Boys 1st XI,595267,NH
Merrimack B2015 White,533658,NH
2015 Boys 2,405002,NH
MV Thunder Spring U10 COED,594181,NH
Become Elite Soccer 2015/2016 Boys 3rd XI,595269,NH
BSC U10 - Blue,402339,NH
Suncook Spartans 15/16C,282847,NH
Become Elite Soccer Boys U10 T,584497,NH
Become Elite Soccer 2015/2016 Boys 2nd XI,595268,NH
Become Elite Soccer U10 Boys,395614,NH
Nashua United SC U11 Boys - Purple,350687,NH
FAC 10U B 2024-25,600535,NH
Merrimack B2015 Blue,283629,NH
Exeter Spring Boys U10B Champ,599404,NH
2015 Boys 3,405004,NH
