team_name,gotsport_team_id,state
FUTBOLTECH CHSC - 2015 LIVERPOOL,373052,NJ
Real FA 2015 Pre-MLS,363124,NJ
Valencia 2015 Black North,277987,NJ
CAT 2015 ELITE BOYS,500759,NJ
NJ Premier B2015 - BLUE,251101,NJ
Bergen 2015 Boys NEAL White,239125,NJ
Wall Elite Lazio,268422,NJ
Future_Sa_15_Blue,151712,NJ
FUTBOLTECH CHSC - 2015 EVERTON,350544,NJ
2015 - NEAL RED,127332,NJ
New York Red Bulls Pre-Academy 2015 South,505782,NJ
Soccer United 2015,569139,NJ
New York Red Bulls Pre-Academy 2015 North,505779,NJ
NY Red Bulls RDS Showcase B2015 Red,247078,NJ
Torpedoes BU11 Red 1,394379,NJ
Bergen 2015 Boys NEAL Green,212649,NJ
2015 PICHI ALONSO,395044,NJ
Summer Select - 2015 Boys Red,356522,NJ
Sharks Select,364623,NJ
Washington United 2015 Boys,501349,NJ
Arsenal,421561,NJ
NJ Surf Mercer 2015 Boys,265522,NJ
A.S. Junior Elite 2015 Boys,221678,NJ
MUSC 2015 Boys Premier,625678,NJ
Freehold SL Elite Red Bulls,283955,NJ
Future_SA_15_White,459125,NJ
2015 Boys Black,112228,NJ
Mavericks Red,278005,NJ
Pre-ECNL B15,289198,NJ
'15 Boys Fusion,134719,NJ
CJFA Venom 15B,397098,NJ
Union County FC Napoli 2015B,396712,NJ
Aston Villa Orange,258328,NJ
Bergen Football Academy 2015,279149,NJ
Haddon Twp White Hawks 2015,265483,NJ
2015B Blue Pre-USYS,329212,NJ
2015B Blue Pre-USYS,329212,NJ
Storm,269103,NJ
PSA North '15 Boys Orange,272829,NJ
NJ Premier B2015 - ORANGE,329752,NJ
Harrison Fury 2015,257037,NJ
2015 Boys Red,505181,NJ
2015 Boys Blue,505179,NJ
Union County FC Roma 2015B,396715,NJ
Cyclones Red,399107,NJ
Vipers 2015,267731,NJ
Marlton SC Chiefs Orange 2015,253418,NJ
Futevol Premier 2015 Black,327648,NJ
Red Devils,335728,NJ
Mercer United FC Mooch 2015,537818,NJ
SCPYS Tornados 2015B,23504,NJ
MSA 2015 Matrix Blue,108566,NJ
15B Colonial Red,392944,NJ
B15 USLA,286660,NJ
15B Pre ECNL,272665,NJ
Lightning 2015,196300,NJ
USC Pulisic Blues 15,387391,NJ
Pythons 2015,393826,NJ
2015 Boys Spain,353848,NJ
Springfield B15 Orange,528703,NJ
STA-MUSC 2015B White,322170,NJ
Argentina,415143,NJ
United FC Jr NPSC,535946,NJ
Manalapan SC Braves 15B Red,271798,NJ
Raptors,413712,NJ
2015 Junior Premier Red,261438,NJ
Atlantic United Premier Fire 2015 B,382670,NJ
Hazlet Knights,333378,NJ
United Boys 2015,268300,NJ
2015B PRE-NAL,392949,NJ
Lightning 2015,390938,NJ
Porto,287423,NJ
HVSA 2015B Blizzard,497575,NJ
NJMYSA White Lightning,404584,NJ
Dutchmen FC 2015,287836,NJ
MSA 2015 Matrix White,391520,NJ
Linden S.C Tiger Cubs 2015B,281870,NJ
2015B Phantoms Select Green,263566,NJ
STA-MUSC 2015B Blue,265021,NJ
B2015 Blue - Motor,335103,NJ
Manalapan SC Braves 15B White,521870,NJ
East Windsor PAL - 2015 Boys Panthers,341048,NJ
Elite Advanced Training,662726,NJ
PSA Monmouth 2015 Boys Orange,275913,NJ
Vineland Liverpool 2015,248908,NJ
2015 Boys Pink,576391,NJ
STA-MUSC 2015B Black,265019,NJ
SWSA Strikers 2015,248988,NJ
WWPSA 2015 Boys Green,413595,NJ
Kearny Thistle B2015 I Pre NAL,357217,NJ
J.A.E Academy 15,137738,NJ
Peninsula Fighting Eagles,288846,NJ
Aston Villa Black,88027,NJ
Manchester City,522148,NJ
North Brunswick Falcons,283332,NJ
World Elite 2015 Boys Blue,268972,NJ
Atlantic United Premier Barcelona 2015 B EDP,382458,NJ
Northern Burlington Jackals 2015,369894,NJ
ProElite Training 2015,192793,NJ
PSA North '15 Boys White,513555,NJ
NJ Surf Mercer 2015 Boys Blue,454041,NJ
Neptune Avalanche,292220,NJ
Mercer United FC Cobras,331718,NJ
Huaxia FC 2015 Elite,312852,NJ
Huaxia FC 2015 Elite,312852,NJ
Medford SC White 2015,253183,NJ
Cheshire 2015 Boys EAL,511240,NJ
Hi-Tempo Academy Boys 2015,512241,NJ
NEAL Academy 15 Team 1,519086,NJ
Coastal Dawgs,292729,NJ
Mercer United FC Dragons,460723,NJ
Carteret Soccer Academy Dynamo 2015-16,532027,NJ
Cobras 2015,267715,NJ
Cobras 2015,267715,NJ
Beachwood SC Bulldogs,271879,NJ
BTSC Mandalorians,513502,NJ
Millville Warriors 2015,369985,NJ
NY Red Bulls RDS Showcase B2015 Red,576814,NJ
Liverpool '15B,397300,NJ
Hoboken United 2015 Boys Red,505742,NJ
Mavericks Black,278008,NJ
New York Red Bulls - U11,640295,NJ
SJ Elite,484420,NJ
Hamilton SC Vipers,537358,NJ
Mavericks White,278012,NJ
Delran FC Cobras 2015,269243,NJ
HamiltonSC Strikers,391389,NJ
CAT 2015 Boys Red,617934,NJ
15B Black,337175,NJ
Once fc,571742,NJ
Predators,443881,NJ
Monroe Township Soccer Club 2015 Boys Ronaldo,292342,NJ
Lacey SC Lightning 2015B Orange,398547,NJ
Medford Strikers 2015 Boys,388850,NJ
2015B Legacy (Gold),290873,NJ
15 Newcastle,203142,NJ
2015 Junior Premier Black Havoc,261440,NJ
STA MOSC 2015,620445,NJ
Woodbridge Hurricanes,524316,NJ
Legacy 2015 Boys Black,391953,NJ
Valencia 2015 Boys Gray,531603,NJ
Jersey Stars Delfin,584073,NJ
The FA 2015 Boys Silver,393337,NJ
Sporting NJ 2015B Black,276260,NJ
GlenRock-B10DW-Chafetz,398773,NJ
Rangers,266455,NJ
Lyndhurst-B11A-Seddiki,407888,NJ
CE Silver Streak 2015,261656,NJ
Winslow Titans 2015,391135,NJ
Allstars F.C,612406,NJ
Allstars F.C,612406,NJ
Sayreville Strikers,292461,NJ
WHSA 2015B Orange,392955,NJ
"Red Bulls Regional Select, Westchester, Boys 2015 Red",501058,NJ
CN Rangers B2015,210025,NJ
Hibernian Adams 2015,452676,NJ
Linden S.C 2015/16B Rebel Cubs,458502,NJ
Westfield SA Pachuca,398006,NJ
STA-MUSC 2015B Red,324027,NJ
Marlton SC Chiefs White 2015,328629,NJ
FTYSA ATLAS 2015,372921,NJ
Tarkill Blues 2015,266531,NJ
Hunterdon FC Man City,390162,NJ
NLSA Surf 2015 Boys Elite,463125,NJ
NJ Surf South Shore 2015B,498421,NJ
Valencia 2015 Boys White North,452328,NJ
MUSC 2015 Boys White,521758,NJ
Legacy 2015 Boys White,391964,NJ
Aston Villa White 2015 Boys,509216,NJ
2015 Junior White,386448,NJ
2015 CSC U10 Boys Red Bulls,509828,NJ
Westfield SA Tigres,398008,NJ
Elite Plainfield Jaguars,334698,NJ
DFC Orange 2015B,398709,NJ
RIDGFLD-B2015 EDP-Palau,463002,NJ
Elite Plainfield Warriors 2016/15,404744,NJ
Plainfield Kid Stars 15,410875,NJ
Upper Township SA Comets White 2015,498021,NJ
Savage Elite 2015,610316,NJ
Tinton Falls Wildfire,276942,NJ
BSA 2015 Hawk,316389,NJ
BTSC Jedi Knights,299210,NJ
Cubs,291799,NJ
Bayonne-B10C-Zamudio,541134,NJ
Point Pleasant SC Mana,286188,NJ
PSA Princeton '15 Orange,394833,NJ
Royals,271267,NJ
Medford SC Gold 2015,389196,NJ
Timbers,141957,NJ
PDA 2015 Bellingham,505149,NJ
NLSA Surf 2015 Boys Premier,397169,NJ
2015 Boys MNJYSA,283603,NJ
Real FA 2015 Pre-MLS AD,363126,NJ
Berkeley Warriors SA 2015,292061,NJ
Berkeley Warriors SA 2015,292061,NJ
Edison United SA 2015B Gunners,280497,NJ
Vikings B2015 Blue,261681,NJ
2015B Revolution,406476,NJ
Egg Harbor SC Eagles 2015 White,254302,NJ
Arsenal,396875,NJ
Riptide,412838,NJ
Lightning,283319,NJ
RPSC Fire,530113,NJ
BE-RSMG 2015B Black,618714,NJ
MUSC Boys 2015 Blue,261364,NJ
2015 Boys Maroon,397605,NJ
Wave,327611,NJ
UFA Strikers,407910,NJ
Mavericks Bronze,541383,NJ
Pennsville Eagles Gold 2015,390692,NJ
15B Black A,272663,NJ
2015 - NEAL BLUE,411303,NJ
New York Red Bulls Pre-Academy 2015 NY,505781,NJ
New York Red Bulls Pre-Academy 2015 NY,505781,NJ
Northern Burlington Storm 2015,267102,NJ
Long Branch Wave United 2015,569796,NJ
Springfield B15 Blue,271853,NJ
Promesas 2015B,627722,NJ
JFC- MAN CITY,514433,NJ
2015 U11B Cranford Red Bulls,640692,NJ
SWSA Gunners 2015,369402,NJ
WHSA 2015B White,505874,NJ
