team_name,gotsport_team_id,state
Las Vegas Sports Academy U11 Boys Red 2015,12587,NV
Magnifico FC B15E,380663,NV
Henderson LVSA '15B Black,358592,NV
Las Vegas Sports Academy U11 Boys White 2015,74224,NV
Vegas United ‘15 Boys Elite,527247,NV
LV Heat Surf B15 Pre NP Henderson,249017,NV
Magnifico FC B15P,450984,NV
RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,522852,NV
VILLARREAL LV U11 EA Yellow-SamA,244100,NV
LV Heat Surf B15 Pre RP Henderson,262824,NV
Players 15 Boys Junior Elite,12749,NV
B15E R.Arredondo,624438,NV
RAYADOS LAS VEGAS SOCCER ACADEMY 2015 WHITE,522853,NV
Players 15 Boys Academy,285320,NV
RENO MINEROS,523975,NV
ROA Soccer Academy 2015 Grey,299317,NV
Las Vegas Sports Academy U11 Boys Black 2015,90562,NV
Las Vegas Sports Academy U10 Boys Grey 2015,90705,NV
ALBION SC Las Vegas B15 Academy III,137948,NV
LV Heat Surf B15 Pre NP Summerlin,527571,NV
Players 15 Boys Juniors Academy 2,498363,NV
Las Vegas Sports Academy U10 Boys Silver 2015,311925,NV
2015Gold,623235,NV
Real Reno,626530,NV
Sierra Surf 2015B Blue,513868,NV
Vegas strong 2015,346933,NV
Vegas United ‘15 Boys Academy,529695,NV
Henderson LVSA '15B Silver,396832,NV
Las Vegas Elite FC B15 Pre-EA,319534,NV
Zorritos,469479,NV
Desert Heat 2015,490917,NV
Nevada Rush B2015 Blue,252870,NV
VILLARREAL LV U11 Blue-JorG,521704,NV
Eliminators 2015 Yellow,284047,NV
Tuzos 15,610905,NV
LV Heat Surf B15 Pre LP Henderson,387274,NV
LV Heat Surf B15 Pre SP Henderson,329836,NV
PRIME SC 15 BOYS WMN,288667,NV
ALBION SC Las Vegas B15 Academy II,258033,NV
BVB IA LV 2015 Black,520603,NV
Las Vegas Eliminators 2015 Yellow,662194,NV
15B Silver,89233,NV
APD F.C. 2015B,456821,NV
ALBION SC Las Vegas B15 Academy V,230575,NV
ALBION SC Las Vegas B15 Academy VI,633442,NV
Sierra Surf 2015B White,513869,NV
VILLARREAL LV U11 White-MoiG,521703,NV
Kazzanova FC las vegas Nv (2015),561895,NV
CFC Misphitz 15B,387094,NV
Lv m city 2015,474148,NV
Juventus Academy Las Vegas U11 Chiellini,640916,NV
15B Gold,89194,NV
Henderson LVSA '15B Red,509000,NV
Las Vegas Sports Academy U11 Boys Onix 2015,450586,NV
MVLA Nevada 2015B,583215,NV
Barcelona Las Vegas,475805,NV
Las Vegas Sports Academy U10 Boys Copper 2015,575620,NV
Players 15 Boys Juniors Academy 3,498364,NV
Bishop FC,628972,NV
Eliminators 2015 Black,316430,NV
CFC Valley Rage 15B,617963,NV
LAS VEGAS DIVERSITY FC '15 BOYS ACADEMY,234716,NV
LVHSSC Select 2015 2015,679529,NV
Dezert Storm U10 B,580308,NV
Lassen United FC,628113,NV
LV Predators 15,235266,NV
Academy FC '15 Boys,529697,NV
BE PRO U11,666608,NV
MVLA NV 15B Real Madrid White,557520,NV
