team_name,gotsport_team_id,state
B2015 Academy,262515,NYE
FA Euro 2015 Pre-MLS Academy,331405,NYE
Sharks Academy B2015,320829,NYE
2015 Pre-Academy Green,262518,NYE
Silver Lake Soccer Academy 2015 Boys Orange,264510,NYE
B15 Red,340000,NYE
B15 Blue,244981,NYE
Blau Weiss Gottschee '15 Blue,270408,NYE
NYSC B2015 Blue,264504,NYE
Attack B2015,273569,NYE
B2015 Wolverines,394411,NYE
Napoli Gold,381824,NYE
WP Academy National 2015,283381,NYE
EM B15 EDP,450907,NYE
Mineola 2015 Red,397092,NYE
Blast 2015,256073,NYE
B2015 (Ultra),381990,NYE
Real POB,508140,NYE
UST FC Real Madrid B2015,389317,NYE
EMSC Super Y Vipers,584036,NYE
Hauppauge Warriors BU11,386947,NYE
NYSC B2015 White,264505,NYE
2015 Blue,388670,NYE
B2015 Pre MLS Next I,116364,NYE
GC United,385622,NYE
EM B15 preECNL-RL,523506,NYE
Commack Cobras B15,245520,NYE
Alevin 2015,451668,NYE
B2015 Green,126674,NYE
NY Eagles SC Stars,136582,NYE
NYCFC Boys Select 2015,644732,NYE
Premier 2015 Boys,392489,NYE
Tournament Time - GA 2015 Boys,408252,NYE
HAMMERHEAD SHARKS,263258,NYE
B2015 Elite Academy Porto,273977,NYE
FC Lazio,276214,NYE
Sharks 2015 Academy White,519283,NYE
Chaos,385623,NYE
Stallions,385017,NYE
Red Inferno 2015,381508,NYE
KP United 2015 White,137145,NYE
URUGUAYAN RENEGADES 2015,401670,NYE
Arsenal,390687,NYE
WP Academy 2015 Pre-National,527356,NYE
B15 White,244982,NYE
Ball Masters Lions 2015,492977,NYE
Met Oval Academy 2015 White,399632,NYE
B2015 Blue (Aces),392184,NYE
B2015 Premier,277504,NYE
2015 Boys White EDP - Osorio,279417,NYE
FSA U11 Boys,269581,NYE
United FC B2015,513243,NYE
2015B Navy,574538,NYE
Kosmos Dragons,268361,NYE
B2015 MARC BERNAL,259346,NYE
Li Slammers B2015 Pre-MLS Next II,520787,NYE
Juventus,269413,NYE
B15/14,522851,NYE
FA Euro Bridgeview 2015 Academy II,452298,NYE
NLSA Select B2015,501151,NYE
Dix Hills EST Adrenaline B2015,388918,NYE
2015 Blue,396612,NYE
Commack Thunder B15,373759,NYE
Game Awareness Elite,304494,NYE
Fire,275649,NYE
Athletico (2015),517546,NYE
City FC,382644,NYE
Spartans,380508,NYE
NYC Elite,281362,NYE
Defiance,166334,NYE
B2015 KOUNDE,259344,NYE
2015 NEAL Green,399579,NYE
EM B15 preECNL,394812,NYE
FC Roma,276215,NYE
Thunder 2015 B,442945,NYE
B2015 BLUE,273637,NYE
SK NYC (2015),343822,NYE
United,384716,NYE
B2015 Red,115842,NYE
Commack Titans B15,373760,NYE
Dark Knights,369990,NYE
Quickstrike FC La Finca 2015,399523,NYE
B15 Blue,276490,NYE
Jaguars 2015,274036,NYE
B2015 Tornadoes,394408,NYE
Academy 2015,455900,NYE
QUSC Arsenal,521506,NYE
Inferno 2015,510388,NYE
SA 2015B - Blue,445019,NYE
Juventus Red 2015 PreECNL,281121,NYE
B2015 Premier,265739,NYE
Cobras,384471,NYE
Galaxy,381656,NYE
B2015 White,267389,NYE
Academy 2015 Green,395885,NYE
2015 Boys Red EDP - Furlong,342279,NYE
Lightning B2015,384479,NYE
Snow Leopards B2015,332784,NYE
Ajax,330866,NYE
East Hampton B2015,331403,NYE
Sharks 2015 Academy,519284,NYE
FSF Santos,276106,NYE
Uruguay 2015 BLACK,585677,NYE
TST Pallas Blue,397381,NYE
B2015 Pre MLS Next II,270181,NYE
Elite Boys 2015 Blue,361698,NYE
WI Sharks B2015,381844,NYE
B2015 National,384380,NYE
Arsenal Black,501186,NYE
Raiders,385019,NYE
Raptors Green,392226,NYE
B2015 White (Explosion),392185,NYE
Eagles,382957,NYE
LISC Boys 2015 Premier,526615,NYE
2015 Pre-Academy White,398974,NYE
B2015 Green,267031,NYE
Bianconeri,393556,NYE
FSA U10 Boys Black,527585,NYE
2015 Pre-Academy Arsenal,382246,NYE
Scorpions,260688,NYE
Inter 2015,397233,NYE
B15 United,523267,NYE
Tornados,521780,NYE
EHSC B2015,581866,NYE
Black B15,284112,NYE
Lions United FC B2015,514010,NYE
B2015 EDP,388920,NYE
MSC LSTS Boys 2015,373670,NYE
Elmont Liverpool,524914,NYE
United FC B2015 II,527298,NYE
Juventus,357555,NYE
West Side Soccer League Tournament Team B2015 Gold,433396,NYE
Storm,373849,NYE
Quickstrike FC B15,535034,NYE
Fire,258197,NYE
B2015 Yellow,327066,NYE
Blue Inferno 2015,381536,NYE
East Coast Surf B2015 Black,285557,NYE
Blau Weiss Gottschee '15 White,385381,NYE
2015 Premier,391578,NYE
Syosset Lazio,389116,NYE
Rapids,382728,NYE
Strong Inter 2015,399831,NYE
2015 Pre-Academy Black,521000,NYE
Avalanche,246789,NYE
Met Oval Academy 2015 Black,399638,NYE
NLSA Select B2015 Blue,581496,NYE
2015 Boys,468478,NYE
Tournament Time - Atlas,613398,NYE
FSA Tobar Colo Colo U11,327031,NYE
Pumas,501509,NYE
Brooklyn City F.C. B15 Blue,205869,NYE
RVC Wolverines,388945,NYE
Lightning,387502,NYE
Warriors-P,364671,NYE
Sporting,357866,NYE
Warriors 2015,399653,NYE
Strikers,397357,NYE
Westchester SC 2015 Boys Pre Academy,526456,NYE
Silver Lake Soccer Academy 2015 Boys Black,273038,NYE
HV 2015 Boys,506692,NYE
Heat,258196,NYE
B2015 Red (Rebels),392186,NYE
Academy East 2015 (BU9),482716,NYE
Thunder,373671,NYE
Storm,382293,NYE
United B15,397944,NYE
Blue Dragons 2015,331572,NYE
Raiders,388586,NYE
Rangers,270575,NYE
VIP Soccer Academy 2015 NYCSL,205968,NYE
Boys 2015 Black,391991,NYE
Solbakken 2015,390773,NYE
APYSL U10 Boys Warriors,593738,NYE
Syosset Roma,389114,NYE
Juventus White 2015 PreECNL,522987,NYE
World Class FC 2015 Premier Palau,394507,NYE
HASC Blue 2015,510627,NYE
Copperheads,374247,NYE
Mineola 2015 White,397099,NYE
EOC Wolves,452108,NYE
B2015 Blue Bolts,394407,NYE
Boys 2015 Academy Blue,391987,NYE
Venom,508142,NYE
Raptors,349068,NYE
North B2015 Red,519926,NYE
Avengers-old,508141,NYE
Samba,511318,NYE
Wolves,382663,NYE
TITANS,454083,NYE
Tsunami,380509,NYE
Gold B15,284114,NYE
Legends,393968,NYE
LI Slammers B2015 Pre-MLS Next I,520785,NYE
OLYMPIACOS RED 2015,448205,NYE
Hawks B2015,328317,NYE
Rowdies,371870,NYE
B15 NAVY,397199,NYE
B2015 Gold,310507,NYE
2015 White,396613,NYE
Wolves White,386889,NYE
New York Elite Alleycats FC 2015 NEAL Blue,431706,NYE
B15 PRE RL,275848,NYE
Ballers,509433,NYE
Soccer Stars United Equator,20764,NYE
Titans,369992,NYE
Boys 2015 Academy Orange,391988,NYE
Elmont Johan Juniors,525279,NYE
Portugal B2015,382961,NYE
Breakers,373358,NYE
Soccer Space Football Club 2015,329539,NYE
Knights,385018,NYE
Brooklyn Italians 2015 National,273018,NYE
Hotshots,306615,NYE
New York Elite Alleycats FC 2015 CDYSL Red,455330,NYE
Hammers,385627,NYE
PSG B2015,380946,NYE
United 2015,397721,NYE
jaguars,521972,NYE
2015,141470,NYE
B15 Raptors,398283,NYE
Blue Devils,385626,NYE
UST FC Spurs B2015,366338,NYE
2015 Elite,573277,NYE
Warriors,340815,NYE
CBSC,400119,NYE
SA 2015B - Orange,445022,NYE
HASC Red 2015,374501,NYE
Titans,382290,NYE
Hawks,382807,NYE
Express,388323,NYE
