team_name,gotsport_team_id,state
Club Ohio United 15B Black,285553,OH
CE 2015B Grasshoppers Black,329784,OH
Club Ohio West Pre MLS NEXT 15B,282878,OH
CE 2015B Grasshoppers (Red),511320,OH
CUP 15B Gold,631589,OH
CUP 15B Black,631609,OH
CUSM 15B AS ROMA,422047,OH
CUSE 15B Arsenal,513712,OH
CAU Force 2015B Pre-ECNL,391251,OH
Columbus Force 15B Pre-ECNL,267954,OH
Club Ohio West 15B Green,284076,OH
Northwest FC 2015B Orange,271522,OH
FC Storm B15 Premier 1,399645,OH
BSA Celtic 15B White,491688,OH
Pride SC 2015B Copa,448272,OH
Grasshoppers FC - 2015B Black,626310,OH
2015 Boys Pre-ECNL,267079,OH
DSX Orange 2015B,388481,OH
Lakota FC B15 Black,141029,OH
KHPE1 New Albany B15,396795,OH
2015 Boys NPL,289451,OH
CUSE 15B Barcelona,310945,OH
Cincy Galaxy 2015B Elite Navy,510249,OH
Polaris SC 15B Navy,269151,OH
Barcelona United Pre-Academy 15B,288600,OH
UAU 2015 BU11 GOLD,329316,OH
TCSC 2015 Boys Premier,455006,OH
Academia Ole 1 2015B,526387,OH
Highland Vipers U11 1,257984,OH
Cleveland Force 15B Pre-ECNL White,582496,OH
KHPA CINCY B15-1,510767,OH
Elite FC 2015 Boys Elite Premier,138869,OH
Barcelona United Elite 15B,449298,OH
PCFC 2015 Boys,235662,OH
PSC B2015 Gold,495534,OH
Lakota FC B15 Red,221024,OH
CE 2015B Flames,189570,OH
Grasshoppers FC - 2015B Teal,621564,OH
Sporting Columbus Boys 2015 Pre-ECNL,268740,OH
CE 2015B Azzurri,573541,OH
FC Storm B15 Orange,386683,OH
Kolping SC B15 Orange,405162,OH
North FC West 2015 Boys NPL,384250,OH
AW United Boys 2015 Blue,507652,OH
FC Cleveland Flames U11 Boys II,648698,OH
Toledo Celtics 2015 Boys Green,519870,OH
Toledo Celtics 2015 Boys Green,519870,OH
COE 2015B Blue,497298,OH
Club Ohio United 2015 White,398127,OH
CVSA 2015 Boys Blue,433385,OH
CVSA 2015 Boys Blue,433385,OH
TFA B15 Elite,274484,OH
Columbus United B'15 Lions,285766,OH
P24Masia,60476,OH
Sylvania United Boys 2015 Blue,519747,OH
Manta Pre ECNL B15,390281,OH
KHPA CINCY B15-2,510768,OH
Club Ohio West 15B Academy,284513,OH
Northwest FC 2015B Blue,271517,OH
Club Ohio Dayton 15B Green,272155,OH
Metro FC B15 Rapids,491156,OH
Pacesetter South 2015 Boys Red,493861,OH
Cincy SC B15 Premier,283422,OH
Cincinnati Elite FC B15 Gold,474270,OH
Sylvania United Boys 2015 White,519748,OH
Cleveland Force 15B Yellow West,357459,OH
Campbell FC 2015,523846,OH
CE 2015B Arsenal FC - A,369814,OH
Cleveland Force 15B White West,357458,OH
Cincy SC B15 Orange,431181,OH
North FC West Pre-ECNL B15,643511,OH
FC Storm B15 Loveland Black,389172,OH
LFC United 2015 B Elite,299347,OH
SFC 2015,518206,OH
Boys 2015 Black -1,399373,OH
PSC B2015 Black,511835,OH
GCKA 2015B Red,343839,OH
2015 Boys OCL,338535,OH
Ambassadors FC 2015 Boys,391565,OH
CUP 15B Silver,631610,OH
BSA Celtic 15B Blue,491689,OH
DUSC Bulldogs 2015 Boys,295200,OH
MSC Express 2015 Boys Purple,513992,OH
CULM 15B Bournemouth,516737,OH
Polaris SC 15B Gray,373770,OH
GTFC Impact Boys 2015 White,514928,OH
Archbold Bluestreaks B2015,522693,OH
SPIRE FC 2015 BLACK BOYS,503971,OH
Blast FC 2015B Black,449959,OH
Liberty FC 2015 Boys,390738,OH
U11 Boys Royal - 1 - Book,400271,OH
Sporting Columbus Boys 2015 NPL,268741,OH
Johnstown FC 2015 Boys,449737,OH
TFA B15 Premier,274496,OH
2015 Boys W,514826,OH
Polaris SC 2015 Boys Gray Euro,373771,OH
Madeira FC B2015 Orange,356775,OH
OSUB15Red,648455,OH
LGSC B15 Tigers Black,499246,OH
Kolping SC B15 Black,405159,OH
CU North 15B Elite 1,636518,OH
Monroe Premier FC 2015 Boys Gold,480295,OH
LSO United B15,492880,OH
Worthington United 94 2015 Boys Navy III,358830,OH
CUSM 15B Bologna,408023,OH
Oak Hills Premier Boys 2015,289089,OH
Pacesetter South 2015 Boys Black,496656,OH
Glass City Boys U11,518787,OH
CAPS FC 2015B,384037,OH
CE 2015B AC Milan,363194,OH
Boys 2015 White - East 5,399371,OH
Elite FC 2015 Boys OCL,445063,OH
KHPA CINCY B15-B,311367,OH
LB Eagles 2015 Travel,501078,OH
CUSE 15B Dortmund,401682,OH
Mercury B2015 west 1,578132,OH
Team Challenger FC B15 Black,361173,OH
Jackson Fury 2015B,516284,OH
2015 Boys - Collins 4W,406849,OH
Cleveland Force 15B White East,412474,OH
FOSC B15 Elite,221416,OH
LEGEND SC B 2015,395855,OH
UPPER 90 FC 2015 Boys Team Red,392929,OH
TCFC Red Bulls B2015,518979,OH
Mercury Premier 2015 Boys White,268449,OH
North FC Hudson Pre-ECNL B15,643508,OH
2015 Boys Academy UA Vapor,267081,OH
Barcelona United Premier 15B,334633,OH
SP Soccer Academy 2015 Boys Blue 2,400010,OH
Columbus Force 15B White,389385,OH
REVERE U11 D5 S,601554,OH
FC Columbus Brazil 2015 Boys,503810,OH
NWC Alliance 2015 Boys Elite,491227,OH
Elite FC 2015 Boys OCL White,138876,OH
Worthington United 94 2015 Boys Navy 1,290933,OH
GFSC 2015B Green D2,235399,OH
GFSC 2015B Green D2,235399,OH
PFC Extreme U10 Boys,497086,OH
Olimpia USA 2015/2016 Boys,280033,OH
U11 Bay Village Boys D2 Collins,664827,OH
Polaris SC 15B Sky,502018,OH
Broadview Heights (BHFC) B15 - Zimmer,284844,OH
BSAB2015RED,512315,OH
Boys 2015 LC Explosion,517364,OH
Whetstone Park Rangers Hoops 2015,513809,OH
Oakwood United - B15 Gold,486809,OH
GTFC Impact Boys 2015 HC,514926,OH
All Out SC 2015,399751,OH
Passion FC 2015B Gray,299454,OH
WSP Cobra FC 2015 Boys,395794,OH
LSSA 2015 U10,455587,OH
B2015 Birth Year (Maroon)-U11 (Division 4 East),643930,OH
B2015 Birth Year (Maroon)-U11 (Division 4 East),643930,OH
Amherst U11 Jones West 5,400300,OH
B2015 Birth Year (Maroon)-U11 (Division 4 East),643930,OH
CUSE 15B Fiorentina,416851,OH
FC Dayton B15 Elite,306933,OH
LSSA 2015 Boys,392157,OH
GC Cosmos B2015 Maverick,462874,OH
Xcel 2015,436537,OH
GTFC Impact Boys 2015 West,514927,OH
North FC Chagrin 2015 Boys Blue,519096,OH
CU North 15B Elite 2,635749,OH
CAU Force 2015/16B White,642888,OH
2015 Boys Pre-Regional,267080,OH
2015 Boys Pre-Regional,267080,OH
GTFC Impact Boys 2015 Blue,514925,OH
SJB Premier B15 Blue Jays,522397,OH
Eastwood Select SC B2015,529266,OH
Zzz - Boys 2015 - Gold - Cornwell - 2,396977,OH
Cleveland Force 15B Pre-ECNL Blue,450501,OH
Sylvania United Boys 2015 Green,519749,OH
Sylvania United Boys 2015 Green,519749,OH
2015 Boys Academy UA Tiempo,508131,OH
West Geauga U10,560701,OH
West Geauga U10,560701,OH
Kolping SC B15 Orange B,579305,OH
OHFC 2015 Boys (white),514839,OH
Pacesetter SC Boys 2015/16 White 24-25,519107,OH
BGSC B2015,498830,OH
WASA Grizzly United 2015B White Div 2,392673,OH
Worthington United 94 2015 Boys Navy II,300796,OH
Grandview FC 2015 Boys Blue,506083,OH
Fremont Emeralds B2015,522929,OH
North FC West 2015 Boys Blue,471452,OH
Glory SC 2015 Acree,504663,OH
OTSC 2015 Boys Orange,445196,OH
Baltimore Soccer Club 2015 Boys,505427,OH
Cleveland Force 15B Black West,357457,OH
CE 2015B Mini Bishops,367363,OH
Western Ohio United B15/16,399785,OH
Delaware Knights 2015 BU10 RED,509078,OH
Westlake Boys 2015 Black (D2),356572,OH
Defiance Strikers B2015,519871,OH
GCKA 2015B Blue,253847,OH
CSC U10 Boys Gray,532618,OH
LGSC B15 Wild Tigers,428941,OH
Sporting Columbus Boys 2015 COPL I,392537,OH
Bryan B2015,518937,OH
MSC Gray Boys Travel (2015),526028,OH
Pride SC 2015B Samba,448274,OH
Stark United Premier B15,592115,OH
CUSM 15B Cagliari,429904,OH
Firelands OHTSL-Dziubek-U11,525914,OH
Bluffton Black B2015,501459,OH
SPIRE FC 2015 RED BOYS,525293,OH
STAR Rush B2015 Blue,429315,OH
CULM 15B Aston Villa,430387,OH
Locker Elite Fiorintina 2015 Boys,435886,OH
Olmsted Falls-Boy 2015 4th Grade Gold,405190,OH
Inner Cincinnati U11,505939,OH
Ohio Fusion SC B2015 Blue,472239,OH
NWC Alliance 15/16 (U10) Boys Elite,613142,OH
Norton ASC (2015) South DD,464146,OH
Ohio United FC B15 Rovers Blue,523650,OH
WSC B2015,408122,OH
Ashland United 2015 Boys D1,399198,OH
OHFC 2015 Boys (black),515778,OH
DUSC Fire 2015 Boys,499156,OH
Solon United 2015 Boys Blue D3E,645612,OH
REVERE U11 D3 S,153468,OH
CULM 15B Crystal Palace,516738,OH
Whetstone Park Rangers Red 2015,513808,OH
Club Ohio East Pre MLS NEXT 15B,207270,OH
Locker Elite Sampdoria 2015 Boys,435865,OH
Club Ohio East 15B Green,394298,OH
Grandview FC 2015 BU10 White,506089,OH
Croatia Juniors 2015 Boys Blue,440081,OH
2015 U11 BOYS HALL DIV 5 EAST,334790,OH
2014 Flames White,641023,OH
FC Tippecanoe Storm B2014,646230,OH
Sporting Columbus Boys 2015 COPL II,395633,OH
UAU 2015 BU U10 SILVER,393681,OH
KHPA1 New Albany B15,396796,OH
Butler Fury Youth Soccer Club Boys 2015/2016,501754,OH
2015 Boys (East 4),543239,OH
CVSA 2015/16 Boys,523842,OH
Club Ohio North Pre MLS NEXT 15B,397874,OH
Oxford United B 2015,513508,OH
KHPA CINCY B15-A,311366,OH
DUSC Limerick 2015 Boys,397666,OH
Kenston FC 2015 Boys White,408937,OH
Northwest FC 2015B White,391412,OH
Grandview FC Boys 2015 - 5th Grade,448947,OH
GFSC 2015B Black D6 East,480388,OH
Mercury Premier B15 Navy,578736,OH
Appleseed Premier 2015 Gold,508240,OH
MV Sting SC u11 Boys 2015,508022,OH
BSAB2015YELLOW,512314,OH
Hudson United 2015 Boys Blue RENN 1,285606,OH
Worthington United 94 2015 Boys Gray,358843,OH
DUSC Grizzlies 2015 Boys,499178,OH
Toledo Celtics 2014 Boys Black,412530,OH
Lakota FC B15 Gray,435428,OH
CE 2015B Scorpions,365728,OH
DUSC Fighting Irish 2015 Boys,295199,OH
2015 CEFC Zizou,448576,OH
FC Storm B15 Loveland Blue,507368,OH
Blast FC 2015B Red,449958,OH
Cleveland Force 15B Black East,642040,OH
FC Cleveland Flames U11 Boys 1,648695,OH
STAR Rush B2015 White,486943,OH
FC Columbus Barcelona 2015 Boys,508270,OH
FC Storm B15 Milford Orange,408237,OH
GCKA 2015B White,382057,OH
Club Ohio East 15B Academy III,499349,OH
Granville United FC 2015 Boys,510561,OH
Team Challenger FC 15/16B Gold,406269,OH
2015 Boys G,479207,OH
Pride SC 2015B Copa Grey,508833,OH
North FC Hudson 2015 Boys Blue,519094,OH
STAR Rush B2015 Grey,490515,OH
TFA B15 Gold,493387,OH
KHPA2 New Albany B15,396797,OH
Whetstone Park Rangers Blue 2015,513807,OH
CE 2015B Fire Dragons,251672,OH
Ohio United FC B15 Academy,417229,OH
Delta FC B 2015,520134,OH
TCSC 2015 Boys,328099,OH
Springboro Force B2015,489263,OH
DFA 2015B Gold,515887,OH
Mercury B2015 Pre ECNL,578376,OH
CUSM 15B Dinamo Zagreb,429171,OH
WSP Cobras SC Tillar 2015 Boys,499334,OH
NWC Alliance 2015 Boys Premier,491422,OH
Club Oranje Raptors 2015 BU11,508668,OH
P24Masia,194041,OH
Cleveland Force 15B Yellow East,392991,OH
Pacesetter SC Boys 2015 Red Pre-ECNL 24-25,141602,OH
Worthington United 94 2015 Boys Red,358829,OH
KH PreElite CINCY B15-1,514195,OH
LFC United 2015 B Premier 2,445664,OH
FREEDOM 2015 BOYS,422678,OH
Madeira FC B2015 Blue,503870,OH
Mercury 2015 west 2,578131,OH
Cincinnati Elite FC B15 Elite,264953,OH
Worthington United 94 2015 Boys Black,449587,OH
GTFC Impact Boys 2015 Premier Pre ECNL B15,390581,OH
TCFC Red Dragons B2015,518237,OH
MSC Express 2015 Boys White,581956,OH
Napoleon B2015,514782,OH
OTSC 2015 Boys Blue,445197,OH
2015 boys,621815,OH
Alder FC 2015 Boys U10 24/25,509916,OH
2015 CEFC Özil,294427,OH
Glory SC 2015 Sipe,574569,OH
BUCKS RONSKY U11,632605,OH
Orange SC 2015 Boys Quinn,399452,OH
Highland Galaxy U11 South 3,391440,OH
BSA Celtic 15B Red,491693,OH
Bethel FC 2015B Green,524466,OH
Columbia Raiders Boys U11 - Division 3 West,529536,OH
Lakota FC B15 White,516306,OH
4th Boys Tournament Twinsburg,638021,OH
Bay Village Boys U10 D4 Briggs,544445,OH
Boys 2015 Purple 3W,532877,OH
