team_name,gotsport_team_id,state
MP 15 Blue,566275,SC
TFC 15B Ibis I GA,336964,SC
CASC 14/15 Rangers,649280,SC
Alpha SA 2015,502339,SC
BISA 14B PANTHERS,633038,SC
TSC 2014 Boys,629348,SC
LUFC BOYS U11 (2015) BLUE,404933,SC
CESA Pachuca 2015B Black,681066,SC
JIYSC 2015 Boys Red Chambers,623787,SC
JIYSC 2015 Boys Red Moody,623743,SC
2014 Boys Augusta Arsenal Navy,629336,SC
Coast B15 Black,675507,SC
CCFC 2015 Green,607046,SC
TFC 15B Ibis II GA,453925,SC
Coast 2015 Red,558757,SC
FCC 2013/2014 Boys Gold,632394,SC
CESA 2015B Pre-USYS-NL #2,677842,SC
United FC 15B White,679157,SC
FCC 2014 Boys Gold 2,633051,SC
Coast 15 Red,436354,SC
FCC 2014 Boys Navy 2,633047,SC
Spartanburg United 14 Boys White,633050,SC
MPFC 2014B Kryptonite,633055,SC
CESA 2015B Pre-USYS-NL #1,677851,SC
JIYSC 2014 Boys Black MOODY,601022,SC
JIYSC 2014 Boys Red Cepeda,601190,SC
Charleston City CCFC U11 2014 Boys,629321,SC
SCUFC 15 Boys Futures 2,629322,SC
Shaw Futbol Club - 11U (2014) - Academy,629346,SC
Bulls 2015 Boys Red,641858,SC
United FC 15B Gold,679158,SC
CESA Spartanburg 2015B,679160,SC
CEFC 2015 Boys Navy,371194,SC
JIYSC 2014 Boys Red Kifer,632466,SC
Lexington SA 15 Black,632413,SC
CASC 2014 Golden Gators,633046,SC
SC Surf MP 14 White,633043,SC
FCC 2015 Boys Gold GR,632485,SC
Lexington SA 15 Red,632483,SC
2014 Boys Augusta Arsenal Green,629353,SC
FCC 2014 Boys White,629350,SC
SCUFC 15 Boys Futures 3,629338,SC
Shaw Futbol Club - 11U (2014) - Select,629337,SC
SC Surf MP 14 Black,623728,SC
FMU 2015 Boys EPL,488491,SC
Coast B15 White,675511,SC
CSC 14 Boys Yellow North,601514,SC
CASA Pride 2014 Boys (A),607043,SC
CCFC Argentina 2015B,607056,SC
JIYSC 15 Boys Red Brisson,681124,SC
JIYSC 16 Boys Red Watt,681130,SC
Bulls Rush 2015 Boys Red U11,678316,SC
