team_name,gotsport_team_id,state
Midsouth Bartlett 2015 Navy,427032,TN
Ole Boys 2015 Gold,426728,TN
Midsouth Bartlett 2015 Navy,675434,TN
Germantown Legends 2015 Black,336350,TN
TSA 2015 Boys Red.,556474,TN
2015 Lobos Rush Blue,272281,TN
Stones River FC 2015 Boys Red,582180,TN
Clarksville SC B2015 Maroon,385664,TN
KHA1 Murfreesboro B15,402113,TN
2015 Lobos Rush White,301774,TN
2015 Lobos Rush Gold,519342,TN
NUSA B15 Gold,557457,TN
Wilson United SC 2015 B Black,414223,TN
Albion Nashville 2014B,561929,TN
KH PreElite Murfreesboro B15-1,646516,TN
SFC 2015B,459470,TN
Blount United Rush SC 2015 Navy,581026,TN
Germantown Legends 2015 Silver,336354,TN
Futsal Escola B2015,477165,TN
"PSA Locomotives ""Locos""",625680,TN
MIFC 2015,430418,TN
Germantown Legends 2015 Green,336353,TN
KHP1 Murfreesboro B15,401654,TN
NUSA Spring Hill B15 Maroon,588079,TN
Signal Mountain SL 2015B Storm Red,595106,TN
CSC 2015 Boys Maroon,383565,TN
Clarksville SC B2015 Blue,390569,TN
Wilson United Soccer Club 2015b Black,548651,TN
FC Alliance 2015B East,462197,TN
Germantown Legends 2015 Grey,544153,TN
Ole Boys 2015 Blue,426747,TN
Germantown Legends 2015 White,336351,TN
TSC Williamson 2014 Boys Premier White,570431,TN
Chattanooga FC 2015 Navy,449699,TN
ARIS FC 2015 BOYS PREDATOR,411544,TN
TSA 2015 Boys Navy,305678,TN
"Jackson, TN Boom Academy 2015",557780,TN
NUSA B15 Maroon,557451,TN
MTFC Quest 2015,563264,TN
NUSA B15 White,557459,TN
Stones River FC 2015 Boys White,582181,TN
NUSA B15 Navy,557455,TN
WHSC 2015Boys,467737,TN
TSC Williamson 2014 Boys Premier Blue,613965,TN
JSC 2015 Boys Gold,289751,TN
731SC 15/16 Yellow,606772,TN
ARFC 2015B Red,639259,TN
TUSC 2015 BOYS BLUE,553380,TN
NUSA Nolensville 2015 Boys,682900,TN
KHP2 Murfreesboro B15,530292,TN
TCSA Boys 2015 Magenta,682899,TN
FC Alliance North Johnson City 2015 Boys,677838,TN
TSC 2015 Elite Blue,592650,TN
Futsal Escola 2015B,568271,TN
Legends 2016 Black,428501,TN
ALBION B15 Academy Red,600352,TN
Armada FC 15B Blue,468047,TN
Soccer Ole FC 2015 B White,556242,TN
Nations FC U10 boys,479373,TN
Armada FC 15B Red,347427,TN
ARIS FC 2015 BOYS COPA,463750,TN
KHP3 Murfreesboro B15,530335,TN
Armada FC 15B White,363320,TN
NUSA Donelson U10 Maroon,575550,TN
TUSC 2015 BOYS RED,549394,TN
Clarksville SC B2015 White,562784,TN
TUSC 2015 BOYS WHITE,553389,TN
JSC 2015 Boys,593039,TN
Futsal EScola Boys 2015 Argentina,551429,TN
TSC Nashville 15B Academy,585316,TN
TN Tempo FC Academy 15 Boys,596625,TN
ENA 2015 Boys,638662,TN
NUSA Boys 15 Donelson,450181,TN
rampage 2015 boys,657531,TN
ONE KNOX 15B- YELLOW 1,589750,TN
FC National 2015B,684769,TN
Camp Forest Chaos,472055,TN
Emerald EarthQuakes 2015B,677849,TN
FC Alliance North 2015 Boys grey,677845,TN
AYSO 5B 128 Alliance 2015B Davis,677841,TN
Tennessee SC 2015B Premier Blue,350310,TN
2014 Redoubt Generals,629386,TN
Tennessee SC 15B Premier White,447670,TN
WUSC 2014B Red,638664,TN
WUSC 2015B Red,455750,TN
TCSA 2015 Boys Navy,682902,TN
FC Alliance 2015B Showcase,677853,TN
FC Alliance 2015B Pre-ECNL,677840,TN
FC Alliance 2015B Pre-ECNL-RL,677839,TN
MTFC Quest Fury,633882,TN
Midsouth Bartlett 2015 Red,675435,TN
TSC Murfreesboro 2014 Boys Showcase,645546,TN
All-In FC TN 15 Boys Forza,671792,TN
Chattanooga Red Wolves 15B Red,258507,TN
Chattanooga Red Wolves SC - 15B Black,394208,TN
Albion Nashville B15 Blue,598172,TN
