team_name,gotsport_team_id,state
Catalyst 15 N,491122,TXS
Texas Select 2015,574661,TXS
Pflugerville Rayados 2015,396897,TXS
SGA 15/16B Premier,537655,TXS
Cobras El Paso 2015,166540,TXS
SG1 STXCL EC B15,145803,TXS
Gt18 B15,549791,TXS
15B Pre Ecnl Volt,624031,TXS
MAFC 2015 Red,555318,TXS
SGA 2015B Premier,655884,TXS
Catalyst 15 S,491062,TXS
La U-USA 2015,498380,TXS
MAFC 2015 Red,234160,TXS
2015 Boys Blue I,398125,TXS
Catalyst 15 W,491133,TXS
AHFC 15B Elite,513071,TXS
15B Pre Ecnl White,252279,TXS
SA United 15B,508605,TXS
RSL El Paso 2015,454990,TXS
Catalyst 15 NW,491102,TXS
The ACDMY 15B Elite II,455205,TXS
Catalyst 15 E,440414,TXS
JUVENTUS AH-2015-CHIELLINI EDPL,208776,TXS
Demonios,362754,TXS
Lonestar STXCL WC B15 Red Nth A,635906,TXS
Paris Saint-Germain Academy Houston 2015 West Blue I,542065,TXS
SA City DMFC 16B Platinum,563176,TXS
ID Houston Allstars 15B EDPL,401368,TXS
PSC 15B NextUp Elite STXCL,390160,TXS
15B Pre Ecnl Vivid,624259,TXS
PSC 15B NextUp Premier STXCL,303670,TXS
Lion Kings FC 2015/2016,361140,TXS
Aguilas Negras 2015,569773,TXS
ACDMY Houston Rangers North 15B TX2,400361,TXS
ATLAS EP 2015 Girls,223297,TXS
2015 Boys White I,361689,TXS
Hurricanes 2015B,668333,TXS
U11 NEXT GEN NORTH 1,409205,TXS
15B Pre Ecnl Navy,369166,TXS
Tiburones Azul 2015,506399,TXS
Dragon FC Academy 2015,332143,TXS
BYSA Madrid,578767,TXS
West 16B Gold I,363474,TXS
Catalyst 16 W,613265,TXS
Barca Academy Austin 15B Black,406241,TXS
AHFC 15B Premier 3 W,326347,TXS
DS Stars 15B Maroon,333617,TXS
PSC 15B Pre-NextUp Green EDPL,451591,TXS
Imperial SC 15B Black,451698,TXS
Imperial SC 15B Black,451698,TXS
GalaxySC 15B Black,585880,TXS
Del Rio Dynamo 2015/16,581695,TXS
Del Rio Dynamo 2015/16,581695,TXS
U11 NEXT GEN CENTRAL,400237,TXS
Golden Eagles 2015B Black,575157,TXS
Premier FA 2015B Mint,75455,TXS
2015B Locomotive EPPL Gallegos,399835,TXS
Golden Eagles 2015B,324211,TXS
2015 Boys Blue II,529193,TXS
WTX Rapids FC ELITE 2015B,524373,TXS
Premier FA 2015B Blue - Elizondo,455098,TXS
FC Westlake STXCL WC B16/15 Blue,626602,TXS
The 956 United 15B Red,389254,TXS
The 956 United 15B Red,389254,TXS
SA City 15B PreECNL - Laing,651876,TXS
FC Troyanos RGV 15B,346088,TXS
ATLAS EP 2015 RED,497604,TXS
Sting CC B15 Heald,540924,TXS
YMCA CTX Soccer Academy 2015B Volt,513450,TXS
Lonestar San Antonio 15B Red,619454,TXS
Garza 2015B,656285,TXS
VCF Houston Blue STXCL EC B15,171570,TXS
Lonestar 15B Red Sth B,635898,TXS
Lonestar 15B Red Sth B,635898,TXS
Albion Hurricanes FC - AHFC 14B Blue E,656356,TXS
830 Elite FC 15A,559469,TXS
830 Elite FC 15A,559469,TXS
Propel Select 2015B Driven,534259,TXS
Sienna 15B Gold,542852,TXS
Lonestar STXCL WC B15 Black Nth,635912,TXS
Houstonians FC North 2015 B Gold,545978,TXS
Barca Academy Austin 15B Garnet,406238,TXS
AHFC 15B Blue E,398150,TXS
ID Phoenix 15B EDPL,181784,TXS
JUVENTUS AH-2015-VIALLI D2L,339004,TXS
SA United 15/16B,631663,TXS
Deportivo Hijar 2015,286080,TXS
SG1 BLACK 1 STXCL EC B15,281082,TXS
CHALLENGE UNITED STXCL EC B15 EAST,531330,TXS
CC Express Chelsea,426999,TXS
ID Texas Elite United 15B D2,249613,TXS
LIONS BOYS ACADEMY 2015 Red,309514,TXS
LTFC STXCL WC B15 Premier,500770,TXS
Paris Saint-Germain Academy Houston 2015 East Blue,538577,TXS
Paris Saint-Germain Academy Houston 2015 East Blue,538577,TXS
BMT RIOS 2015B,279919,TXS
Lonestar STXCL WC B15 Red Nth C,635907,TXS
AHFC 15B Pre-ECNL,513120,TXS
East Texas Elite FC - Lewis 2015B,572889,TXS
U11 Gold ll TW,521611,TXS
SA City 15B White,636226,TXS
SA United 2015 Boys Black,259492,TXS
GC Select 2015B Elite,554599,TXS
Suns FC 2015 Orange Male,332072,TXS
Leander FC 2015 B Green,626111,TXS
DPSFC Maroon 15B,406160,TXS
AHFC 15B Premier 4 C,398145,TXS
FFC B15 Gierman,466118,TXS
Barça Academy Austin 15B Green,501441,TXS
Kaptiva Sports Academy TX Purple STXCL EC B2015,547269,TXS
Central 15B Gold,413373,TXS
Jr Academy 15B Dildy,327381,TXS
Jaguares FC 2015,625399,TXS
GalaxySC 15B Red,463284,TXS
FC Rangers 2015,371230,TXS
Premier FA 2015B Green,210281,TXS
15B PSG,484936,TXS
AHFC 15B Blue SW,513070,TXS
AHFC 15B Blue SW,513070,TXS
Fc tigers rojo 15,447352,TXS
FC Westlake 15B Lobitos,569863,TXS
HC United 15B-Mejia,404288,TXS
CHALLENGE UNITED 2015 RED EAST (24/25),519688,TXS
CHALLENGE UNITED 2015 RED EAST (24/25),519688,TXS
Toros,160723,TXS
Lonestar 15B Discipline Nth,635916,TXS
DS Stars 15B White,297056,TXS
GSA 2015B Mayhem FC,155030,TXS
Lonestar 15B Gray Nth,635899,TXS
Paris Saint-Germain Academy Houston 2015 South Blue,538591,TXS
U11 NEXT GEN NORTH 2,455157,TXS
2015 Blue VCF Houston,171565,TXS
Houston Futsal SC 15B Pivo,234652,TXS
Jr Academy 15B Dildy 2,361570,TXS
Bulverde YSA Relentless SC '15,382248,TXS
Sienna 15B Black,542851,TXS
Sting CC B15 Clitnovici,634077,TXS
2015B Locomotive EPPL Collopy,530641,TXS
Paris Saint-Germain Academy Houston 2015 West Blue II,542067,TXS
Rayados Laredo 2015,151655,TXS
AHFC 15B Premier 2 W,513066,TXS
Fusion Academy Boys Gold Johan,61590,TXS
Fusion Academy Boys Gold Johan,61590,TXS
Lonestar STXCL WC B15 Silver,635913,TXS
CE 15B,275448,TXS
Lonestar STXCL WC B15 Silver,635913,TXS
Coastal Premier STXCL EC B15,524171,TXS
Tomball 15B Gold,613294,TXS
BH GALAXY 2015B D2,535463,TXS
Kingwood 15B Gold,363464,TXS
U11 Boys Gold SB,521606,TXS
Liverpool FC U11 Houston Boys,664160,TXS
SA United 15B Black,631664,TXS
PSC 15B Pre-NextUp Blue,390177,TXS
2015 Boys White II,394130,TXS
CHALLENGE UNITED 15 CYPRESS (24-25),519696,TXS
World Sport FC WTX 2015B ELITE,658996,TXS
GPFC 2015B Blue,536397,TXS
Premier FA 2015B NOT,417740,TXS
FC DALLAS RGV 2015 Red,342115,TXS
SEFC PRIME 2015,409658,TXS
ZSA 2015 Boys,549413,TXS
AHFC 15B Blue B CF,294310,TXS
WBSA UNITED 15B AVENGERS,82742,TXS
Storm 15B,622497,TXS
Lonestar 15B Red Nth B,635897,TXS
Pflugerville FC 15B Grey,156174,TXS
EA Aguilas 2015B,419789,TXS
2015B Hooligans FC,216247,TXS
JYSA 2015B Jarrell Tornados - Rosado,537868,TXS
Barcelona SC Cypress 15B Oro,293755,TXS
TC Premier SC STXCL WC B15 Blue A,619179,TXS
Rangers Pre-MLS Next Academy U11B (2015),632661,TXS
KYSO Warriors,552868,TXS
Houston Wolves S.C. 15B Black II,496811,TXS
Barça Academy Austin 15B Blue,634546,TXS
U11 Boys Gold - GO,521605,TXS
FC Westlake STXCL WC B15 Gold,633489,TXS
PSC Monart Ravens 15B D2L,581966,TXS
Storm 15B Black,616037,TXS
SG1 2 STXCL EC B15,647394,TXS
Lonestar STXCL WC B15 Blue Nth,635908,TXS
CSSC BCS United 15B,652190,TXS
Corpus Christi FC Academy - CCFC 14B,570677,TXS
U11 Boys Navy SB,521609,TXS
RSL LT Garcia 2015,579696,TXS
SCA RAYADOS 2016,460878,TXS
SA City STXCL WC B15 Red,636222,TXS
Sharks -15,81007,TXS
Premier FA 2015B Blue - Hawkins,336101,TXS
Pflugerville FC 15B Blue,156290,TXS
GC Academy 2015B White U10,244839,TXS
SA United 2015 Boys Gold,355180,TXS
DS Stars 15B Silver,297065,TXS
Madagascar Boys,571572,TXS
CE 15B Blue,275450,TXS
Jaguares FC 2015,291524,TXS
LTE 15B Barcelona,537629,TXS
Barcelona SC Cypress 15B Gold,484498,TXS
Lonestar 15B Sportsmanship Sth,635920,TXS
Lonestar 15B Integrity Nth,635921,TXS
Cedar Stars Rush 2015/2016,582240,TXS
MAFC 2015 Royal,360572,TXS
Pflugerville FC 15B White,156291,TXS
Lonestar STXCL WC B15 White Nth,635909,TXS
FFC B15 Coburn,600861,TXS
Los Toros 15B,526679,TXS
ID Kingdom Football Academy 15B,533716,TXS
Rangers Pre MLS Next U11B (2015),644158,TXS
Academy Pina B15,550714,TXS
Liberty United 15B Purple,379992,TXS
YMCA CTX Soccer Academy 2015B Surge,513452,TXS
U11 Gold TW,521608,TXS
Lonestar 15B Gold Nth,635904,TXS
AHFC 15B Premier 1 W,513065,TXS
ID PSG Academy Houston West 15B Blue II EDPL,628218,TXS
