team_name,gotsport_team_id,state
WYO 307 2015 Boys,524461,WY
JHYS United Boys 2015 Black,363716,WY
Blades 2015B Red,515265,WY
Worland 10U Boys Bronze,589477,WY
YFSA SP25: U9/U10 Boys *RED,335494,WY
Worland 10U Boys Silver,585363,WY
JHYS United Boys 2015 Blue,363717,WY
STRIKERS COED U10 BLACK,527780,WY
Rock Springs Avengers U10 Boys Kirkwood,408840,WY
2015-2016 GSC Boys White,52104,WY
2015-2016 GSC Boys White,52104,WY
JHYS United Boys 2015 White,585209,WY
YFSA SP25: U9/U10 Boys *BLACK,333412,WY
YFSA SP25: U9/U10 Boys *BLACK,333412,WY
2015-2016 GSC Boys Black,449103,WY
JCSA U10 Boys Black Spring 2025,581240,WY
JCSA U10 Boys White Spring 2025,582729,WY
Evanston Express,635294,WY
U10 SVSC-Rich,584544,WY
