gotsport_team_id,display_name,club,state,team_association_raw
42160508,FUTBOLTECH CHSC - 2015 LIVERPOOL,Futboltech,NJ,NJ
42162049,Las Vegas Sports Academy U11 Boys Red 2015,Las Vegas Sports Academy,NV,NV
42158579,Magnifico FC B15E,Magnifico FC,NV,NV
42158691,2015 (U11) Pre MLS,Miami Futbol Academy Rush ,FL,FL
42158613,Weston FC 2015 Future Elite I,Weston FC,FL,FL
42171732,2015 Boys Blue,Pinecrest Premier Soccer,FL,FL
42162343,AZ Arsenal Pre-ECNL B15,Arizona Arsenal Soccer Club,AZ,AZ
42161810,Weston FC 2015 Future Elite II,Weston FC,FL,FL
42161560,KBSC Academy 2015,Key Biscayne SC,FL,FL
42159809,Coppermine SC 2015 Boys Pre-Academy I,Coppermine Soccer Club,MD,MD
42160248,Henderson LVSA '15B Black,Henderson-LVSA,NV,NV
42161356,SYC 2015B Pre-MLS Next,Springfield SYC Soccer,VA,VA
42161887,ONE FC B2015 BLACK,NEUESPORTS,FL,FL
42161284,Chelsea 15B,Renegades Soccer Club,AZ,AZ
42161849,2015 Boys White,SABR - Team Boca,FL,FL
42158686,Ajax United 15B Academy Pre-MLS Next,Ajax United,CAN,CAN
42159695,Phoenix United 2015 Elite,Phoenix United Futbol Club,AZ,AZ
42159050,Lightning 15 Black,San Juan Soccer Club,CAN,CAN
42170695,2015-BOYS TEAM ORANGE,Miami Shores Soccer Club,FL,FL
42161197,FPFC PRE ECNL I B15,Florida Premier FC,FL,FL
42158378,TFA-Pro B2015,TOTAL FUTBOL ACADEMY (CA),CAS,CAS
42160720,ACADEMIA METODO COIRA 2015 ELITE,Miami Athletic Club,FL,FL
42162707,Southeast 2015 Boys Red,Next Level Soccer (AZ),AZ,AZ
42160296,MVP FC 15B,MVP Futbol Club ,FL,FL
42159917,Southeast 2015 Boys Black,Next Level Soccer (AZ),AZ,AZ
42158901,MVLA 15B Liverpool Blue,Mountain View Los Altos Soccer Club,CAN,CAN
42159441,CVFA 15B Academy,CV Futbol Academy,CAN,CAN
42158560,Real FA 2015 Pre-MLS,Real Futbol Academy,NJ,NJ
42159536,FC Dallas Youth Pre ECNL B15 Red Reyes,FC Dallas Youth,TXN,TXN
42159960,Northwest 2015 Boys Black,Next Level Soccer (AZ),AZ,AZ
42171454,CFC 15 Premier,Coerfontaine FC,FL,FL
42161764,Premier Touch FC IE B15,Premier Touch Futbol Club,CAS,CAS
42160812,GALACTICOS SOCCER ACADEMY 2015 ELITE,,FL,FL
42159697,S.S.A15B7,Spann Soccer Academy,TXN,TXN
42158873,Las Vegas Sports Academy U11 Boys White 2015,Las Vegas Sports Academy,NV,NV
42159959,BRAZAS FC 2015 Boys Black,Brazas Futebol Club,AZ,AZ
42158318,Black Conshy '15 (B),FC DELCO,PAE,PAE
42158710,Tampa Dynamo FC 2015B Red,Tampa Dynamo FC,FL,FL
42160122,B2015 Pre-NPL,Claremont Stars Soccer Club,CAS,CAS
42159069,USA Stars Academy 15/16 B,USA Stars Academy,CAN,CAN
42158525,Strikers Miami FC 2015 PRE ECNL,Strikers Miami FC ,FL,FL
42160739,15B AChacon Pre-MLS Next,RSL-AZ North,AZ,AZ
42170862,WS 2015B Messi,Weston Select Soccer Club,FL,FL
42158915,Burlingame SC 2015B Pre-MLS Next,Burlingame Soccer Club,CAN,CAN
42158683,B2015 Academy,Brooklyn United Academy,NYE,NYE
42162422,CSSA 2015W White,Coral Springs Soccer Academy & Futsal,FL,FL
42160486,Bethesda Academy I 2015,Bethesda SC,MD,MD
42159930,CCV Stars 15 Boys North Pre-ECNL,CCV STARS,AZ,AZ
42159838,TFA-SELA B2015 Red,TOTAL FUTBOL ACADEMY (CA),CAS,CAS
42158483,Stockton Storm FC 2015 Boys Blue,Stockton Storm Futbol Club,CAN,CAN
42161526,Phoenix Premier FC 15B Black,Phoenix Premier FC,AZ,AZ
42158863,Rocklin FC 15B Navy,Rocklin FC,CAN,CAN
42161788,State 48 FC Avondale 15 Copper,State 48 FC,AZ,AZ
42159427,ESJFC 15B Academy,East San Jose FC,CAN,CAN
42159348,Stockton TLJ FC 2015B RED,Stockton TLJ FC,CAN,CAN
42159806,Sting Attack B15 A Sarmiento Elite,Sting Soccer Club,TXN,TXN
42160761,2015B Red Pre ECNL,FC America,FL,FL
42160762,State 48 FC 15 Elite,State 48 FC,AZ,AZ
42158611,JFC 2015 Pre MLS Academy I,Jacksonville FC,FL,FL
42159143,Turlock Academica Jrs 15B Black,Turlock Academica Jrs,CAN,CAN
42159413,15B Red,Sacramento United,CAN,CAN
42160701,Lions U11 Red (2015),Miami Futbol Academy Rush ,FL,FL
42160992,Weston FC 2015 Boys Black,Weston FC,FL,FL
42172688,Aventura FC Bold Nation 2015B Gold,AVENTURA F.C. BOLD NATION,FL,FL
42161701,2015B Black,FD Football Club,FL,FL
42158545,15B Black,Philadelphia Ukrainian Nationals,PAE,PAE
42158176,Anaheim FC B2015 PDA Pre-NPL,Anaheim Futbol Club,CAS,CAS
42163625,Azzurri Storm 2015 Boys Select,"Azzurri Storm Soccer, Inc.",FL,FL
42170863,WS 2015B Tevez,Weston Select Soccer Club,FL,FL
42158917,2015B Pre-MLS Next,Elk Grove Soccer,CAN,CAN
42158780,IMCF Academy 2015,Inter Miami CF,FL,FL
42158409,LMSC 2015B Navy,Lower Merion SC,PAE,PAE
42168603,OCSS South 2015 Pre MLS 1,Orlando City Soccer Club,FL,FL
42160261,Vegas United ‘15 Boys Elite,Vegas United Soccer Club,NV,NV
42160527,SAC Boys 2015 - Pre-MLS NEXT,SAC/BA,MD,MD
42160278,LV Heat Surf B15 Pre NP Henderson,LV Heat Surf SC ,NV,NV
42158652,FHFC 2015 B Blue,Florida Hawks Futbol Club,FL,FL
42160924,2015B BLACK,Miami Breakers FC,FL,FL
42158667,TBU 2015B Pre MLS Next North,Tampa Bay United,FL,FL
42158797,Lamorinda United 2015B Pre-MLS,Lamorinda SC,CAN,CAN
42158157,Placer United 15B Pre-ECNL,Placer United Soccer Club,CAN,CAN
42162258,Utah United Academy 2015,Utah United Academy,UT,UT
42159432,Stanford Strikers 15B Pre ECNL RL,Stanford Strikers FC,CAN,CAN
42158840,AC Marin Boys 2015 Black,AC Marin,CAN,CAN
42158668,TBU 2015B Pre MLS Next South,Tampa Bay United,FL,FL
42161728,FCDA 2015B Pre - Academy,FC Deportivo Arizona,AZ,AZ
42158608,Magnifico FC B15P,Nevada Youth Soccer,NV,NV
42161095,XF B15 RCL1,,WA,WA
42159778,CES - Real Betis Academy Miami Elite 2015 A,Coral Estates S.C.,FL,FL
42161269,SWFL B15 PRE-ECNL,Florida Premier FC,FL,FL
42176828,ONE FC B2015 PRE-MLS,NEUESPORTS,FL,FL
42158986,Alameda SC Islanders 15B Red,Alameda Soccer Club,CAN,CAN
42160693,SYC 2015B Pre-MLS Next II,Springfield SYC Soccer,VA,VA
42161802,Prime United,Tournament Team,PAE,PAE
42161021,Deportivo Cali Doral 2015 Elite Redin,Miami Stars Soccer,FL,FL
42158478,FBS-FC 2015 Orange,Futbol Beach Soccer Futsal Club,FL,FL
42161336,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,Rayados Las Vegas Soccer Academy,NV,NV
42158242,FRAM 15B EA,FRAM SC,CAS,CAS
42160150,2015-BOYS TEAM BLACK,Miami Shores Soccer Club,FL,FL
42159961,Southeast 2015 Boys Green,Next Level Soccer (AZ),AZ,AZ
42158655,Greenwood 2015 Pre-MLS Next,Tulsa Greenwood SC,OK,OK
42158807,Marin FC B15Blue,Marin FC,CAN,CAN
42160958,Scottsdale 15 Sandsharks Select,North Scottsdale Soccer Club,AZ,AZ
42159724,Northwest 2015 Boys Red,Next Level Soccer (AZ),AZ,AZ
