Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
FC War Hawks 16B,TX,30,27,2,0,0.9,196,35,161,1.0,0,0.0,30,1.0,2025-10-11,0.6418859649122808,8,0,0.9,0.83,0.6418859649122808,0.7311315789473685,1.224744871391589,0.8954496516282241,1,Active
Santa Clara Sporting 16B Green,CA,30,27,3,0,0.9,195,48,147,1.0,6,0.2,30,1.0,2025-10-11,0.5796001304644922,22,6,0.9,0.802,0.5796001304644922,0.6881600782786954,1.224744871391589,0.8428205265682666,2,Active
B2016 Elite Red,NY,30,29,1,0,0.9666666666666667,237,38,199,1.0,11,0.36666666666666664,30,1.0,2025-10-05,0.5121434093141318,26,11,0.9666666666666667,0.906,0.5121434093141318,0.6818193789218125,1.224744871391589,0.8350547875498884,3,Active
Nordic 2016 Boys Bayern,VT,30,24,4,0,0.8,144,50,94,0.7,3,0.1,30,1.0,2025-10-12,0.636707133446264,22,3,0.8,0.696,0.636707133446264,0.6812242800677584,1.224744871391589,0.8343259432804145,4,Active
SD Surf Academy Boys 2016 (Miller),CA,30,24,4,0,0.8,191,49,142,0.8,7,0.23333333333333334,30,1.0,2025-07-14,0.6034641360728318,23,7,0.8,0.792,0.6034641360728318,0.6804784816436991,1.224744871391589,0.8334125304854559,5,Active
Cleveland Force 16B White West,OH,30,26,4,0,0.8666666666666667,232,49,183,1.0,0,0.0,30,1.0,2025-10-12,0.545542292956086,24,0,0.8666666666666667,0.874,0.545542292956086,0.675458709106985,1.224744871391589,0.8272645898155631,6,Active
CVFA 16B Academy,CA,30,21,5,0,0.7,165,53,112,0.7,0,0.0,30,1.0,2025-10-12,0.6240000000000001,25,0,0.7,0.732,0.6240000000000001,0.6608,1.224744871391589,0.809311411015562,7,Active
SYC 2016B Pre-MLS Next,VA,30,24,4,0,0.8,152,61,91,0.8,2,0.06666666666666667,30,1.0,2025-10-11,0.6026621098200046,25,2,0.8,0.69,0.6026621098200046,0.6595972658920028,1.224744871391589,0.8078383685851447,8,Active
United FC 16,TX,30,20,8,0,0.6666666666666666,159,54,105,0.7,0,0.0,30,1.0,2025-10-11,0.6366666666666666,10,0,0.6666666666666666,0.718,0.6366666666666666,0.6589333333333334,1.224744871391589,0.8070252205889644,9,Active
Nevada FC 16B Pre-EA,NV,30,25,4,0,0.8333333333333334,160,57,103,0.9,10,0.3333333333333333,30,1.0,2025-09-28,0.5820081432484534,18,10,0.8333333333333334,0.714,0.5820081432484534,0.6586715526157387,1.224744871391589,0.8067046059976611,10,Active
Placer United 16B Gold,CA,30,27,2,0,0.9,167,48,119,1.0,0,0.0,30,1.0,2025-10-11,0.5444444444444445,27,0,0.9,0.746,0.5444444444444445,0.6558666666666668,1.224744871391589,0.803269336316697,11,Active
Solar Pre-ECNL B16 Paez,TX,30,25,4,0,0.8333333333333334,181,45,136,1.0,8,0.26666666666666666,30,1.0,2025-09-01,0.5552842996181004,23,8,0.8333333333333334,0.78,0.5552842996181004,0.6558372464375269,1.224744871391589,0.8032333040419427,12,Active
LFA Blue Star Major 2016B,MO,30,26,2,0,0.8666666666666667,178,65,113,0.7,0,0.0,30,1.0,2025-10-12,0.5562839459391182,29,0,0.8666666666666667,0.734,0.5562839459391182,0.6539037008968043,1.224744871391589,0.8008652040573406,13,Active
Ajax United 16B Green Pre-MLS Next,CA,30,25,3,0,0.8333333333333334,155,52,103,1.0,3,0.1,30,1.0,2025-10-04,0.5736638176638177,25,2,0.8333333333333334,0.714,0.5736638176638177,0.6536649572649573,1.224744871391589,0.8005728040186586,14,Active
SPIRE FC 2016 BLACK BOYS,OH,30,30,0,0,1.0,228,47,181,1.0,2,0.06666666666666667,30,1.0,2025-10-12,0.4593410477701666,27,2,1.0,0.87,0.4593410477701666,0.6496046286621,1.224744871391589,0.7955999373861445,15,Active
LFA Red Star Tango 2016B,MO,30,25,3,0,0.8333333333333334,192,65,127,1.0,5,0.16666666666666666,30,1.0,2025-10-10,0.543913339746673,24,5,0.8333333333333334,0.762,0.543913339746673,0.6454146705146705,1.224744871391589,0.7904683076337349,16,Active
PHENOM B2016,CA,30,24,4,0,0.8,168,58,110,0.7,9,0.3,30,1.0,2025-07-13,0.5653818324063262,16,9,0.8,0.728,0.5653818324063262,0.6448290994437957,1.224744871391589,0.7897511324678457,17,Active
Stockton TLJ FC 16,CA,30,24,0,0,0.8,194,48,146,0.8,0,0.0,30,1.0,2025-10-12,0.5398809523809524,28,0,0.8,0.8,0.5398809523809524,0.6439285714285714,1.224744871391589,0.7886482153996552,18,Active
Mustang SC Wolf Pack 16M,CA,30,26,2,0,0.8666666666666667,184,37,147,0.8,0,0.0,30,1.0,2025-10-12,0.5161749482401656,28,0,0.8666666666666667,0.802,0.5161749482401656,0.6434383022774327,1.224744871391589,0.7880477607711966,19,Active
NEFC Metro West Boys 2016 MLS Futures Red,MA,30,26,2,0,0.8666666666666667,250,14,236,1.0,0,0.0,30,1.0,2025-10-11,0.4562096123499633,27,0,0.8666666666666667,0.98,0.4562096123499633,0.6430591007433113,1.224744871391589,0.7875833356370576,20,Active
