Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
Club Ohio West Pre MLS NEXT 15B,OH,30,45,29,1,0,0.9666666666666667,171,29,118,0.97,3,0.1,13,0.43333333333333335,2025-10-12,3.0492908719211163,30,3,5.7,0.9666666666666667,5.121369308943019,1.428613507461947,0.853874851149151,0.7656718561331807,0.8378708703236573,0.8266318636506607,1.0,0.8266318636506607,1,Active
CUP 15B Black,OH,27,27,24,3,0,0.8888888888888888,167,40,93,0.9,0,0.0,8,0.2962962962962963,2025-10-12,2.827781616623585,27,0,6.185185185185185,1.4814814814814814,5.44605810685242,1.8653518081015423,0.8841042977757156,0.7066794883617153,0.8207063839620401,0.8105805876047103,1.0,0.8105805876047103,2,Active
Cleveland Force 15B Pre-ECNL White,OH,30,37,27,1,0,0.9,160,37,101,0.9,0,0.0,8,0.26666666666666666,2025-10-12,2.770142309395623,30,0,5.333333333333333,1.2333333333333334,4.831895624732493,1.6391398232514207,0.8216649978126112,0.7382984389451035,0.8182197740183442,0.8029245517625494,1.0,0.8029245517625494,3,Active
Greater Lowell 2015 Boys Pre-MLS Academy,MA,18,18,17,0,0,0.9444444444444444,121,31,72,0.7333333333333333,1,0.05555555555555555,3,0.16666666666666666,2025-10-12,3.4317478182265533,18,1,6.722222222222222,1.7222222222222223,5.562001297685951,2.164896664752076,0.8935066723658692,0.6615733874412544,0.891572808857089,0.8459596972756781,0.9486832980505138,0.8025478356293045,4,Active
APSC 2015B Arsenal,CA,30,48,30,0,0,1.0,129,33,78,1.0,0,0.0,5,0.16666666666666666,2025-10-11,2.966180817960643,30,0,4.3,1.1,4.016106151048282,1.5338766653566838,0.7022262553393436,0.7522385853144582,0.84288163582051,0.7966219496230663,1.0,0.7966219496230663,5,Active
MVLA 15B Liverpool Blue,CA,30,90,25,2,0,0.8333333333333334,150,39,101,0.8350000000000001,4,0.13333333333333333,6,0.2,2025-10-12,2.6277681048488426,30,4,5.0,1.3,4.56873772999565,1.691771402198789,0.7877843567624909,0.7311414204240871,0.818435117059451,0.7948462256729862,1.0,0.7948462256729862,6,Active
Inglewood sc B2015,CA,30,50,30,0,0,1.0,150,39,101,1.0,0,0.0,4,0.13333333333333333,2025-09-01,2.7810288692050764,30,0,5.0,1.3,4.56873772999565,1.691771402198789,0.7877843567624909,0.7311414204240871,0.8171650486720025,0.7940841846405171,1.0,0.7940841846405171,7,Active
SYC 2015B Pre-MLS Next,VA,30,93,20,6,0,0.6666666666666666,134,68,56,0.6633333333333333,0,0.0,14,0.4666666666666667,2025-10-11,3.105873786845489,30,0,4.466666666666667,2.2666666666666666,4.147685098416703,2.454929296935631,0.7243106029578598,0.614899104936445,0.8726136553588514,0.7914101347941718,1.0,0.7914101347941718,8,Active
Medford Strikers 2015 Boys,NJ,30,73,28,2,0,0.9333333333333333,154,41,105,0.93,1,0.03333333333333333,3,0.1,2025-10-12,2.657142645409028,30,1,5.133333333333334,1.3666666666666667,4.674000887890387,1.7444029811461574,0.8018727535292927,0.723861878606933,0.8100836790631248,0.79119713386512,1.0,0.79119713386512,9,Active
CUP 15B Gold,OH,30,30,22,6,0,0.7333333333333333,128,34,72,0.735,0,0.0,9,0.3,2025-10-12,2.706708331477158,30,0,4.266666666666667,1.1333333333333333,3.9897903615745975,1.560192454830368,0.6976889568100423,0.7488007186381415,0.8314888713693491,0.7881912579112462,1.0,0.7881912579112462,10,Active
Idaho Juniors 15B Neon,ID,30,89,18,12,0,0.6,162,54,54,0.6016666666666666,0,0.0,0,0.0,2025-10-11,2.3326031961008016,30,0,5.4,1.8,4.884527203679861,2.0865082443040524,0.827908802268106,0.673708554190229,0.8130157476740456,0.7881329198960944,1.0,0.7881329198960944,11,Active
CVFA 15B Academy,CA,30,109,25,5,0,0.8333333333333334,152,33,85,0.8316666666666667,7,0.23333333333333334,6,0.2,2025-10-05,2.3482583386939453,30,7,5.066666666666666,1.1,4.621369308943019,1.5338766653566838,0.7949183073220948,0.7522385853144582,0.7934172895157605,0.785481752236767,1.0,0.785481752236767,12,Active
CUP 15B Silver,OH,21,21,20,0,0,0.9523809523809523,104,12,84,0.8166666666666667,0,0.0,6,0.2857142857142857,2025-10-12,2.355394762420598,21,0,4.9523809523809526,0.5714285714285714,4.400414956546024,1.285769423570827,0.7637647578998861,0.7830782673403424,0.7846230170152179,0.7801424152571764,1.0,0.7801424152571764,13,Active
NBFC 2015 Boys Blue,ID,30,38,27,3,0,0.9,125,35,81,0.9,0,0.0,4,0.13333333333333333,2025-10-11,2.782006387023806,30,0,4.166666666666667,1.1666666666666667,3.9108429931535458,1.5865082443040521,0.6838458685016867,0.7453312988011773,0.8221502041967785,0.7791255559786399,1.0,0.7791255559786399,14,Active
North Coast FC 15B Blue,CA,30,91,22,8,0,0.7333333333333333,136,58,62,0.7383333333333333,0,0.0,4,0.13333333333333333,2025-10-12,2.662134380760671,30,0,4.533333333333333,1.9333333333333333,4.200316677364071,2.191771402198789,0.7328547392242234,0.6573625223617401,0.8339183913392679,0.7783944871207533,1.0,0.7783944871207533,15,Active
FUTBOLTECH CHSC - 2015 LIVERPOOL,NJ,30,49,23,1,0,0.7666666666666667,124,39,76,0.7666666666666666,0,0.0,18,0.6,2025-10-11,2.646422091521846,30,0,4.133333333333334,1.3,3.8845272036798617,1.691771402198789,0.6791564628515223,0.7311414204240871,0.8247863123055804,0.7769313640384702,1.0,0.7769313640384702,16,Active
NY Red Bulls RDS Showcase B2015 Red,NJ,20,20,16,1,0,0.8,99,23,67,0.7166666666666666,0,0.0,5,0.25,2025-07-27,2.369138743049695,20,0,4.95,1.15,4.379001204994097,1.724546902984071,0.7605780871253947,0.7266224778396031,0.7968936967311544,0.7755763310316921,1.0,0.7755763310316921,17,Active
