Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,SOS_iterative_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,Southeast 2014 Boys Black Next Level Soccer (AZ),0.902,0.9021,1,0.732525721,0.932499852,0.5566273,0.948442103,27,30,Active,TRUE,9/14/2025
2,Dynamos SC 14B SC Dynamos SC,0.859,0.8592,1,0.724219455,0.838822936,0.10398532,0.911015211,30,42,Active,TRUE,9/28/2025
3,14B GSA RSL-AZ North,0.802,0.8015,1,0.686157035,0.775778184,0.10398532,0.848524992,30,51,Active,TRUE,9/28/2025
4,Excel Soccer Academy 14B Red Excel Soccer Academy,0.78,0.7802,1,0.678256903,0.716284094,0.163741589,0.835434084,30,40,Active,TRUE,10/5/2025
5,2014B West Phoenix United Futbol Club,0.735,0.7353,1,0.784045528,0.853720124,0.271961605,0.679587478,30,66,Active,TRUE,9/28/2025
6,Southeast 2014 Boys Red Next Level Soccer (AZ),0.723,0.7227,1,0.628227181,0.610180899,0.223497859,0.791759946,30,47,Active,TRUE,10/5/2025
7,14B JDeutsch Pre-MLS Next RSL-AZ South,0.723,0.7226,1,0.445694858,0.471108823,0.197787203,0.898662987,21,28,Active,TRUE,9/19/2025
8,14 Pre-MLSN #1 FC Tucson Youth Soccer,0.707,0.7073,1,0.821271276,0.624376886,0.079047664,0.696910294,30,39,Active,TRUE,10/4/2025
9,Brazas 2014 Boys Black Marcos Brazas Futebol Club,0.702,0.7023,1,0.805901482,0.558813485,0.306309697,0.715673152,27,35,Active,TRUE,4/27/2025
10,2014 Elite Phoenix United Futbol Club,0.68,0.9498,0.715541753,0.816564419,0.932499852,0.213793347,1,16,16,Active,TRUE,9/28/2025
11,CCV Stars 14 Boys West Pre-ECNL CCV STARS,0.672,0.6721,1,0.775246058,0.524231506,0.293511504,0.687020208,21,25,Active,TRUE,9/13/2025
12,PRFC North Valley 14B PreAcademy Phoenix Rising FC North Valley,0.66,0.6603,1,0.282890007,0.506207248,0,0.83740914,30,52,Active,TRUE,10/4/2025
13,AZ Arsenal Pre-ECNL B14 Arizona Arsenal Soccer Club,0.64,0.6404,1,0.391852802,0.408957718,0.125158801,0.800454914,30,51,Active,TRUE,9/28/2025
14,PRFC Scottsdale 14B Pre-Academy Phoenix Rising FC,0.637,0.6368,1,0.82325444,0.932499852,0.16656472,0.47603376,30,61,Active,TRUE,10/5/2025
15,14B Antunez Pre-MLS Next RSL-AZ North,0.633,0.6326,1,0.192083466,0.272140452,0.334070484,0.899526666,26,35,Active,TRUE,10/5/2025
16,CCV Stars 14 Boys North Pre-ECNL CCV STARS,0.627,0.7348,0.853814968,0.326094194,0.709456618,0,0.879519533,18,22,Active,TRUE,10/4/2025
17,AZSC 14B Perez Arizona Soccer Club,0.626,0.6263,1,0.684722901,0.659121628,0.514750859,0.595903851,30,56,Active,TRUE,4/27/2025
18,Playmaker Futbol Academy PRE-ECNL B14 Playmaker Futbol Academy,0.626,0.6763,0.925945463,0.591673858,0.428435763,0.090340187,0.787199602,19,31,Active,TRUE,9/28/2025
19,Tuzos Royals 2014 FBSL,0.622,0.6218,1,0.221485224,0.535301407,0.39806145,0.783996079,30,89,Active,TRUE,10/4/2025
20,Playmaker Futbol Academy 14B Black Playmaker Futbol Academy,0.618,0.6182,1,0.827505068,0.535559355,0.298781349,0.57601922,30,71,Active,TRUE,9/28/2025
21,Madison FC 14 Gold Boys Madison FC,0.617,0.6173,1,0.719243527,0.868592107,0.583447043,0.499559274,30,49,Active,TRUE,10/4/2025
22,Southeast 2014 Boys Blue Next Level Soccer (AZ),0.615,0.6154,1,0.507798686,0.456904978,0.349597704,0.704123579,30,40,Active,TRUE,10/4/2025
23,NOS Santos 14 Boys Blue NOS Santos SC,0.605,0.6053,1,0.672120285,0.537996379,0.554274691,0.605522328,27,37,Active,TRUE,10/4/2025
24,PRFC Desert Foothills 14B Pre-Academy Phoenix Rising Desert Foothills,0.601,0.6006,1,0.758333429,0.469249819,0.3538324,0.591860284,30,55,Active,TRUE,10/5/2025
25,14 Pre-MLSN #2 FC Tucson Youth Soccer,0.584,0.5838,1,0.827505068,0.623225817,0.211264292,0.489504708,30,43,Active,TRUE,10/4/2025
26,Phoenix Premier FC 14B Black Phoenix Premier FC,0.561,0.5613,1,0.806843918,0.359681032,0.44746624,0.546696559,30,44,Active,TRUE,10/4/2025
27,14B Negrete Pre MLS Next RSL-AZ Southern AZ,0.559,0.5591,1,0.827505068,0.525487365,0.241565897,0.480768585,21,25,Active,TRUE,10/4/2025
28,Phoenix United 2014 Premier Phoenix United Futbol Club,0.556,0.5556,1,0.768214279,0.932499852,0.558038865,0.359143662,30,57,Active,TRUE,10/4/2025
