Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
AZ Arsenal 16 Boys Teal OC,AZ,30,50,18,6,0,0.6,160,66,58,0.5916666666666666,24,0.8,9,0.3,2025-10-12,0.226296938079652,30,24,5.333333333333333,2.2,4.91299241153359,2.4539318850005563,0.7525228851270189,0.647437110616298,0.8012003777404982,0.7607122257929624,1.0,0.7607122257929624,19,Active,1
PRFC Scottsdale 16B Predator,AZ,30,41,13,15,0,0.43333333333333335,99,95,4,0.42833333333333334,24,0.8,5,0.16666666666666666,2025-10-05,0.44285476480994534,30,24,3.3,3.1666666666666665,3.3077292536388536,3.2170897797373983,0.491115026793135,0.5256289247160455,0.9123864564456622,0.7507806641692334,1.0,0.7507806641692334,31,Active,2
PRFC Scottsdale 16B Copa,AZ,24,24,13,9,0,0.5416666666666666,76,67,9,0.46111111111111114,4,0.16666666666666666,6,0.25,2025-09-07,0.14993870923199548,24,4,3.1666666666666665,2.7916666666666665,3.2091784886961388,2.9452941134381607,0.4735245581917649,0.5701653933481483,0.7298210160712572,0.6466305999507369,1.0,0.6466305999507369,182,Active,3
State 48 FC Avondale 16 Copper,AZ,30,46,26,3,0,0.8666666666666667,186,30,102,0.8733333333333333,1,0.03333333333333333,7,0.23333333333333334,2025-09-28,0.3320111801709841,30,1,6.2,1.0,5.59720293784938,1.5065634639479248,0.8321970035274516,0.7746787674340414,0.5386613070464861,0.6445719384201902,1.0,0.6445719384201902,187,Active,4
16B GSA,AZ,30,71,20,4,0,0.6666666666666666,111,27,75,0.6633333333333333,17,0.5666666666666667,13,0.43333333333333335,2025-09-28,-0.0602636299266057,30,17,3.7,0.9,3.623518727323064,1.4276160955268722,0.547413348574061,0.7836698471339011,0.616954807017904,0.6363895233523348,1.0,0.6363895233523348,207,Active,5
Southeast 2016 Boys Black,AZ,30,46,17,9,0,0.5666666666666667,96,65,30,0.5666666666666667,8,0.26666666666666666,12,0.4,2025-10-12,0.12433495304377876,30,8,3.2,2.1666666666666665,3.228781885217801,2.427616095526872,0.4770197568209088,0.6514032083551708,0.6811395551386689,0.6343683261184172,1.0,0.6343683261184172,210,Active,6
Tuzos Academy GTA 2016,AZ,30,63,25,4,0,0.8333333333333334,139,39,89,0.8333333333333334,0,0.0,9,0.3,2025-10-12,0.39441988411069,30,0,4.633333333333334,1.3,4.360360832586221,1.7434055692110828,0.671950085924696,0.7461416800203589,0.5779923275087361,0.6304137496942526,1.0,0.6304137496942526,219,Active,7
16B Wagner,AZ,30,33,19,4,0,0.6333333333333333,120,49,63,0.6433333333333333,4,0.13333333333333333,6,0.2,2025-09-14,0.24751299105306773,30,4,4.0,1.6333333333333333,3.8603608325862218,2.006563463947925,0.5889318301043873,0.7117578364598827,0.5992771068511344,0.6197041974235347,1.0,0.6197041974235347,256,Active,8
16B KChacon,AZ,30,41,23,4,0,0.7666666666666667,114,42,66,0.7699999999999999,12,0.4,11,0.36666666666666664,2025-09-20,0.10497264366537418,30,12,3.8,1.4,3.7024660957441164,1.8223529376321352,0.5613559879183291,0.7361160693053854,0.5848645315929815,0.6104131304005318,1.0,0.6104131304005318,315,Active,9
PRFC Desert Foothills 16B Predator,AZ,30,55,14,10,0,0.4666666666666667,128,92,20,0.45666666666666667,24,0.8,1,0.03333333333333333,2025-10-11,-0.03995935331206931,30,24,4.266666666666667,3.066666666666667,4.070887148375696,3.138142411316346,0.6248214208601259,0.5386393922629749,0.6251044130247204,0.6077548104394523,1.0,0.6077548104394523,329,Active,10
PRFC North Valley 16B Predator,AZ,30,83,15,7,0,0.5,85,68,17,0.5033333333333334,12,0.4,7,0.23333333333333334,2025-09-07,-0.09191674401472871,30,12,2.8333333333333335,2.2666666666666666,2.939308201007275,2.506563463947925,0.425816554403296,0.6394440917059859,0.5832096536850742,0.5629779214329009,1.0,0.5629779214329009,600,Active,11
PRFC Southeast Valley 16B Predator,AZ,30,47,22,6,0,0.7333333333333333,152,87,57,0.7333333333333333,0,0.0,17,0.5666666666666667,2025-08-24,0.07619593720873169,30,0,5.066666666666666,2.9,4.702466095744117,3.006563463947925,0.7234422197467241,0.560198466468798,0.5070903365576122,0.5609823391776717,1.0,0.5609823391776717,615,Active,12
SASC 2016 B u10 Cardinals Whitney,AZ,15,15,14,0,0,0.9333333333333333,77,17,50,0.4666666666666667,0,0.0,1,0.06666666666666667,2025-09-28,0.2218035065471547,15,0,5.133333333333334,1.1333333333333333,4.508422245142454,1.9238874621748323,0.6948457302897881,0.7228545826907775,0.606204492391293,0.647262758030889,0.8660254037844386,0.5605459913783299,618,Active,13
Chelsea 16B,AZ,24,24,16,8,0,0.6666666666666666,116,60,46,0.5722222222222222,2,0.08333333333333333,2,0.08333333333333333,2025-10-11,0.020255454000407375,24,2,4.833333333333333,2.5,4.459178488696138,2.7265441134381607,0.6873300358715224,0.6052363345271474,0.49339515570239584,0.5545503675011715,1.0,0.5545503675011715,667,Active,14
16B Clay,AZ,23,23,12,5,0,0.5217391304347826,85,40,31,0.45208333333333334,3,0.13043478260869565,10,0.43478260869565216,2025-09-14,-0.12107505880275495,23,3,3.6956521739130435,1.7391304347826086,3.6030229560734335,2.16933585903294,0.5437805502296058,0.6891581355979883,0.5091004435679535,0.5520480033062909,1.0,0.5520480033062909,680,Active,15
Southeast 2016 Boys Red,AZ,30,38,17,10,0,0.5666666666666667,77,66,12,0.5683333333333334,0,0.0,15,0.5,2025-09-28,0.13442663598518312,30,0,2.566666666666667,2.2,2.728781885217801,2.4539318850005563,0.3894909015208894,0.647437110616298,0.5709173768821447,0.5499360285567243,1.0,0.5499360285567243,694,Active,16
State 48 FC Avondale 16 Gray,AZ,30,43,23,7,0,0.7666666666666667,132,60,64,0.7633333333333333,0,0.0,12,0.4,2025-09-14,0.12462584731921766,30,0,4.4,2.0,4.176150306270432,2.296037148158451,0.6422906060739919,0.6709122894549922,0.47113180018070605,0.5453196592142204,1.0,0.5453196592142204,725,Active,17
Phoenix United 2016 Academy,AZ,30,46,17,7,0,0.5666666666666667,85,38,33,0.5599999999999999,2,0.06666666666666667,10,0.3333333333333333,2025-10-12,-0.04233451558758289,30,2,2.8333333333333335,1.2666666666666666,2.939308201007275,1.7170897797373985,0.425816554403296,0.7494271518497246,0.5125114797136509,0.5425556290787946,1.0,0.5425556290787946,753,Active,18
16B Arviso #1,AZ,29,30,14,10,0,0.4827586206896552,144,109,11,0.4858333333333333,0,0.0,10,0.3448275862068966,2025-10-11,-0.1346029342874821,29,0,4.9655172413793105,3.7586206896551726,4.6133435577912545,3.682416530541112,0.7105145099501287,0.44882325610097684,0.508244117863715,0.5368140239284501,1.0,0.5368140239284501,805,Active,19
Wolves 16/17 B,AZ,22,22,14,7,0,0.6363636363636364,77,37,36,0.5166666666666666,2,0.09090909090909091,6,0.2727272727272727,2025-10-11,-0.059421663366625216,22,2,3.5,1.6818181818181819,3.456457054609215,2.141647054334038,0.5176893394888502,0.69307091288805,0.481765835181233,0.5312115515841198,1.0,0.5312115515841198,850,Active,20
AZ Arsenal 16 Boys Teal DB,AZ,30,42,12,10,0,0.4,99,94,5,0.395,18,0.6,12,0.4,2025-10-11,-0.11917565966291123,30,18,3.3,3.1333333333333333,3.3077292536388536,3.190773990263714,0.491115026793135,0.5299704947833153,0.5419693562593186,0.5293987180708812,1.0,0.5293987180708812,861,Active,21
