Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
16 Kraze Black,FL,30,65,26,4,0,0.8666666666666667,135,47,80,0.8633333333333334,16,0.5333333333333333,9,0.3,2025-09-28,0.4646304214832126,30,16,4.5,1.5666666666666667,4.255097674691485,1.9539318850005565,0.6551516758659643,0.718852601087759,0.8575147406036258,0.7893096997529201,1.0,0.7893096997529201,6,Active,1
CFC 16 Premier,FL,30,44,16,9,0,0.5333333333333333,111,63,47,0.5333333333333332,23,0.7666666666666667,10,0.3333333333333333,2025-10-12,0.3409543233598796,30,23,3.7,2.1,3.623518727323064,2.3749845165795036,0.547413348574061,0.6592723778632478,0.8706113974726761,0.7637039837710674,1.0,0.7637039837710674,17,Active,2
MIAMI UNITED FC 2016 ELITE,FL,30,51,21,5,0,0.7,146,68,67,0.7016666666666665,11,0.36666666666666664,18,0.6,2025-10-17,0.23797179780586653,30,11,4.866666666666666,2.2666666666666666,4.544571358902012,2.506563463947925,0.7002978556317221,0.6394440917059859,0.7100914311970424,0.6940032481857671,1.0,0.6940032481857671,80,Active,3
GALACTICOS SOCCER ACADEMY 2016 ELITE,FL,30,106,6,19,0,0.2,44,70,-28,0.2,27,0.9,3,0.1,2025-10-12,0.19309611494822587,30,27,1.4666666666666666,2.3333333333333335,1.8603608325862222,2.5591950428952934,0.2553429418322825,0.6313730366032952,0.8270561404272287,0.6735768799434528,1.0,0.6735768799434528,119,Active,4
2016 BOYS ECNL DEV 1,FL,30,59,12,14,0,0.4,80,68,8,0.4066666666666666,18,0.6,4,0.13333333333333333,2025-09-28,0.17038212352374532,30,18,2.6666666666666665,2.2666666666666666,2.8077292536388536,2.506563463947925,0.40299278335945626,0.6394440917059859,0.7620522898223323,0.6657187489064877,1.0,0.6657187489064877,129,Active,5
OCSS-Seminole 2016 Pre MLS,FL,30,77,24,4,0,0.8,129,52,77,0.8066666666666665,10,0.3333333333333333,8,0.26666666666666666,2025-10-12,0.21520467103283417,30,10,4.3,1.7333333333333334,4.09720293784938,2.0855108323689775,0.6292213401781257,0.7009186112932069,0.6656174896633799,0.6653984840922944,1.0,0.6653984840922944,131,Active,6
Nona Soccer 2016 Boys Black,FL,30,54,21,8,0,0.7,124,67,51,0.6933333333333334,4,0.13333333333333333,16,0.5333333333333333,2025-10-05,0.14109138877938032,30,4,4.133333333333334,2.2333333333333334,3.9656239904809594,2.4802476744742408,0.6070210846796501,0.6434505879618552,0.6725776131209231,0.6536409024008549,1.0,0.6536409024008549,164,Active,7
JFC 2016 Pre MLS Academy II,FL,30,72,18,10,0,0.6,95,73,20,0.6016666666666666,7,0.23333333333333334,7,0.23333333333333334,2025-10-04,0.199752250377523,30,7,3.1666666666666665,2.433333333333333,3.202466095744117,2.638142411316346,0.47232834707368104,0.6191285365395215,0.7241310366392685,0.6527699987062017,1.0,0.6527699987062017,165,Active,8
2016 Boys OCLN Pre-Academy,FL,30,61,22,4,0,0.7333333333333333,124,68,54,0.7333333333333333,3,0.1,16,0.5333333333333333,2025-10-05,0.14428321184249593,30,3,4.133333333333334,2.2666666666666666,3.9656239904809594,2.506563463947925,0.6070210846796501,0.6394440917059859,0.629074252141899,0.6267375865622666,1.0,0.6267375865622666,232,Active,9
ONE FC B2016 BLACK,FL,30,60,18,7,0,0.6,130,56,68,0.5933333333333333,0,0.0,6,0.2,2025-10-11,0.1226161295530048,30,0,4.333333333333333,1.8666666666666667,4.123518727323064,2.190773990263714,0.6335999180495563,0.6861099374901077,0.6021361312194045,0.6252236498395756,1.0,0.6252236498395756,238,Active,10
