Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
QCS B2016 Lightning,IA,25,28,17,8,0,0.68,142,74,57,0.5833333333333333,2,0.08,11,0.44,2025-10-12,0.030278073459658092,25,2,5.68,2.96,5.111930655705346,3.0681639887885197,0.7780504001930317,0.5501285022578204,0.565922616667325,0.6051893504905654,1.0,0.6051893504905654,337,Active,1
BSA 2016 Boys White,IA,26,29,22,4,0,0.8461538461538461,150,55,81,0.745,0,0.0,16,0.6153846153846154,2025-10-05,0.1395059243095664,26,0,5.769230769230769,2.1153846153846154,5.196873871714012,2.4191003420594455,0.7883602725775458,0.652682184633482,0.5239398217647762,0.6025723845010713,1.0,0.6025723845010713,347,Active,2
Pearl City 2016 Boys,IA,17,17,9,8,0,0.5294117647058824,100,71,15,0.5833333333333333,0,0.0,6,0.35294117647058826,2025-08-31,-0.21160238240338242,17,0,5.882352941176471,4.176470588235294,5.067748465531057,3.9299764652008458,0.7725477746846368,0.4087093533453152,0.4554500331816384,0.5095214455149735,0.9219544457292888,0.46975556188694334,1413,Active,3
NSSC U10 Red,IA,30,34,14,11,0,0.4666666666666667,118,116,5,0.475,0,0.0,17,0.5666666666666667,2025-10-11,-0.11140130344159604,30,0,3.933333333333333,3.8666666666666667,3.807729253638853,3.769721358684767,0.5797928981631714,0.43457245814223777,0.4351195665815294,0.4639448112099995,1.0,0.4639448112099995,1479,Active,4
BSA 2016 Boys Blue,IA,29,29,12,13,0,0.41379310344827586,60,80,-16,0.41833333333333333,0,0.0,12,0.41379310344827586,2025-10-12,-0.28682571921209454,29,0,2.0689655172413794,2.7586206896551726,2.3430732875209848,2.898632746757328,0.32624699942952035,0.5777184508864832,0.4554172626327248,0.4540434476428356,1.0,0.4540434476428356,1564,Active,5
MSC 2016 Boys - Purple,IA,30,32,12,13,0,0.4,111,117,-4,0.4033333333333333,0,0.0,15,0.5,2025-10-05,-0.1702290219697309,30,0,3.7,3.9,3.623518727323064,3.796037148158451,0.547413348574061,0.43029695071517826,0.4217524003556719,0.448593500071251,1.0,0.448593500071251,1622,Active,6
MSC 2016 Boys - Gold,IA,30,47,8,20,0,0.26666666666666666,105,137,-31,0.2683333333333333,0,0.0,13,0.43333333333333335,2025-10-12,-0.47000263390877894,30,0,3.5,4.566666666666666,3.4656239904809585,4.322352937632135,0.5193255313258046,0.3477272148788676,0.3858231768763077,0.40490445536671904,1.0,0.40490445536671904,2008,Active,7
UFA DSM 2016B ACADEMY,IA,7,7,7,0,0,1.0,54,4,38,0.5,0,0.0,3,0.42857142857142855,2025-09-21,0.08287559067375515,7,0,7.714285714285714,0.5714285714285714,5.379580775885096,2.0832941086680763,0.8093347127445782,0.7012261347366779,0.5965551217696797,0.6600452425580591,0.5916079783099616,0.39048803154288153,2140,Active,8
CVSC 2016 Boys,IA,8,8,8,0,0,1.0,44,24,20,0.5,0,0.0,1,0.125,2025-09-21,0.05231414456677545,8,0,5.5,3.0,4.4183569773922775,3.2030882268763214,0.6810240021039673,0.5279394205275396,0.6034373177220664,0.6038550751595413,0.6324555320336759,0.381911482831263,2196,Active,9
AYSO United 2016 Boys Red,IA,20,25,4,16,0,0.2,43,100,-51,0.13333333333333333,0,0.0,8,0.4,2025-09-21,-0.5207522743107305,20,0,2.15,5.0,2.4890611299384444,4.544621843929327,0.3495910746598625,0.3151438272719006,0.39466022695952696,0.36974311656206876,1.0,0.36974311656206876,2280,Active,10
