Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Indy Eleven 2016B Red,IN,29,14,12,0,0.4827586206896552,123,97,26,0.7,2,0.06896551724137931,29,1.0,2025-10-12,0.4495307605075207,23,2,0.4827586206896552,0.56,0.4495307605075207,0.47827018044244346,1.2041594578792296,0.575913561201374,872,Active,1
Hoosier FC 2016B Wolves Black 2,IN,25,18,4,0,0.72,98,60,38,0.6,5,0.2,25,1.0,2025-10-12,0.37839962121212123,16,5,0.72,0.584,0.37839962121212123,0.4878397727272727,1.118033988749895,0.5454214469731149,1154,Active,2
USAI 2016B White,IN,22,10,9,0,0.45454545454545453,57,58,-1,0.3,0,0.0,22,1.0,2025-10-11,0.5382950191570881,14,0,0.45454545454545453,0.506,0.5382950191570881,0.5150861024033437,1.0488088481701516,0.5402268617701037,1192,Active,3
Southern Indiana United 2016 Boys Red Chelsea,IN,29,15,10,0,0.5172413793103449,97,76,21,0.2,7,0.2413793103448276,29,1.0,2025-09-28,0.38845239416667987,21,7,0.5172413793103449,0.55,0.38845239416667987,0.4465197123620769,1.2041594578792296,0.5376809347703081,1212,Active,4
Carmel FC 2016B Academy 3,IN,16,14,2,0,0.875,87,29,58,0.8,1,0.0625,16,1.0,2025-09-14,0.4735778841041999,8,1,0.875,0.624,0.4735778841041999,0.5839467304625199,0.8944271909999159,0.5222978338211767,1357,Active,5
Southern Indiana United 2016 Boys Red Barcelona,IN,30,13,14,0,0.43333333333333335,99,93,6,0.2,7,0.23333333333333334,30,1.0,2025-10-04,0.3917564213564213,25,7,0.43333333333333335,0.52,0.3917564213564213,0.4257205194805195,1.224744871391589,0.5213990228799292,1365,Active,6
Boilers FC 2016 Boys Academy,IN,21,3,15,0,0.14285714285714285,33,113,-80,0.0,6,0.2857142857142857,21,1.0,2025-04-06,0.6244810446438821,14,6,0.14285714285714285,0.348,0.6244810446438821,0.4728600553577578,1.02469507659596,0.4845373706439875,1627,Inactive,7
FCE United 2016 Boys Black,IN,21,13,7,0,0.6190476190476191,109,49,60,0.9,7,0.3333333333333333,21,1.0,2025-05-11,0.370544398130605,13,7,0.6190476190476191,0.628,0.370544398130605,0.4717361626878869,1.02469507659596,0.48338572335854846,1637,Active,8
USAI 2016B Red,IN,19,12,4,0,0.631578947368421,63,26,37,0.8,1,0.05263157894736842,19,1.0,2025-10-11,0.41656416682732467,13,1,0.631578947368421,0.582,0.41656416682732467,0.492654289570079,0.9746794344808963,0.4801800043527524,1660,Active,9
Indy Premier 16B Brazuca,IN,19,7,8,0,0.3684210526315789,70,77,-7,0.0,0,0.0,19,1.0,2025-10-11,0.5301200261726579,11,0,0.3684210526315789,0.494,0.5301200261726579,0.4905562262299105,0.9746794344808963,0.4781350651628518,1675,Active,10
St Francis Premier 2016B Blue,IN,25,13,11,0,0.52,71,55,16,0.7,0,0.0,25,1.0,2025-09-14,0.3562572529424242,17,0,0.52,0.54,0.3562572529424242,0.4257543517654545,1.118033988749895,0.47600783613195696,1689,Active,11
WSU Boys 2016/2017 Green,IN,22,7,11,0,0.3181818181818182,64,80,-16,0.1,7,0.3181818181818182,22,1.0,2025-08-31,0.4803314834002798,15,7,0.3181818181818182,0.476,0.4803314834002798,0.4470352536765315,1.0488088481701516,0.46885452949993456,1743,Active,12
Carmel FC 2016B Academy 2,IN,15,9,4,0,0.6,56,24,32,0.6,0,0.0,15,1.0,2025-09-13,0.4951127819548873,9,0,0.6,0.572,0.4951127819548873,0.5314676691729323,0.8660254037844386,0.4602645027938631,1801,Active,13
