Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
MVP B16 Gold,KY,30,21,9,0,0.7,129,61,68,0.9,11,0.36666666666666664,30,1.0,2025-10-12,0.47521739130434776,23,11,0.7,0.644,0.47521739130434776,0.5539304347826086,1.224744871391589,0.678423459107713,193,Active,1
MVP B16 White,KY,30,21,5,0,0.7,94,50,44,0.7,6,0.2,30,1.0,2025-10-12,0.4806372549019608,24,6,0.7,0.596,0.4806372549019608,0.5475823529411765,1.224744871391589,0.6706486784292449,234,Active,2
MUSA Flyers 2016 Boys Blue,KY,30,22,4,0,0.7333333333333333,151,48,103,0.6,0,0.0,30,1.0,2025-10-12,0.4009763183676227,22,0,0.7333333333333333,0.714,0.4009763183676227,0.5300524576872403,1.224744871391589,0.6491790291209547,334,Active,3
KHPA NKY B16-2,KY,30,14,13,0,0.4666666666666667,109,90,19,0.6,0,0.0,30,1.0,2025-10-11,0.5282608695652173,23,0,0.4666666666666667,0.546,0.5282608695652173,0.5194898550724638,1.224744871391589,0.6362425357399599,417,Active,4
IAM3rd PDA 2016 Boys Black,KY,30,19,6,0,0.6333333333333333,148,55,93,0.8,0,0.0,30,1.0,2025-09-20,0.40261099608925693,24,0,0.6333333333333333,0.694,0.40261099608925693,0.5070332643202209,1.224744871391589,0.6209863901011264,513,Active,5
KH PreElite NKY B16-1,KY,30,12,14,0,0.4,122,110,12,0.6,2,0.06666666666666667,30,1.0,2025-10-12,0.5275725371120108,17,2,0.4,0.532,0.5275725371120108,0.5029435222672065,1.224744871391589,0.6159774994963826,545,Active,6
Javanon 2016 Boys Red,KY,25,10,13,0,0.4,90,84,6,0.3,0,0.0,25,1.0,2025-10-12,0.5661295313881519,15,0,0.4,0.52,0.5661295313881519,0.5236777188328912,1.118033988749895,0.5854894888061832,805,Active,7
KH PreElite NKY B16-2,KY,25,11,8,0,0.44,134,80,54,0.5,0,0.0,25,1.0,2025-10-12,0.5003141675349688,18,0,0.44,0.616,0.5003141675349688,0.5113885005209813,1.118033988749895,0.5717497250383005,917,Active,8
MVP B16 Grey,KY,30,17,10,0,0.5666666666666667,117,85,32,0.5,2,0.06666666666666667,30,1.0,2025-10-08,0.3695395897150282,27,2,0.5666666666666667,0.572,0.3695395897150282,0.4494570871623502,1.224744871391589,0.5504702624126908,1111,Active,9
Nelson Elite 2016 Boys,KY,19,18,1,0,0.9473684210526315,83,23,60,1.0,2,0.10526315789473684,19,1.0,2025-10-11,0.38923992673992674,16,2,0.9473684210526315,0.628,0.38923992673992674,0.5486176402544823,0.9746794344808963,0.5347263313494827,1243,Active,10
KHPA NKY B16-3,KY,30,11,15,0,0.36666666666666664,58,99,-41,0.5,0,0.0,30,1.0,2025-10-05,0.4621835748792271,25,0,0.36666666666666664,0.426,0.4621835748792271,0.43584347826086955,1.224744871391589,0.5337970647294715,1253,Active,11
Lex Sporting Club 16B Green,KY,23,15,7,0,0.6521739130434783,81,62,19,0.4,12,0.5217391304347826,23,1.0,2025-10-12,0.4259058511653667,17,12,0.6521739130434783,0.546,0.4259058511653667,0.49517829330791574,1.0723805294763609,0.5310195603627434,1276,Active,12
LouCity Shelby 16 Purple,KY,24,6,14,0,0.25,81,84,-3,0.1,0,0.0,24,1.0,2025-09-27,0.5484867252983194,18,0,0.25,0.502,0.5484867252983194,0.47949203517899164,1.0954451150103321,0.5252572076231887,1331,Active,13
WKSA Academy Royal,KY,26,8,14,0,0.3076923076923077,65,102,-37,0.0,13,0.5,26,1.0,2025-09-07,0.5157525014667871,21,13,0.3076923076923077,0.434,0.5157525014667871,0.45778996241853376,1.140175425099138,0.5219608650066702,1361,Active,14
LouCity Academy 16 Grey,KY,30,21,9,0,0.7,132,57,75,1.0,0,0.0,30,1.0,2025-10-12,0.25349616858237545,24,0,0.7,0.658,0.25349616858237545,0.4236977011494253,1.224744871391589,0.5189215865031648,1386,Active,15
Fusion FC B16 Green,KY,28,11,14,0,0.39285714285714285,78,90,-12,0.3,1,0.03571428571428571,28,1.0,2025-10-11,0.4371371205422929,16,1,0.39285714285714285,0.484,0.4371371205422929,0.43765370089680433,1.1832159566199232,0.5178388423748621,1394,Active,16
Javanon 2016 Boys White,KY,23,11,12,0,0.4782608695652174,69,63,6,0.7,0,0.0,23,1.0,2025-10-05,0.46776704240472355,18,0,0.4782608695652174,0.52,0.46776704240472355,0.48031239935587766,1.0723805294763609,0.5150776651353174,1409,Active,17
LouCity South 16 Purple 2,KY,30,18,6,0,0.6,118,52,66,0.5,0,0.0,30,1.0,2025-09-28,0.2856301092433027,21,0,0.6,0.64,0.2856301092433027,0.41937806554598156,1.224744871391589,0.5136311349515665,1430,Active,18
LouCity Shelby 16 Black,KY,30,12,15,0,0.4,130,99,31,0.4,2,0.06666666666666667,30,1.0,2025-10-04,0.37464661654135334,25,2,0.4,0.57,0.37464661654135334,0.41878796992481204,1.224744871391589,0.5129084183659085,1436,Active,19
FCSC 16 GOLD,KY,26,5,17,0,0.19230769230769232,68,105,-37,0.1,0,0.0,26,1.0,2025-10-04,0.5403046688760973,21,0,0.19230769230769232,0.434,0.5403046688760973,0.44944433978719683,1.140175425099138,0.5124453911752685,1443,Active,20
LouCity Academy 16 Black,KY,30,9,17,0,0.3,86,105,-19,0.3,0,0.0,30,1.0,2025-09-27,0.4250461573712991,23,0,0.3,0.47,0.4250461573712991,0.4090276944227794,1.224744871391589,0.5009545710014252,1525,Active,21
LouCity Academy 16 Purple2,KY,23,7,15,0,0.30434782608695654,43,99,-56,0.2,0,0.0,23,1.0,2025-09-07,0.5182866344605475,15,0,0.30434782608695654,0.396,0.5182866344605475,0.4510415458937198,1.0723805294763609,0.48368817180134355,1633,Active,22
FC Kentucky 2016 Boys,KY,18,12,6,0,0.6666666666666666,68,30,38,0.4,0,0.0,18,1.0,2025-10-12,0.4208333333333333,16,0,0.6666666666666666,0.584,0.4208333333333333,0.5026333333333333,0.9486832980505138,0.47683984837678983,1680,Active,23
PFA Boys 2016,KY,20,10,6,0,0.5,91,45,46,0.6,0,0.0,20,1.0,2025-09-27,0.3993024855093821,12,0,0.5,0.6,0.3993024855093821,0.4595814913056292,1.0,0.4595814913056292,1806,Active,24
CKY Storm 2016 Boys Black,KY,15,8,7,0,0.5333333333333333,35,39,-4,0.6,0,0.0,15,1.0,2025-09-28,0.5222775874597737,13,0,0.5333333333333333,0.5,0.5222775874597737,0.5200332191425309,0.8660254037844386,0.4503619785892317,1877,Active,25
LouCity Oldham 16 Purple,KY,18,13,1,0,0.7222222222222222,74,34,40,0.8,0,0.0,18,1.0,2025-10-12,0.3537495354886659,15,0,0.7222222222222222,0.588,0.3537495354886659,0.474294165737644,0.9486832980505138,0.4499549533981051,1882,Active,26
IAM3rd PDA 2016 Boys White,KY,12,6,4,0,0.5,30,47,-17,0.5,0,0.0,12,1.0,2025-10-12,0.6426406926406927,8,0,0.5,0.474,0.6426406926406927,0.5803844155844156,0.7745966692414834,0.4495638351913532,1883,Active,27
KHPA NKY B16-4,KY,30,6,17,0,0.2,80,167,-87,0.3,0,0.0,30,1.0,2025-10-05,0.39823436797121003,26,0,0.2,0.334,0.39823436797121003,0.34574062078272605,1.224744871391589,0.42344405213538794,2032,Active,28
2016B Trident F.C. Black,KY,11,10,1,0,0.9090909090909091,106,13,93,0.9,0,0.0,11,1.0,2025-09-25,0.4153846153846154,5,0,0.9090909090909091,0.694,0.4153846153846154,0.5698489510489511,0.7416198487095663,0.42261129286422816,2038,Active,29
FCSC 16 GREEN,KY,30,3,27,0,0.1,26,185,-159,0.3,0,0.0,30,1.0,2025-10-11,0.4743878536922015,25,0,0.1,0.19,0.4743878536922015,0.3426327122153209,1.224744871391589,0.41963765705670447,2053,Active,30
CKFA 2016 Boys Navy,KY,13,6,7,0,0.46153846153846156,31,40,-9,0.5,2,0.15384615384615385,13,1.0,2025-10-12,0.5197290100250627,8,2,0.46153846153846156,0.49,0.5197290100250627,0.5021450983227299,0.806225774829855,0.40484232097225664,2142,Active,31
Nedo SC B2016 Gold,KY,13,1,12,0,0.07692307692307693,9,106,-97,0.1,1,0.07692307692307693,13,1.0,2025-09-25,0.6971295371295372,5,1,0.07692307692307693,0.314,0.6971295371295372,0.4964623376623377,0.806225774829855,0.40026073285565933,2164,Active,32
2015-16 (U10) White,KY,9,4,5,0,0.4444444444444444,45,36,9,0.4444444444444444,2,0.2222222222222222,9,1.0,2025-06-08,0.6666666666666666,5,2,0.4444444444444444,0.526,0.6666666666666666,0.5940888888888889,0.6708203932499369,0.3985269420698625,2175,Active,33
LouCity South 16 Purple,KY,16,9,4,0,0.5625,85,37,48,0.6,3,0.1875,16,1.0,2025-08-17,0.3431725447817402,9,3,0.5625,0.604,0.3431725447817402,0.4392035268690441,0.8944271909999159,0.3928355768147352,2202,Active,34
LouCity Academy 16 White,KY,30,6,16,0,0.2,109,131,-22,0.2,0,0.0,30,1.0,2025-10-12,0.3105151128139634,27,0,0.2,0.464,0.3105151128139634,0.31910906768837805,1.224744871391589,0.3908271940658924,2212,Active,35
LouCity Oldham 16 Black,KY,23,0,18,0,0.0,34,106,-72,0.0,0,0.0,23,1.0,2025-09-27,0.48424651856763923,16,0,0.0,0.364,0.48424651856763923,0.3633479111405835,1.0723805294763609,0.38964722533306867,2220,Active,36
Owensboro United 2016 Boys White,KY,14,5,9,0,0.35714285714285715,48,43,5,0.5,0,0.0,14,1.0,2025-04-13,0.4753968253968253,6,0,0.35714285714285715,0.518,0.4753968253968253,0.4602666666666666,0.8366600265340756,0.3850867215460838,2244,Inactive,37
BSC 16B Lindsey,KY,15,7,6,0,0.4666666666666667,61,47,14,0.2,2,0.13333333333333333,15,1.0,2025-10-11,0.4018153621601897,12,2,0.4666666666666667,0.536,0.4018153621601897,0.44162255062944716,0.8660254037844386,0.38245634772918063,2254,Active,38
