Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Nationals Macomb 16 Boys Black - Premier,MI,30,48,23,7,0,0.7666666666666667,121,42,72,0.7666666666666666,12,0.4,10,0.3333333333333333,2025-10-12,0.5032207369055656,30,12,4.033333333333333,1.4,3.886676622059906,1.8223529376321352,0.5934788022751907,0.7361160693053854,0.9267777870192925,0.8219856465276907,1.0,0.8219856465276907,3,Active,1
Williamston Boys U10 - White,MI,22,26,19,1,0,0.8636363636363636,82,21,58,0.7166666666666667,11,0.5,5,0.22727272727272727,2025-09-27,0.3133045350154383,22,11,3.727272727272727,0.9545454545454546,3.6231237212758813,1.6083137210007048,0.5473433816912048,0.7627047460619605,0.8218938689022066,0.755145946891957,1.0,0.755145946891957,25,Active,2
RLFC U10 Boys A,MI,21,21,6,11,0,0.2857142857142857,49,38,5,0.22499999999999998,10,0.47619047619047616,9,0.42857142857142855,2025-10-13,0.33172375883851646,21,10,2.3333333333333335,1.8095238095238095,2.610127987526774,2.2499797113800395,0.36951864684838653,0.6776084262392152,0.8466873285106555,0.7174378117239137,1.0,0.7174378117239137,52,Active,3
MFA GR 16B Elite,MI,25,25,22,3,0,0.88,177,42,71,0.7483333333333333,17,0.68,7,0.28,2025-10-12,0.01719222564855323,25,17,7.08,1.68,6.172536716311407,2.09846701909155,0.8821140915199718,0.6991175921947075,0.6387105665666045,0.6994726766828986,1.0,0.6994726766828986,70,Active,4
Vardar 2016 Pre MLS Next,MI,30,32,20,5,0,0.6666666666666666,142,63,65,0.6733333333333332,8,0.26666666666666666,10,0.3333333333333333,2025-10-05,0.098463365736535,30,8,4.733333333333333,2.1,4.439308201007274,2.3749845165795036,0.6842689786485042,0.6592723778632478,0.6756449055933083,0.6740952146583354,1.0,0.6740952146583354,114,Active,5
Legends FC 2016 Boys Blue,MI,25,27,9,8,0,0.36,74,59,15,0.31,6,0.24,5,0.2,2025-10-05,0.062020190269437794,25,6,2.96,2.36,3.051324595099286,2.613618534243065,0.44550335026151966,0.6229491892680187,0.7385794616884904,0.6568381849190019,1.0,0.6568381849190019,157,Active,6
Nationals Macomb 16 Boys Red,MI,30,30,12,12,0,0.4,108,71,20,0.4016666666666666,13,0.43333333333333335,12,0.4,2025-10-12,0.05244869625963268,30,13,3.6,2.3666666666666667,3.544571358902011,2.5855108323689775,0.5333959048000783,0.6273094328345592,0.6873141694339114,0.6445295691872743,1.0,0.6445295691872743,188,Active,7
Michigan Jaguars Novi 2016 Boys Green-DA,MI,21,24,19,0,0,0.9047619047619048,95,27,66,0.7583333333333333,13,0.6190476190476191,8,0.38095238095238093,2025-09-28,-0.018687362778843523,21,13,4.523809523809524,1.2857142857142858,4.196334884078498,1.8706693665524532,0.6455992426610132,0.7298564666786999,0.5997972426967696,0.6349694874860043,1.0,0.6349694874860043,209,Active,8
Nationals Oakland 16 Boys Black 2,MI,23,23,8,7,0,0.34782608695652173,46,48,-2,0.31875,2,0.08695652173913043,8,0.34782608695652173,2025-10-12,0.054440002416200686,23,2,2.0,2.0869565217391304,2.3449584399444015,2.427400375161972,0.3265433195913798,0.6514356343135054,0.7223635763275187,0.6290139365774883,1.0,0.6290139365774883,224,Active,9
Chaos 16' Red,MI,30,30,28,2,0,0.9333333333333333,150,47,85,0.9366666666666666,4,0.13333333333333333,8,0.26666666666666666,2025-10-11,0.30840229610448067,30,4,5.0,1.5666666666666667,4.649834516796748,1.9539318850005565,0.7158509021805968,0.718852601087759,0.5645727334831676,0.6256843407435717,1.0,0.6256843407435717,234,Active,10
