Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
2016 Lobos Rush HERNANDO Blue,MS,30,20,10,0,0.6666666666666666,150,95,55,0.3,0,0.0,30,1.0,2025-09-07,0.4734081307379855,20,0,0.6666666666666666,0.618,0.4734081307379855,0.5409782117761246,1.224744871391589,0.6625602904074015,267,Active,1
Desoto FC 16B,MS,29,18,9,0,0.6206896551724138,123,82,41,0.8,0,0.0,29,1.0,2025-09-21,0.4223057644110277,19,0,0.6206896551724138,0.59,0.4223057644110277,0.4955213896810994,1.2041594578792296,0.5966867679659551,716,Active,2
DC Panthers 2016 Premier,MS,13,9,4,0,0.6923076923076923,77,24,53,0.6,0,0.0,13,1.0,2025-09-21,0.6301587301587303,12,0,0.6923076923076923,0.614,0.6301587301587303,0.6393567765567767,0.806225774829855,0.5154659125722058,1407,Active,3
2016 Lobos Rush DESOTO Blue,MS,14,6,8,0,0.42857142857142855,52,66,-14,0.5,0,0.0,14,1.0,2025-09-07,0.6808873144399461,8,0,0.42857142857142855,0.48,0.6808873144399461,0.5902466743782533,0.8366600265340756,0.4938357982469593,1570,Active,4
MISSISSIPPI RUSH 2016 BOYS MADISON PREMIER,MS,11,9,2,0,0.8181818181818182,51,22,29,0.8,5,0.45454545454545453,11,1.0,2025-03-23,0.6063988095238095,8,5,0.8181818181818182,0.566,0.6063988095238095,0.6406756493506494,0.7416198487095663,0.47513777814333175,1697,Inactive,5
Oxford FC 2016 Boys Navy,MS,12,6,5,0,0.5,45,43,2,0.6,0,0.0,12,1.0,2025-09-07,0.6497911445279866,6,0,0.5,0.512,0.6497911445279866,0.592274686716792,0.7745966692414834,0.4587739996068701,1812,Active,6
DC Panthers 2016 Elite,MS,11,4,7,0,0.36363636363636365,37,25,12,0.3,0,0.0,11,1.0,2025-09-21,0.5416666666666667,10,0,0.36363636363636365,0.532,0.5416666666666667,0.5041272727272728,0.7416198487095663,0.3738707917303663,2298,Active,7
Oxford FC 2016 Boys Red,MS,16,7,6,0,0.4375,66,77,-11,0.3,0,0.0,16,1.0,2025-09-07,0.375,8,0,0.4375,0.486,0.375,0.4097,0.8944271909999159,0.36644682015266555,2333,Active,8
2016 Lobos Rush DeSoto White,MS,4,3,1,0,0.75,23,13,10,0.75,0,0.0,4,1.0,2025-09-21,0.508396775638155,4,0,0.75,0.528,0.508396775638155,0.5606380653828931,0.4472135954999579,0.2507249649940241,2896,Provisional,9
2016 Lobos Rush HERNANDO White,MS,6,2,4,0,0.3333333333333333,8,16,-8,0.3333333333333333,0,0.0,6,1.0,2025-09-07,0.3125,6,0,0.3333333333333333,0.492,0.3125,0.3525666666666667,0.5477225575051661,0.19310871635773807,3083,Active,10
Golden Triangle Elite U8 Academy Boys,MS,3,0,2,0,0.0,6,15,-9,0.0,2,0.6666666666666666,3,1.0,2025-03-23,0.3611111111111111,2,2,0.0,0.49,0.3611111111111111,0.31466666666666665,0.3872983346207417,0.12186987596066005,3202,Inactive,11
RSC 2016 BOYS BRANDON BLACK,MS,2,1,1,0,0.5,2,7,-5,0.5,0,0.0,2,1.0,2025-05-11,0.0,0,0,0.5,0.498,0.0,0.1996,0.31622776601683794,0.06311906209696086,3223,Provisional,12
