Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Steelers,OK,18,19,13,3,0,0.7222222222222222,120,34,60,0.6,8,0.4444444444444444,13,0.7222222222222222,2025-10-12,0.25756745741245385,18,8,6.666666666666667,1.8888888888888888,5.642065832241401,2.3557466011546593,0.8366283864209081,0.6621272204451747,0.8241470631163301,0.7942393592430146,0.9486832980505138,0.7534816147681899,27,Active,1
OKC 405 FC 2016 B - Pumas,OK,24,25,18,5,0,0.75,121,43,51,0.6333333333333333,0,0.0,15,0.625,2025-10-11,-0.09051711510819144,24,0,5.041666666666667,1.7916666666666667,4.615428488696138,2.1952941134381607,0.7108210032093232,0.6854651732807102,0.4244237834061018,0.5339115053416679,1.0,0.5339115053416679,828,Active,2
OKC 405 FC 2016 B - Fuego,OK,18,18,14,3,0,0.7777777777777778,108,28,58,0.7166666666666666,0,0.0,15,0.8333333333333334,2025-10-04,-0.2430405096999668,18,0,6.0,1.5555555555555556,5.180527370702939,2.1249773703854284,0.7864038005327787,0.6954132650660372,0.42868222517738536,0.5535727482261944,0.9486832980505138,0.5251652204981128,911,Active,3
EFC Strikers U10 Academy,OK,18,20,13,4,0,0.7222222222222222,109,55,33,0.6833333333333333,2,0.1111111111111111,14,0.7777777777777778,2025-10-14,-0.15660729142383262,18,2,6.055555555555555,3.0555555555555554,5.218988909164478,3.163438908846967,0.7909862495057077,0.5344754208243355,0.44282845126104087,0.5307894048226331,0.9486832980505138,0.5035510431374048,1122,Active,4
LSC Academy 2016 Blue,OK,26,30,14,7,0,0.5384615384615384,60,42,10,0.475,7,0.2692307692307692,17,0.6538461538461539,2025-10-04,-0.20128005378578506,26,7,2.3076923076923075,1.6153846153846154,2.549815048184601,2.036747400882975,0.3595305808310364,0.7076413151497916,0.411671547283638,0.4604373075663484,1.0,0.4604373075663484,1508,Active,5
ESC ACADEMY 2016 BOYS RED,OK,11,11,10,1,0,0.9090909090909091,79,8,52,0.45454545454545453,0,0.0,3,0.2727272727272727,2025-09-14,0.006344618037255584,11,0,7.181818181818182,0.7272727272727273,5.562826928330339,1.8552321910537444,0.8287369296277581,0.7318665542562022,0.49201334919675477,0.6073287062948449,0.7416198487095663,0.45040702327935955,1608,Active,6
WSA 16 Boys White,OK,10,10,10,0,0,1.0,44,16,28,0.5,0,0.0,5,0.5,2025-08-17,0.11730234420562252,10,0,4.4,1.6,3.927428424348691,2.40274509055673,0.6004883379300247,0.6551323888491538,0.6356774193265288,0.632530596951753,0.7071067811865476,0.4472666744125595,1634,Active,7
PC United 2016B,OK,27,28,12,14,0,0.4444444444444444,83,98,-11,0.4083333333333333,8,0.2962962962962963,26,0.9629629629629629,2025-10-11,-0.4116577228009919,27,8,3.074074074074074,3.6296296296296298,3.1341060468078985,3.578554618000604,0.4601664106676236,0.4658848459118553,0.39538800528527684,0.4224430544870619,1.0,0.4224430544870619,1868,Active,8
ESC ACADEMY 2016 BOYS GOLD,OK,14,14,10,3,0,0.7142857142857143,55,25,26,0.35714285714285715,0,0.0,14,1.0,2025-08-17,-0.2454378556348983,14,0,3.9285714285714284,1.7857142857142858,3.7133505290125655,2.374973255910052,0.5632711817561937,0.6592740523191034,0.42743890700241544,0.5009723910165087,0.8366600265340756,0.41914357396071145,1901,Active,9
Sonic,OK,16,20,6,10,0,0.375,50,58,-6,0.2,4,0.25,12,0.75,2025-09-14,-0.2445726000182307,16,4,3.125,3.625,3.195571318261518,3.5520588179175476,0.47109996417780886,0.47025178475485707,0.435549067966793,0.449599790566609,0.8944271909999159,0.40213427775064253,2034,Active,10
Apex Academy,OK,14,14,7,5,0,0.5,44,37,6,0.25,8,0.5714285714285714,7,0.5,2025-05-31,-0.3813284599092461,14,8,3.142857142857143,2.642857142857143,3.2133505290125655,2.9204278013645975,0.47426820880798326,0.5741947925242017,0.30964100573257414,0.3954772037059815,0.8366600265340756,0.3308799677462685,2529,Active,11
