Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SWAG Academy 2016,PA,30,87,22,6,0,0.7333333333333333,152,45,81,0.7366666666666666,28,0.9333333333333333,5,0.16666666666666666,2025-10-12,0.5102763330399881,30,28,5.066666666666666,1.5,4.702466095744117,1.901300306053188,0.7234422197467241,0.7258400010477509,0.9297989867913944,0.8477358362337316,1.0,0.8477358362337316,1,Active,1
FC Philly,PA,30,86,23,5,0,0.7666666666666667,167,47,111,0.7683333333333333,18,0.6,14,0.4666666666666667,2025-07-27,0.21391886424546908,30,18,5.566666666666666,1.5666666666666667,5.09720293784938,1.9539318850005565,0.7762267870354466,0.718852601087759,0.7941138102273485,0.7754841637610501,1.0,0.7754841637610501,10,Active,2
2016 Nero Boys,PA,29,29,21,6,0,0.7241379310344828,98,58,40,0.7183333333333333,5,0.1724137931034483,6,0.20689655172413793,2025-10-12,0.3036748843767465,29,5,3.3793103448275863,2.0,3.370100314548012,2.3040381521627338,0.502261871271774,0.669741841843245,0.7831718748272484,0.7043038675193528,1.0,0.7043038675193528,66,Active,3
Whitpain 2016 Green,PA,29,30,8,18,0,0.27586206896551724,82,94,-13,0.27749999999999997,7,0.2413793103448276,13,0.4482758620689655,2025-10-12,0.1018684808220301,29,7,2.8275862068965516,3.2413793103448274,2.9376678821155795,3.2770111251357066,0.4255298532036327,0.5157296921056898,0.8223353426444998,0.6816531146485644,1.0,0.6816531146485644,103,Active,4
Wolves Black 2016,PA,30,58,25,3,0,0.8333333333333334,125,42,71,0.8316666666666667,8,0.26666666666666666,3,0.1,2025-10-12,0.2808260421183574,30,8,4.166666666666667,1.4,3.9919397799546434,1.8223529376321352,0.611499959424816,0.7361160693053854,0.6801498645571435,0.6776131244803264,1.0,0.6776131244803264,110,Active,5
Raptors,PA,30,145,14,14,0,0.4666666666666667,73,91,-13,0.4716666666666667,22,0.7333333333333333,4,0.13333333333333333,2025-10-12,0.008266468435229046,30,22,2.433333333333333,3.033333333333333,2.6235187273230642,3.1118266218426616,0.37175180018284903,0.5429654230609485,0.8050669383956348,0.6659836076861403,1.0,0.6659836076861403,128,Active,6
PA Classics Academy Lancaster 16M,PA,30,48,16,12,0,0.5333333333333333,89,95,-6,0.5233333333333333,21,0.7,7,0.23333333333333334,2025-10-12,0.17498123814228264,30,21,2.966666666666667,3.1666666666666665,3.0445713589020116,3.2170897797373983,0.444310976015265,0.5256289247160455,0.7815796485451841,0.6629357692733726,1.0,0.6629357692733726,138,Active,7
CSSC Destroyers 16,PA,27,28,23,0,0,0.8518518518518519,112,34,78,0.7816666666666667,3,0.1111111111111111,3,0.1111111111111111,2025-10-05,0.4116186219973996,27,3,4.148148148148148,1.2592592592592593,3.9626774753793264,1.7499831894291755,0.6065184582712135,0.7453160522391076,0.6517317960848724,0.6614059797529876,1.0,0.6614059797529876,142,Active,8
Black Conshy '16 (B),PA,30,70,16,6,0,0.5333333333333333,149,76,55,0.5299999999999999,0,0.0,16,0.5333333333333333,2025-10-11,0.18965332151615522,30,0,4.966666666666667,2.533333333333333,4.623518727323064,2.7170897797373983,0.712008476133969,0.606730654222535,0.6598544140637456,0.6596604745095481,1.0,0.6596604745095481,147,Active,9
Towamencin Timberwolves,PA,30,57,23,5,0,0.7666666666666667,126,39,79,0.7633333333333333,2,0.06666666666666667,5,0.16666666666666666,2025-10-12,0.3915237901778843,30,2,4.2,1.3,4.018255569428327,1.7434055692110828,0.6159600828004065,0.7461416800203589,0.6380953697340392,0.6552775744045767,1.0,0.6552775744045767,161,Active,10
