Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
BH Rapids 2016 Boys Burgundy,SD,23,26,21,2,0,0.9130434782608695,133,48,76,0.7625,16,0.6956521739130435,5,0.21739130434782608,2025-03-02,0.11516660906711895,23,16,5.782608695652174,2.0869565217391304,5.151410052847627,2.427400375161972,0.7828862722552689,0.6514356343135054,0.6695580199202463,0.6885991932659026,1.0,0.6885991932659026,96,Inactive,1
BH Rapids BU10 Burgundy,SD,30,33,25,4,0,0.8333333333333334,167,51,89,0.8333333333333334,8,0.26666666666666666,23,0.7666666666666667,2025-09-14,0.027213975598227025,30,8,5.566666666666666,1.7,5.09720293784938,2.0591950428952934,0.7762267870354466,0.7045576177486199,0.5178494045356118,0.6068665236781805,1.0,0.6068665236781805,330,Active,2
BH Rapids BU10 White,SD,30,43,19,7,0,0.6333333333333333,142,91,44,0.6266666666666667,7,0.23333333333333334,17,0.5666666666666667,2025-10-12,0.03388383633931702,30,7,4.733333333333333,3.033333333333333,4.439308201007274,3.1118266218426616,0.6842689786485042,0.5429654230609485,0.5327049739597339,0.5650698647177309,1.0,0.5650698647177309,583,Active,3
Ignite U10 Boys Blue,SD,9,11,7,2,0,0.7777777777777778,34,16,12,0.3888888888888889,4,0.4444444444444444,0,0.0,2025-10-12,0.1973172223235294,9,4,3.7777777777777777,1.7777777777777777,3.57021833166332,2.544083037060067,0.5379565066887103,0.6336982297243213,0.7917537926342716,0.7093832228631693,0.6708203932499369,0.4758687325259789,1353,Active,4
Ignite U9/U10 Boys Red,SD,17,17,12,3,0,0.7058823529411765,73,32,39,0.6833333333333333,9,0.5294117647058824,6,0.35294117647058826,2025-06-08,-0.2352750486775217,17,9,4.294117647058823,1.8823529411764706,3.9877484655310576,2.3699764652008457,0.6107878472845246,0.6600166797710734,0.435812781934781,0.5156485745719881,0.9219544457292888,0.4754044957606151,1361,Active,5
Ignite U9/U10 Boys Yellow,SD,19,21,5,14,0,0.2631578947368421,59,72,-15,0.275,6,0.3157894736842105,8,0.42105263157894735,2025-10-12,-0.3968401567919796,19,6,3.1052631578947367,3.789473684210526,3.173841171788016,3.6759041344452275,0.46723085049998886,0.4498899504218363,0.4371326352849833,0.44570374135535507,0.9746794344808963,0.43441827057025717,1767,Active,6
BASA,SD,9,9,2,5,0,0.2222222222222222,19,34,-15,0.1111111111111111,3,0.3333333333333333,3,0.3333333333333333,2025-08-24,-0.0018687784196518842,9,3,2.111111111111111,3.7777777777777777,2.6878653904868495,3.602906566471832,0.38255790173878346,0.46187583891593387,0.7196078953169561,0.6006514853211171,0.6708203932499369,0.4029292655892705,2027,Active,7
BH Rapids 2016 Boys White,SD,17,21,6,9,0,0.35294117647058826,61,65,-4,0.2,9,0.5294117647058824,6,0.35294117647058826,2025-03-01,-0.3083893349005083,17,9,3.588235294117647,3.823529411764706,3.5077484655310576,3.6899764652008455,0.5268383962538187,0.4475855716221795,0.38989386989524244,0.4288211155123451,0.9219544457292888,0.3953535338691994,2103,Inactive,8
HCSC Blaze,SD,7,7,5,0,0,0.7142857142857143,48,21,25,0.35714285714285715,0,0.0,2,0.2857142857142857,2025-08-24,0.07081580945618665,7,0,6.857142857142857,3.0,4.979580775885096,3.2166274420014096,0.7612817554726561,0.525705236423953,0.6617675658351616,0.6544579378804187,0.5916079783099616,0.387182537518341,2162,Active,9
Oahe Futbol Club U10,SD,7,7,0,7,0,0.0,6,43,-34,0.0,0,0.0,3,0.42857142857142855,2025-08-24,0.004488294584564706,7,0,0.8571428571428571,6.142857142857143,2.179580775885096,4.683294108668076,0.3010937066420275,0.2956755269451017,0.7610065462080348,0.5759577744422467,0.5916079783099616,0.3407412145296824,2474,Active,10
DASC Galaxy,SD,11,11,4,5,0,0.36363636363636365,31,38,-3,0.18181818181818182,0,0.0,7,0.6363636363636364,2025-08-24,-0.262164601896676,11,0,2.8181818181818183,3.4545454545454546,3.0365111388566546,3.434179559474797,0.44288867652045966,0.4897261648171072,0.43185714219045784,0.4456372535817881,0.7416198487095663,0.3304934325806723,2533,Active,11
