Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Midsouth Bartlett 2016 Navy,TN,29,32,19,7,0,0.6551724137931034,88,47,41,0.6508333333333333,8,0.27586206896551724,11,0.3793103448275862,2025-09-21,0.17995316765010816,29,8,3.0344827586206895,1.6206896551724137,3.099830044277742,2.0067408548654364,0.4540852650957688,0.7117337446331761,0.7881611310122166,0.706060480553119,1.0,0.706060480553119,64,Active,1
JSC 2016 Boys - Team 1,TN,24,24,16,8,0,0.6666666666666666,108,82,22,0.55,2,0.08333333333333333,9,0.375,2025-09-21,0.07575356389295515,24,2,4.5,3.4166666666666665,4.209178488696138,3.4140441134381607,0.6476973472856231,0.4930574260714008,0.6080972093669003,0.593009280291545,1.0,0.593009280291545,389,Active,2
2016 Lobos Rush Blue,TN,23,26,12,8,0,0.5217391304347826,58,47,5,0.4208333333333333,10,0.43478260869565216,7,0.30434782608695654,2025-09-21,-0.07856801076106311,23,10,2.5217391304347827,2.0434782608695654,2.7320552141379495,2.395142310645843,0.3900475193095789,0.6562685811024307,0.5943903428300293,0.5658974257804195,1.0,0.5658974257804195,576,Active,3
KHP1 Murfreesboro B16,TN,18,18,12,4,0,0.6666666666666666,74,49,16,0.4833333333333333,13,0.7222222222222222,6,0.3333333333333333,2025-05-11,-0.12843824108588667,18,13,4.111111111111111,2.7222222222222223,3.8728350630106325,2.9326696780777364,0.5910891338542947,0.5722122850780282,0.5151855727752418,0.5417716274516097,0.9486832980505138,0.5139696943209874,1025,Active,4
2016 Lobos Rush White,TN,20,20,6,14,0,0.3,47,87,-31,0.2,0,0.0,11,0.55,2025-09-21,-0.42583050674463013,20,0,2.35,4.35,2.631918272795587,4.080336129643612,0.3731553869223844,0.3848915764243025,0.47282546905254697,0.43530467410086554,1.0,0.43530467410086554,1759,Active,5
2016/17 Lobos Rush Gold,TN,17,19,7,10,0,0.4117647058823529,61,82,-23,0.375,0,0.0,10,0.5882352941176471,2025-09-07,-0.24902375709875257,17,0,3.588235294117647,4.823529411764706,3.5077484655310576,4.369976465200846,0.5268383962538187,0.34061161246810645,0.49332589037617147,0.4694855359700879,0.9219544457292888,0.43284427709322043,1783,Active,6
Midsouth Bartlett 2016 Red,TN,19,22,5,12,0,0.2631578947368421,78,99,-23,0.22083333333333333,0,0.0,8,0.42105263157894735,2025-09-07,-0.4226867422719802,19,0,4.105263157894737,5.2105263157894735,3.87754487549172,4.6759041344452275,0.5919027461320863,0.296695297136643,0.38491136725596076,0.4086664290073223,0.9746794344808963,0.39831876391618426,2069,Active,7
ARIS FC 2016 BOYS PREDATOR,TN,15,18,4,6,0,0.26666666666666666,44,55,-6,0.13333333333333333,3,0.2,11,0.7333333333333333,2025-05-11,-0.22842196702943818,15,3,2.933333333333333,3.6666666666666665,3.073639636446802,3.5760613752183104,0.44944775956276417,0.4662955605628658,0.4034347853911141,0.42520953525979444,0.8660254037844386,0.36824225946635697,2287,Active,8
JSC 2016 Boys - Team 2,TN,14,14,6,8,0,0.42857142857142855,56,69,-13,0.21428571428571427,0,0.0,12,0.8571428571428571,2025-09-21,-0.34370870760038197,14,0,4.0,4.928571428571429,3.758805074467111,4.374973255910052,0.5712482326302236,0.339869105747874,0.3845050838570816,0.41292651798986846,0.8366600265340756,0.3454791114980268,2436,Active,9
KH PreElite Murfreesboro B16-1,TN,13,13,2,6,0,0.15384615384615385,30,49,-15,0.07692307692307693,2,0.15384615384615385,7,0.5384615384615384,2025-10-12,-0.3542999766325469,13,2,2.3076923076923075,3.769230769230769,2.69970055420364,3.63092436333434,0.38455851303559074,0.4572694554502502,0.4053934983229544,0.4116016926909408,0.806225774829855,0.3318438936110336,2521,Active,10
Rc3 FC Rovers 16/17B,TN,8,8,7,0,0,0.875,53,14,33,0.4375,4,0.5,4,0.5,2025-10-12,-0.36035147831572056,8,4,6.625,1.75,4.9808569773922775,2.5780882268763214,0.7614475280087001,0.6284574593696454,0.32691992873742964,0.4741329547181269,0.6324555320336759,0.2998680101309517,2711,Active,11
"Jackson, TN Boom Academy 2016",TN,16,20,3,13,0,0.1875,31,73,-38,0.1,0,0.0,9,0.5625,2025-09-21,-0.5264328297674022,16,0,1.9375,4.5625,2.4039046515948517,4.177058817917548,0.3358778782645303,0.3698490797646454,0.3157889283243097,0.33061874860042095,0.8944271909999159,0.29571439860258186,2738,Active,12
Germantown Legends 2016B White,TN,5,5,1,4,0,0.2,15,26,-11,0.1,0,0.0,2,0.4,2025-09-21,-0.08742965270646981,5,0,3.0,5.2,3.2072085875597263,4.096108586924704,0.47317347128274617,0.3824226869429803,0.6332939631329608,0.5510956095249218,0.5,0.2755478047624609,2821,Active,13
One Knox 16B - Yellow 2,TN,6,6,2,4,0,0.3333333333333333,8,16,-8,0.16666666666666666,0,0.0,3,0.5,2025-09-07,-0.22623750317241853,6,0,1.3333333333333333,2.6666666666666665,2.4781222598768884,3.089243687858653,0.3478149543797251,0.5466726779110987,0.5070134339690033,0.4831055868395667,0.5477225575051661,0.2646078275688016,2870,Active,14
2016 Lobos Rush Red,TN,18,22,3,14,0,0.16666666666666666,27,115,-55,0.18333333333333332,0,0.0,12,0.6666666666666666,2025-09-07,-0.5143737001335511,18,0,1.5,6.388888888888889,2.0651427553183246,5.471131216539275,0.2841617220248353,0.199487528459373,0.3034303169783814,0.2787880402838705,0.9486832980505138,0.26448155751354174,2871,Active,15
KHPA ARIS B16-1,TN,9,9,2,7,0,0.2222222222222222,10,59,-33,0.1111111111111111,0,0.0,6,0.6666666666666666,2025-10-12,-0.3772830767739451,9,0,1.1111111111111112,6.555555555555555,2.1584536257809672,5.07349480176595,0.29792474976481315,0.24484876044053328,0.37420878743434743,0.33307997450167776,0.6708203932499369,0.22343683947889442,3026,Active,16
Germantown Legends 2016 Green/Silver,TN,3,3,0,3,0,0.0,3,16,-12,0.0,0,0.0,2,0.6666666666666666,2025-09-21,-0.2227146508513911,3,0,1.0,5.333333333333333,2.6994283307524034,3.9317646936382857,0.3845124523051744,0.408423311620734,0.504844185944135,0.4614936643516627,0.3872983346207417,0.17873572764142254,3145,Provisional,17
Germantown Legends 2016 Silver,TN,6,6,0,6,0,0.0,14,22,-8,0.0,0,0.0,2,0.3333333333333333,2025-09-21,-0.5603287332110425,6,0,2.3333333333333335,3.6666666666666665,2.906693688448317,3.5178151164300817,0.42012567043452653,0.4759023617237562,0.2399326775637896,0.3231652129699303,0.5477225575051661,0.17700487694459188,3147,Active,18
