Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SYC 2016B Pre-MLS Next,VA,30,24,4,0,0.8,152,61,91,0.8,2,0.06666666666666667,30,1.0,2025-10-11,0.6026621098200046,25,2,0.8,0.69,0.6026621098200046,0.6595972658920028,1.224744871391589,0.8078383685851447,8,Active,1
America FC 2016,VA,30,25,5,0,0.8333333333333334,150,51,99,0.7,4,0.13333333333333333,30,1.0,2025-09-21,0.4999047315403126,16,4,0.8333333333333334,0.706,0.4999047315403126,0.6078095055908542,1.224744871391589,0.744411574755456,46,Active,2
McLean Youth Soccer U10/2016 Boys Green,VA,30,20,8,0,0.6666666666666666,102,59,43,0.6,0,0.0,30,1.0,2025-10-11,0.5382491582491583,22,0,0.6666666666666666,0.594,0.5382491582491583,0.5750828282828283,1.224744871391589,0.7043297445647638,116,Active,3
PW Courage Nike B16,VA,30,18,10,0,0.6,90,70,20,0.9,0,0.0,30,1.0,2025-10-12,0.538,25,0,0.6,0.548,0.538,0.5524,1.224744871391589,0.6765490669567137,203,Active,4
VISTA HL92 Soccer Academy 2016B,VA,30,18,9,0,0.6,141,90,51,0.5,2,0.06666666666666667,30,1.0,2025-10-12,0.48498710442334225,22,2,0.6,0.61,0.48498710442334225,0.5329922626540053,1.224744871391589,0.6527795401768918,312,Active,5
SYC 2016B Blue,VA,30,21,3,0,0.7,166,44,122,0.7,0,0.0,30,1.0,2025-10-12,0.3889616718564087,20,0,0.7,0.752,0.3889616718564087,0.5237770031138451,1.224744871391589,0.6414931983165382,385,Active,6
McLean Youth Soccer 2016 Boys White,VA,30,21,6,0,0.7,140,53,87,0.8,0,0.0,30,1.0,2025-10-12,0.40797287630694457,15,0,0.7,0.682,0.40797287630694457,0.5211837257841667,1.224744871391589,0.6383170952069184,405,Active,7
Beach FC 2016B NPL Messi,VA,29,23,2,0,0.7931034482758621,142,46,96,0.8,16,0.5517241379310345,29,1.0,2025-10-05,0.3648103856927386,16,16,0.7931034482758621,0.7,0.3648103856927386,0.5175069210708155,1.2041594578792296,0.6231608535253825,502,Active,8
TSJFC 2016B North Pre - MLS Next,VA,30,17,13,0,0.5666666666666667,107,88,19,0.5,1,0.03333333333333333,30,1.0,2025-09-21,0.47523865502313783,22,1,0.5666666666666667,0.546,0.47523865502313783,0.507676526347216,1.224744871391589,0.6217742219696497,508,Active,9
Loudoun 2016B Bayern,VA,30,16,13,0,0.5333333333333333,90,89,1,1.0,0,0.0,30,1.0,2025-09-01,0.493962962962963,25,0,0.5333333333333333,0.51,0.493962962962963,0.5050444444444444,1.224744871391589,0.6185505931581475,527,Active,10
