Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Basin Sounders B2016 Lombardini,WA,24,19,4,0,0.7916666666666666,134,45,89,0.7,0,0.0,24,1.0,2025-10-04,0.3295768833849329,5,0,0.7916666666666666,0.686,0.3295768833849329,0.49327946336429307,1.0954451150103321,0.540360578477333,1191,Active,1
Milan,WA,28,8,18,0,0.2857142857142857,61,102,-41,0.2,24,0.8571428571428571,28,1.0,2025-09-28,0.502726501248694,28,24,0.2857142857142857,0.426,0.502726501248694,0.44397875789207353,1.1832159566199232,0.525322750738195,1329,Active,2
J&S Othello United FC B17/18 Garcia,WA,20,13,7,0,0.65,90,60,30,0.6,0,0.0,20,1.0,2025-10-12,0.45825771324863884,8,0,0.65,0.568,0.45825771324863884,0.5185546279491833,1.0,0.5185546279491833,1389,Active,3
NW United B16 Red,WA,12,11,1,0,0.9166666666666666,49,18,31,0.9,0,0.0,12,1.0,2025-08-03,0.5555555555555556,6,0,0.9166666666666666,0.57,0.5555555555555556,0.6306666666666667,0.7745966692414834,0.4885122994016289,1601,Active,4
Shadow Academy B2016/2017 Basel,WA,18,11,7,0,0.6111111111111112,92,29,63,0.7,2,0.1111111111111111,18,1.0,2025-10-04,0.43443605006105007,16,2,0.6111111111111112,0.634,0.43443605006105007,0.5096838522588523,0.9486832980505138,0.4835285579240188,1636,Active,5
Pacific FC 16B Legion Orange,WA,15,6,9,0,0.4,55,62,-7,0.6,2,0.13333333333333333,15,1.0,2025-08-24,0.5844715481886533,12,2,0.4,0.494,0.5844715481886533,0.5294829289131919,0.8660254037844386,0.45854566730901425,1815,Active,6
Shadow Academy B2016/2017 Folsom,WA,16,6,8,0,0.375,61,61,0,0.4,0,0.0,16,1.0,2025-10-12,0.536366683425507,12,0,0.375,0.508,0.536366683425507,0.49842001005530423,0.8944271909999159,0.4458004095319156,1900,Active,7
BVBIA Coeur D'Alene B2016,WA,15,10,2,0,0.6666666666666666,62,40,22,0.7,0,0.0,15,1.0,2025-10-11,0.4391444612032847,12,0,0.6666666666666666,0.552,0.4391444612032847,0.5072200100553041,0.8660254037844386,0.4392654140156918,1946,Active,8
NCA Boys 2016 Navy,WA,10,1,9,0,0.1,8,26,-18,0.1,0,0.0,10,1.0,2025-08-02,0.7916666666666666,8,0,0.1,0.472,0.7916666666666666,0.5893999999999999,0.7071067811865476,0.41676873683135107,2069,Active,9
FC Salmon Creek,WA,17,8,7,0,0.47058823529411764,39,41,-2,0.5,0,0.0,17,1.0,2025-08-24,0.4267812388113139,14,0,0.47058823529411764,0.504,0.4267812388113139,0.4509863903456119,0.9219544457292888,0.4157889075425413,2074,Active,10
Spokane Legacy SA - B2016 Olsen,WA,11,4,7,0,0.36363636363636365,38,60,-22,0.4,0,0.0,11,1.0,2025-10-11,0.6195402298850575,6,0,0.36363636363636365,0.464,0.6195402298850575,0.5372514106583073,0.7416198487095663,0.39843630989141493,2176,Active,11
