Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
AZ Arsenal 16 Boys Teal OC,AZ,30,50,18,6,0,0.6,160,66,58,0.5916666666666666,24,0.8,9,0.3,2025-10-12,0.2827825382805693,30,24,5.333333333333333,2.2,4.91350841757044,2.454046396194053,0.7520676642325478,0.6475388103212933,0.800218208808241,0.7600522201957128,1.0,0.7600522201957128,22,Active,1
PRFC Scottsdale 16B Predator,AZ,30,41,13,15,0,0.43333333333333335,99,95,4,0.42833333333333334,24,0.8,5,0.16666666666666666,2025-10-05,0.43998047828659925,30,24,3.3,3.1666666666666665,3.308245259675703,3.217204290930895,0.4908039730012743,0.5257200017088294,0.9128564113494666,0.7510186417517006,1.0,0.7510186417517006,29,Active,2
Southeast 2016 Boys Black,AZ,30,46,17,9,0,0.5666666666666667,96,65,30,0.5666666666666667,8,0.26666666666666666,12,0.4,2025-10-12,0.06954228836505949,30,8,3.2,2.1666666666666665,3.2292978912546504,2.4277306067203686,0.4767239680511952,0.6515050084751982,0.6923627107132766,0.6410634217332446,1.0,0.6410634217332446,191,Active,3
PRFC Scottsdale 16B Copa,AZ,24,24,13,9,0,0.5416666666666666,76,67,9,0.46111111111111114,4,0.16666666666666666,6,0.25,2025-09-07,0.09122146728931303,24,4,3.1666666666666665,2.7916666666666665,3.2097912458648974,2.9454300954804378,0.4732498484683704,0.5702584350748481,0.7188048720548693,0.6399845799415653,1.0,0.6399845799415653,194,Active,4
16B GSA,AZ,30,71,20,4,0,0.6666666666666666,111,27,75,0.6633333333333333,17,0.5666666666666667,13,0.43333333333333335,2025-09-28,-0.06667858136271768,30,17,3.7,0.9,3.6240347333599137,1.4277306067203686,0.5470465651876089,0.7837636771287542,0.6189960922341455,0.6375597038037599,1.0,0.6375597038037599,202,Active,5
State 48 FC Avondale 16 Copper,AZ,30,46,26,3,0,0.8666666666666667,186,30,102,0.8733333333333333,1,0.03333333333333333,7,0.23333333333333334,2025-09-28,-0.09714993613027849,30,1,6.2,1.0,5.597718943886229,1.5066779751414212,0.8317841437988424,0.7747739269098793,0.523223590870967,0.6352457686643246,1.0,0.6352457686643246,209,Active,6
Tuzos Academy GTA 2016,AZ,30,63,25,4,0,0.8333333333333334,139,39,89,0.8333333333333334,0,0.0,9,0.3,2025-10-12,-0.028129407680987067,30,0,4.633333333333334,1.3,4.360876838623072,1.7435200804045792,0.6715023720000476,0.7462402248136693,0.5849342190544335,0.6345090507954034,1.0,0.6345090507954034,212,Active,7
16B Wagner,AZ,30,33,19,4,0,0.6333333333333333,120,49,63,0.6433333333333333,4,0.13333333333333333,6,0.2,2025-09-14,-0.03354913729702744,30,4,4.0,1.6333333333333333,3.8608768386230716,2.006677975141421,0.5885305940297632,0.7118588949879066,0.5922494393480913,0.6154275614123887,1.0,0.6154275614123887,280,Active,8
16B KChacon,AZ,30,41,23,4,0,0.7666666666666667,114,42,66,0.7699999999999999,12,0.4,11,0.36666666666666664,2025-09-20,0.004959827405382075,30,12,3.8,1.4,3.7029821017809663,1.8224674488256318,0.5609769288073099,0.7362155168951565,0.5865273583670144,0.6113549041607019,1.0,0.6113549041607019,300,Active,9
PRFC Desert Foothills 16B Predator,AZ,30,55,14,10,0,0.4666666666666667,128,92,20,0.45666666666666667,24,0.8,1,0.03333333333333333,2025-10-11,-0.04584646763944619,30,24,4.266666666666667,3.066666666666667,4.071403154412545,3.1382569225098425,0.6243960220430453,0.5387322275867664,0.6230575047258591,0.6064601527614778,1.0,0.6064601527614778,328,Active,10
PRFC North Valley 16B Predator,AZ,30,83,15,7,0,0.5,85,68,17,0.5033333333333334,12,0.4,7,0.23333333333333334,2025-09-07,-0.08357778391525365,30,12,2.8333333333333335,2.2666666666666666,2.9398242070441243,2.506677975141421,0.4255795036211866,0.6395455368244605,0.5883911248204908,0.566059682981424,1.0,0.566059682981424,579,Active,11
Southeast 2016 Boys Red,AZ,30,38,17,10,0,0.5666666666666667,77,66,12,0.5683333333333334,0,0.0,15,0.5,2025-09-28,-0.03817193945988276,30,0,2.566666666666667,2.2,2.7292978912546504,2.454046396194053,0.389297723818674,0.6475388103212933,0.5960632057529878,0.5650052302797861,1.0,0.5650052302797861,587,Active,12
PRFC Southeast Valley 16B Predator,AZ,30,47,22,6,0,0.7333333333333333,152,87,57,0.7333333333333333,0,0.0,17,0.5666666666666667,2025-08-24,-0.12656708891713175,30,0,5.066666666666666,2.9,4.702982101780966,3.006677975141421,0.7229846742307094,0.5602939157737783,0.5088542344412645,0.5619682586656563,1.0,0.5619682586656563,611,Active,13
16B Clay,AZ,23,23,12,5,0,0.5217391304347826,85,40,31,0.45208333333333334,3,0.13043478260869565,10,0.43478260869565216,2025-09-14,-0.1570517626025628,23,3,3.6956521739130435,1.7391304347826086,3.603655479602475,2.16947622759271,0.5434377211697593,0.6892563236233604,0.5089495794688341,0.5519085566399244,1.0,0.5519085566399244,686,Active,14
Chelsea 16B,AZ,24,24,16,8,0,0.6666666666666666,116,60,46,0.5722222222222222,2,0.08333333333333333,2,0.08333333333333333,2025-10-11,-0.16183567000151722,24,2,4.833333333333333,2.5,4.459791245864897,2.7266800954804378,0.6868925283549078,0.6053325383595008,0.4808115038997471,0.5469319156827299,1.0,0.5469319156827299,721,Active,15
SASC 2016 B u10 Cardinals Whitney,AZ,15,15,14,0,0,0.9333333333333333,77,17,50,0.4666666666666667,0,0.0,1,0.06666666666666667,2025-09-28,-0.041555097465509026,15,0,5.133333333333334,1.1333333333333333,4.509274776855509,1.9240766545814787,0.69444260124537,0.7229451039472725,0.5708806004996024,0.6260059013382899,0.8660254037844386,0.542137013477934,756,Active,16
State 48 FC Avondale 16 Gray,AZ,30,43,23,7,0,0.7666666666666667,132,60,64,0.7633333333333333,0,0.0,12,0.4,2025-09-14,-0.16202780822783003,30,0,4.4,2.0,4.176666312307282,2.2961516593519478,0.6418555997875538,0.6710143259169061,0.4650846198221322,0.5416247570341713,1.0,0.5416247570341713,761,Active,17
Phoenix United 2016 Academy,AZ,30,46,17,7,0,0.5666666666666667,85,38,33,0.5599999999999999,2,0.06666666666666667,10,0.3333333333333333,2025-10-12,-0.149855650777597,30,2,2.8333333333333335,1.2666666666666666,2.9398242070441243,1.7172042909308949,0.4255795036211866,0.7495253692176274,0.5056133020530206,0.5383889557995751,1.0,0.5383889557995751,794,Active,18
Wolves 16/17 B,AZ,22,22,14,7,0,0.6363636363636364,77,37,36,0.5166666666666666,2,0.09090909090909091,6,0.2727272727272727,2025-10-11,-0.15671385116463793,22,2,3.5,1.6818181818181819,3.4571106622558907,2.1417921018458004,0.517375384443163,0.6931683759978922,0.4921841175655452,0.5374192226275382,1.0,0.5374192226275382,802,Active,19
