Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Santa Clara Sporting 16B Green,CA,30,27,3,0,0.9,195,48,147,1.0,6,0.2,30,1.0,2025-10-11,0.5796001304644922,22,6,0.9,0.802,0.5796001304644922,0.6881600782786954,1.224744871391589,0.8428205265682666,2,Active,1
SD Surf Academy Boys 2016 (Miller),CA,30,24,4,0,0.8,191,49,142,0.8,7,0.23333333333333334,30,1.0,2025-07-14,0.6034641360728318,23,7,0.8,0.792,0.6034641360728318,0.6804784816436991,1.224744871391589,0.8334125304854559,5,Active,2
CVFA 16B Academy,CA,30,21,5,0,0.7,165,53,112,0.7,0,0.0,30,1.0,2025-10-12,0.6240000000000001,25,0,0.7,0.732,0.6240000000000001,0.6608,1.224744871391589,0.809311411015562,7,Active,3
Placer United 16B Gold,CA,30,27,2,0,0.9,167,48,119,1.0,0,0.0,30,1.0,2025-10-11,0.5444444444444445,27,0,0.9,0.746,0.5444444444444445,0.6558666666666668,1.224744871391589,0.803269336316697,11,Active,4
Ajax United 16B Green Pre-MLS Next,CA,30,25,3,0,0.8333333333333334,155,52,103,1.0,3,0.1,30,1.0,2025-10-04,0.5736638176638177,25,2,0.8333333333333334,0.714,0.5736638176638177,0.6536649572649573,1.224744871391589,0.8005728040186586,14,Active,5
PHENOM B2016,CA,30,24,4,0,0.8,168,58,110,0.7,9,0.3,30,1.0,2025-07-13,0.5653818324063262,16,9,0.8,0.728,0.5653818324063262,0.6448290994437957,1.224744871391589,0.7897511324678457,17,Active,6
Stockton TLJ FC 16,CA,30,24,0,0,0.8,194,48,146,0.8,0,0.0,30,1.0,2025-10-12,0.5398809523809524,28,0,0.8,0.8,0.5398809523809524,0.6439285714285714,1.224744871391589,0.7886482153996552,18,Active,7
Mustang SC Wolf Pack 16M,CA,30,26,2,0,0.8666666666666667,184,37,147,0.8,0,0.0,30,1.0,2025-10-12,0.5161749482401656,28,0,0.8666666666666667,0.802,0.5161749482401656,0.6434383022774327,1.224744871391589,0.7880477607711966,19,Active,8
California Rush B16 Nero - HB,CA,30,20,10,0,0.6666666666666666,125,57,68,1.0,0,0.0,30,1.0,2025-10-11,0.6345238095238095,28,0,0.6666666666666666,0.644,0.6345238095238095,0.642847619047619,1.224744871391589,0.7873243245148653,21,Active,9
TFA-SELA B2016 White,CA,30,28,2,0,0.9333333333333333,167,58,109,0.8,0,0.0,30,1.0,2025-10-12,0.5066666666666666,30,0,0.9333333333333333,0.726,0.5066666666666666,0.6358666666666666,1.224744871391589,0.7787744388888649,25,Active,10
