Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Stamford FC Boys 2016 White,CT,30,23,3,0,0.7666666666666667,171,69,102,0.9,0,0.0,30,1.0,2025-08-31,0.414064039408867,14,0,0.7666666666666667,0.712,0.414064039408867,0.5441717569786535,1.224744871391589,0.666471568515756,250,Active,1
Ginga FC Boys 2016 Pre-MLS NEXT Academy Division,CT,30,17,9,0,0.5666666666666667,92,59,33,0.5,11,0.36666666666666664,30,1.0,2025-10-12,0.5232720334510617,17,11,0.5666666666666667,0.574,0.5232720334510617,0.5420965534039703,1.224744871391589,0.6639299735805693,259,Active,2
B2016 EDP Championship Blue,CT,30,12,11,0,0.4,123,104,19,0.3,1,0.03333333333333333,30,1.0,2025-10-12,0.5688441188441189,13,1,0.4,0.546,0.5688441188441189,0.5305064713064713,1.224744871391589,0.6497350799726499,331,Active,3
Vale Middletown 2016 Boys Red,CT,30,23,6,0,0.7666666666666667,157,67,90,0.9,0,0.0,30,1.0,2025-10-12,0.3521595262974573,12,0,0.7666666666666667,0.688,0.3521595262974573,0.5022290491118078,1.224744871391589,0.615102452163561,550,Active,4
B2016 EDP Championship White,CT,29,6,16,0,0.20689655172413793,78,127,-49,0.2,0,0.0,29,1.0,2025-10-12,0.605789138397834,13,0,0.20689655172413793,0.41,0.605789138397834,0.48685279338352794,1.2041594578792296,0.5862483957476976,796,Active,5
VALLEY FC 2016 BOYS NAVY EDP PREMIER,CT,27,11,15,0,0.4074074074074074,113,114,-1,0.3,0,0.0,27,1.0,2025-10-05,0.5262294266819153,13,0,0.4074074074074074,0.506,0.5262294266819153,0.49841913749063066,1.161895003862225,0.5791107056796833,846,Active,6
B2016 Orange,CT,30,13,17,0,0.43333333333333335,90,96,-6,0.5,1,0.03333333333333333,30,1.0,2025-10-12,0.45171107628004176,23,1,0.43333333333333335,0.496,0.45171107628004176,0.4568933124346917,1.224744871391589,0.5595777411775036,1039,Active,7
CFC Bethany B2016 EDP,CT,18,17,1,0,0.9444444444444444,112,32,80,0.9,0,0.0,18,1.0,2025-10-12,0.4437229437229436,11,0,0.9444444444444444,0.668,0.4437229437229436,0.5887226551226551,0.9486832980505138,0.5585113500988156,1048,Active,8
Green Warriors GW 2015/16 White,CT,23,13,7,0,0.5652173913043478,57,71,-14,0.7,13,0.5652173913043478,23,1.0,2025-10-12,0.488187151013238,15,13,0.5652173913043478,0.48,0.488187151013238,0.5019557688688123,1.0723805294763609,0.5382875931932508,1208,Active,9
Oakwood SC 16 Pre-MLS Next Blue,CT,26,7,16,0,0.2692307692307692,67,115,-48,0.4,0,0.0,26,1.0,2025-10-05,0.542972709551657,10,0,0.2692307692307692,0.412,0.542972709551657,0.462029779577148,1.140175425099138,0.5267950003378358,1319,Active,10
CT Rush Central 2016 Boys White,CT,30,13,17,0,0.43333333333333335,94,127,-33,0.3,5,0.16666666666666666,30,1.0,2025-10-12,0.42469787319421326,17,5,0.43333333333333335,0.442,0.42469787319421326,0.42988539058319464,1.224744871391589,0.5264999274029377,1320,Active,11
Southeast SC B16,CT,24,15,6,0,0.625,102,59,43,0.4,0,0.0,24,1.0,2025-10-05,0.39190069190069193,14,0,0.625,0.594,0.39190069190069193,0.4789404151404152,1.0954451150103321,0.5246529381465883,1335,Active,12
2016 Boys Blue SELECT,CT,20,10,7,0,0.5,75,53,22,0.6,0,0.0,20,1.0,2025-08-10,0.5095238095238095,3,0,0.5,0.552,0.5095238095238095,0.5161142857142857,1.0,0.5161142857142857,1405,Active,13
Oakwood SC 16 Pre-MLS Next White,CT,28,3,20,0,0.10714285714285714,39,142,-103,0.2,0,0.0,28,1.0,2025-10-12,0.5890011223344557,9,0,0.10714285714285714,0.302,0.5890011223344557,0.4352292448292448,1.1832159566199232,0.5149701872696016,1411,Active,14
Southern New England Elite 2016,CT,12,9,3,0,0.75,283,37,246,0.8,0,0.0,12,1.0,2025-08-10,0.517063492063492,8,0,0.75,1.0,0.517063492063492,0.6602380952380953,0.7745966692414834,0.5114182294777699,1447,Active,15
Ridgefield B2016 Black (U10) - EDP,CT,29,6,18,0,0.20689655172413793,69,126,-57,0.4,0,0.0,29,1.0,2025-10-12,0.49870129870129876,14,0,0.20689655172413793,0.394,0.49870129870129876,0.4194000895656068,1.2041594578792296,0.5050245844858214,1497,Active,16
2016 Boys White SELECT,CT,18,10,8,0,0.5555555555555556,65,60,5,0.6,0,0.0,18,1.0,2025-08-10,0.5277777777777778,3,0,0.5555555555555556,0.518,0.5277777777777778,0.5313777777777777,0.9486832980505138,0.5041092227329752,1507,Active,17
Inter CT FC - Union 2016 Boys SL,CT,20,7,13,0,0.35,63,77,-14,0.0,1,0.05,20,1.0,2025-10-12,0.5601731601731601,7,1,0.35,0.48,0.5601731601731601,0.502103896103896,1.0,0.502103896103896,1516,Active,18
Beachside South NEAL U10 (2016),CT,27,9,13,0,0.3333333333333333,77,92,-15,0.5,0,0.0,27,1.0,2025-10-11,0.4328205128205128,5,0,0.3333333333333333,0.478,0.4328205128205128,0.42195897435897434,1.161895003862225,0.490272024142521,1590,Active,19
B2016 EDP Championship Black,CT,30,12,17,0,0.4,88,213,-125,0.3,1,0.03333333333333333,30,1.0,2025-10-12,0.43524033437826537,6,1,0.4,0.258,0.43524033437826537,0.39274420062695925,1.224744871391589,0.4810114454866576,1651,Active,20
FC River North,CT,14,10,2,0,0.7142857142857143,112,28,84,0.6,1,0.07142857142857142,14,1.0,2025-08-03,0.4409528182255454,11,1,0.7142857142857143,0.676,0.4409528182255454,0.5426288337924701,0.8366600265340756,0.45399585447896246,1855,Active,21
Farmington Fire FSC U10A Boys,CT,15,9,6,0,0.6,54,58,-4,0.8,3,0.2,15,1.0,2025-08-31,0.49767228528838436,11,3,0.6,0.5,0.49767228528838436,0.5186033711730306,0.8660254037844386,0.4491236939240949,1885,Active,22
Sporting CT GVSA 2016 Boys,CT,11,3,6,0,0.2727272727272727,33,81,-48,0.2,0,0.0,11,1.0,2025-08-03,0.7257142857142858,5,0,0.2727272727272727,0.412,0.7257142857142858,0.572374025974026,0.7416198487095663,0.42448393854814254,2026,Active,23
Sporting CT 2016 Boys Gold,CT,12,4,8,0,0.3333333333333333,38,73,-35,0.3,2,0.16666666666666666,12,1.0,2025-10-12,0.5378968253968255,8,2,0.3333333333333333,0.438,0.5378968253968255,0.47700476190476193,0.7745966692414834,0.3694862997837554,2319,Active,24
Olé Select 2016 Boys Yellow,CT,10,5,5,0,0.5,38,53,-15,0.5,0,0.0,10,1.0,2025-08-10,0.5193939393939394,5,0,0.5,0.478,0.5193939393939394,0.5072363636363637,0.7071067811865476,0.3586702723916783,2370,Active,25
Wilton B2016 Wolves,CT,10,3,7,0,0.3,16,19,-3,0.3,0,0.0,10,1.0,2025-10-12,0.5666666666666667,8,0,0.3,0.502,0.5666666666666667,0.5004,0.7071067811865476,0.35383623330574837,2394,Active,26
New Canaan FC - 2016 Boys Grey 1,CT,10,3,6,0,0.3,13,22,-9,0.3,0,0.0,10,1.0,2025-10-12,0.5666666666666667,8,0,0.3,0.49,0.5666666666666667,0.498,0.7071067811865476,0.3521391770309007,2401,Active,27
Highlander - Wolves,CT,12,8,4,0,0.6666666666666666,51,40,11,0.6,3,0.25,12,1.0,2025-08-31,0.3547430830039526,6,3,0.6666666666666666,0.53,0.3547430830039526,0.4521791831357049,0.7745966692414834,0.3502564891572517,2414,Active,28
New Canaan FC 2016 Boys Red,CT,11,6,3,0,0.5454545454545454,34,21,13,0.5,0,0.0,11,1.0,2025-10-12,0.3427586206896552,10,0,0.5454545454545454,0.534,0.3427586206896552,0.4215460815047022,0.7416198487095663,0.31262694118962775,2616,Active,29
SCOR U10 Orange Boys,CT,6,6,0,0,1.0,14,2,12,1.0,0,0.0,6,1.0,2025-08-30,0.4222222222222221,6,0,1.0,0.532,0.4222222222222221,0.5597333333333332,0.5477225575051661,0.3065785728542249,2641,Active,30
ERU B2016 Black (U10),CT,6,4,2,0,0.6666666666666666,16,10,6,0.6666666666666666,0,0.0,6,1.0,2025-08-30,0.5333333333333333,6,0,0.6666666666666666,0.52,0.5333333333333333,0.5573333333333333,0.5477225575051661,0.30526403871621255,2649,Active,31
New Canaan FC 2016 Boys Black,CT,11,2,9,0,0.18181818181818182,16,47,-31,0.2,0,0.0,11,1.0,2025-10-12,0.45999999999999996,10,0,0.18181818181818182,0.446,0.45999999999999996,0.40156363636363634,0.7416198487095663,0.2978075632472633,2686,Active,32
Inter CT FC - Union 2016 Boys EDP,CT,13,2,10,0,0.15384615384615385,36,54,-18,0.2,0,0.0,13,1.0,2025-10-05,0.40238095238095234,3,0,0.15384615384615385,0.472,0.40238095238095234,0.36659780219780214,0.806225774829855,0.29556059712784494,2697,Active,33
