Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Ginga FC Boys 2016 Pre-MLS NEXT Academy Division,CT,30,45,17,9,0,0.5666666666666667,92,59,26,0.5716666666666665,11,0.36666666666666664,19,0.6333333333333333,2025-10-12,0.06356505406197477,30,11,3.066666666666667,1.9666666666666666,3.1240347333599137,2.2698358698782632,0.45801184783952936,0.6748490042949575,0.6914324818706589,0.6414316595492927,1.224744871391589,0.7855901353811919,168,Active,1
Stamford FC Boys 2016 White,CT,30,34,23,3,0,0.7666666666666667,171,69,82,0.7683333333333333,0,0.0,19,0.6333333333333333,2025-08-31,-0.1425947042203517,30,0,5.7,2.3,5.202982101780966,2.5329937646151053,0.7885836174782521,0.6355193746292993,0.4868514498581821,0.5769314683364195,1.224744871391589,0.7065938569894487,413,Active,2
Vale Middletown 2016 Boys Red,CT,30,43,23,6,0,0.7666666666666667,157,67,80,0.7683333333333333,0,0.0,20,0.6666666666666666,2025-10-12,-0.17748004218725544,30,0,5.233333333333333,2.2333333333333334,4.834561049149388,2.480362185667737,0.7414056350174179,0.6435521693522865,0.45163845761729515,0.547974635444318,1.224744871391589,0.6711291244131041,582,Active,3
B2016 Orange,CT,30,102,13,17,0,0.43333333333333335,90,96,-5,0.4333333333333333,1,0.03333333333333333,9,0.3,2025-10-12,-0.1259640158853511,30,1,3.0,3.2,3.071403154412545,3.243520080404579,0.44869671345199047,0.5213739369715802,0.549068527052784,0.5234552463163845,1.224744871391589,0.6410991283290128,753,Active,4
Green Warriors GW 2015/16 White,CT,23,24,13,7,0,0.5652173913043478,57,71,-8,0.4541666666666666,13,0.5652173913043478,13,0.5652173913043478,2025-10-12,-0.11483225243203138,23,13,2.4782608695652173,3.0869565217391304,2.700429673150862,3.16947622759271,0.38440739450040107,0.533591927652755,0.6490386405500431,0.5730230487606571,1.0723805294763609,0.614498760432112,930,Active,5
CFC Bethany B2016 EDP,CT,18,18,17,1,0,0.9444444444444444,112,32,71,0.8166666666666667,0,0.0,11,0.6111111111111112,2025-10-12,-0.010199493648676297,18,0,6.222222222222222,1.7777777777777777,5.3351276872183355,2.278990886745154,0.8038898223021723,0.6735175788848573,0.5804775032291464,0.6437679821748938,0.9486832980505138,0.6107319325090026,948,Active,6
B2016 EDP Championship Blue,CT,30,38,12,11,0,0.4,123,104,23,0.3966666666666666,1,0.03333333333333333,26,0.8666666666666667,2025-10-12,-0.15901655416024854,30,1,4.1,3.466666666666667,3.9398242070441243,3.454046396194053,0.6021130877180226,0.48654419838979157,0.4662642755415568,0.49749002254649693,1.224744871391589,0.6092983536823081,954,Active,7
Southeast SC B16,CT,24,25,15,6,0,0.625,102,59,36,0.5388888888888889,0,0.0,14,0.5833333333333334,2025-10-05,-0.1828776015399371,24,0,4.25,2.4583333333333335,4.022291245864897,2.6954300954804378,0.6161348125067452,0.6102645180614573,0.47498956238027557,0.5302736035418059,1.0954451150103321,0.5808856286187968,1139,Active,8
VALLEY FC 2016 BOYS NAVY EDP PREMIER,CT,27,28,11,15,0,0.4074074074074074,113,114,5,0.4166666666666667,0,0.0,18,0.6666666666666666,2025-10-05,-0.2277964848165283,27,0,4.185185185185185,4.222222222222222,3.991809139076478,4.035821801582115,0.6109730998343677,0.3919757429943632,0.44737159268373966,0.46901272417598994,1.161895003862225,0.5449435409678945,1374,Active,9
CT Rush Central 2016 Boys White,CT,30,55,13,17,0,0.43333333333333335,94,127,-31,0.43666666666666665,5,0.16666666666666666,17,0.5666666666666667,2025-10-12,-0.25068269121976794,30,5,3.1333333333333333,4.233333333333333,3.176666312307282,4.05930955408879,0.46735642910272374,0.388275836950731,0.4261977084923639,0.4268450783061093,1.224744871391589,0.5227763205341486,1523,Active,10
