Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
229 Select 2016 boys,GA,17,17,15,2,0,0.8823529411764706,115,26,58,0.7833333333333333,0,0.0,11,0.6470588235294118,2025-10-12,-0.1009819800378728,17,0,6.764705882352941,1.5294117647058822,5.668532794707069,2.13015052221496,0.8387422335376056,0.6948052276109407,0.5163994846577061,0.6165491830243328,0.9219544457292888,0.5684302603000446,1217,Active,1
ATL Xpress 2016,GA,16,16,4,12,0,0.25,60,67,-12,0.44999999999999996,3,0.1875,9,0.5625,2025-01-19,0.06709227434500795,16,3,3.75,4.1875,3.61305499448653,3.9272401273072504,0.5451028167453426,0.409235742997051,0.7228802575302876,0.6245958664666513,0.8944271909999159,0.5586555263539255,1281,Inactive,2
TASA 2016 boys,GA,23,24,9,11,0,0.391304347826087,37,53,-16,0.33125,0,0.0,19,0.8260869565217391,2025-09-28,-0.31144744541123603,23,0,1.608695652173913,2.3043478260869565,2.0552683828282814,2.5888310663023875,0.2825903838112111,0.626914074409145,0.3957777708884881,0.4193675541771641,1.0723805294763609,0.4497215997937137,1961,Active,3
Moultrie TASA 2016 - 2018 boys,GA,15,17,6,9,0,0.4,30,25,2,0.2,6,0.4,15,1.0,2025-09-28,-0.19385323565127807,15,6,2.0,1.6666666666666667,2.4657965159859443,2.271902741538,0.34559598166752337,0.674548662427973,0.47566548330175046,0.48942821880014953,0.8660254037844386,0.42385727080989805,2100,Active,4
Savannah United 16B West,GA,15,15,8,6,0,0.5333333333333333,60,42,18,0.26666666666666666,0,0.0,8,0.5333333333333333,2025-08-17,-0.27490163337509077,15,0,4.0,2.8,3.770144342072901,3.011033176320609,0.5727534843524789,0.5595834083475304,0.3857854881715956,0.4579386714429592,0.8660254037844386,0.3965865228448981,2243,Active,5
NTH NASA 16 Academy Milton Elite,GA,6,6,0,6,0,0.0,16,28,-12,0.0,6,1.0,5,0.8333333333333334,2025-02-16,0.40724709054179076,6,6,2.6666666666666665,4.666666666666667,3.0509514191197655,3.9466973610981433,0.4450863346591787,0.40612501398153655,0.8930268632346785,0.7060583876689501,0.5477225575051661,0.3867241058420114,2293,Inactive,6
Savannah United 16B Premier,GA,11,11,3,8,0,0.2727272727272727,47,41,6,0.13636363636363635,0,0.0,5,0.45454545454545453,2025-08-17,-0.19191021131129343,11,0,4.2727272727272725,3.727272727272727,3.879648414088248,3.592303318703895,0.591773227356554,0.4637207245405721,0.464288099661394,0.48967165017626163,0.7416198487095663,0.3631502151210828,2408,Active,7
UFA South Georgia 16B Black,GA,11,11,8,3,0,0.7272727272727273,31,10,21,0.36363636363636365,0,0.0,6,0.5454545454545454,2025-09-28,-0.24018122720526833,11,0,2.8181818181818183,0.9090909090909091,3.0375431509303534,1.960724371335474,0.44272246837356133,0.7180590402622462,0.4106911066298728,0.47857096570508517,0.7416198487095663,0.3549177271829963,2453,Active,8
UFA South Georgia 16B Red,GA,12,12,0,6,0,0.0,20,39,-19,0.0,0,0.0,9,0.75,2025-09-28,-0.26531206058939655,12,0,1.6666666666666667,3.25,2.3356659933838357,3.3126881527687004,0.3248893166099281,0.509937059229351,0.4240645138065396,0.42140398345177954,0.7745966692414834,0.3264181219868416,2589,Active,9
CF 16B Central Gold,GA,6,6,0,6,0,0.0,6,20,-14,0.0,0,0.0,3,0.5,2025-08-17,-0.10345991713843743,6,0,1.0,3.3333333333333335,2.336665704834051,3.375268789669572,0.3250459381648042,0.4995801082313538,0.5971195862109145,0.5231969610057803,0.5477225575051661,0.2865667775610166,2790,Active,10
NTH NASA 16 Academy Smyrna Elite,GA,6,6,0,4,0,0.0,2,12,-10,0.0,0,0.0,3,0.5,2025-08-31,-0.14982263914223906,6,0,0.3333333333333333,2.0,2.0509514191197655,2.8038402182410005,0.2819657524469965,0.593064549904231,0.5471262727275344,0.5032818241067661,0.5477225575051661,0.2756588078456231,2838,Active,11
Savannah United 16B Blue,GA,6,6,4,2,0,0.6666666666666666,38,32,6,0.3333333333333333,0,0.0,3,0.5,2025-08-17,-0.2400516433732331,6,0,6.333333333333333,5.333333333333333,4.622379990548337,4.232411646812429,0.7113090326558609,0.36142792018585324,0.4245150941212189,0.46925644704107417,0.5477225575051661,0.25702234129912466,2911,Active,12
CF 16B Central Red,GA,6,6,2,4,0,0.3333333333333333,16,26,-10,0.16666666666666666,0,0.0,2,0.3333333333333333,2025-01-26,-0.23122808670583694,6,0,2.6666666666666665,4.333333333333333,3.0509514191197655,3.8038402182410005,0.4450863346591787,0.4291240867756696,0.45586616360887827,0.44836178245229663,0.5477225575051661,0.2455778621723468,2958,Inactive,13
