Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
QCS B2016 Lightning,IA,28,28,20,8,0,0.7142857142857143,168,76,73,0.7333333333333333,2,0.07142857142857142,13,0.4642857142857143,2025-10-12,0.06868128190772219,28,2,6.0,2.7142857142857144,5.408703329657687,2.8681600848715,0.8120418254334527,0.5827479134667856,0.5436507242400451,0.6051483823240748,1.0,0.6051483823240748,336,Active,1
BSA 2016 Boys White,IA,26,29,22,4,0,0.8461538461538461,150,55,81,0.745,0,0.0,16,0.6153846153846154,2025-10-05,0.13536812144342367,26,0,5.769230769230769,2.1153846153846154,5.197450584343433,2.419228325158059,0.7879242345729955,0.652781991776969,0.5218548131164582,0.6012541331398679,1.0,0.6012541331398679,350,Active,2
Pearl City 2016 Boys,IA,17,17,9,8,0,0.5294117647058824,100,71,15,0.5833333333333333,0,0.0,6,0.35294117647058826,2025-08-31,-0.21800895742417392,17,0,5.882352941176471,4.176470588235294,5.068532794707068,3.9301505222149604,0.7721316265020022,0.4087699741714701,0.44990424215482805,0.5061228654275913,0.9219544457292888,0.4666222258662144,1454,Active,3
NSSC U10 Red,IA,30,34,14,11,0,0.4666666666666667,118,116,5,0.475,0,0.0,17,0.5666666666666667,2025-10-11,-0.12196714077241227,30,0,3.933333333333333,3.8666666666666667,3.808245259675703,3.7698358698782632,0.5793986866229471,0.4346479261808579,0.42807831394279244,0.45965631092643644,1.0,0.45965631092643644,1518,Active,4
BSA 2016 Boys Blue,IA,29,29,12,13,0,0.41379310344827586,60,80,-16,0.41833333333333333,0,0.0,12,0.41379310344827586,2025-10-12,-0.2998492970217837,29,0,2.0689655172413794,2.7586206896551726,2.3436032396669386,2.898750352847946,0.3261338959543316,0.5778152338544074,0.4421274268935231,0.44606628209786164,1.0,0.44606628209786164,1651,Active,5
MSC 2016 Boys - Purple,IA,30,32,12,13,0,0.4,111,117,-4,0.4033333333333333,0,0.0,15,0.5,2025-10-05,-0.17944552090717694,30,0,3.7,3.9,3.6240347333599137,3.7961516593519478,0.5470465651876087,0.4303715626154807,0.4139737959250864,0.4438679031156697,1.0,0.4438679031156697,1668,Active,6
UFA DSM 2016B ACADEMY,IA,7,7,7,0,0,1.0,54,4,38,0.5,0,0.0,3,0.42857142857142855,2025-09-21,0.1848718556460175,7,0,7.714285714285714,0.5714285714285714,5.380887991178448,2.083584203691601,0.8089909655660655,0.7013032941349286,0.6881376427059349,0.7149414375637598,0.5916079783099616,0.4229650584871136,1865,Active,7
MSC 2016 Boys - Gold,IA,30,47,8,20,0,0.26666666666666666,105,137,-31,0.2683333333333333,0,0.0,13,0.43333333333333335,2025-10-12,-0.48054505155153693,30,0,3.5,4.566666666666666,3.4661399965178084,4.322467448825631,0.5189854107361287,0.3477836886775355,0.37529783532313593,0.3985325210766144,1.0,0.3985325210766144,2085,Active,8
CVSC 2016 Boys,IA,8,8,8,0,0,1.0,44,24,20,0.5,0,0.0,1,0.125,2025-09-21,0.011960427799493176,8,0,5.5,3.0,4.419582491729795,3.2033601909608755,0.6806835219847575,0.5280048398260848,0.5705080483290821,0.5840425013596178,0.6324555320336759,0.36938091092767594,2292,Active,9
AYSO United 2016 Boys Red,IA,20,25,4,16,0,0.2,43,100,-51,0.13333333333333333,0,0.0,8,0.4,2025-09-21,-0.5415479918480619,20,0,2.15,5.0,2.489761423845597,4.544777251977643,0.3494769595869529,0.31518667414349166,0.37312050574515737,0.3568050301931833,1.0,0.3568050301931833,2390,Active,10
AYSO United 2016 Boys Blue,IA,14,19,5,8,0,0.35714285714285715,36,64,-18,0.17857142857142858,0,0.0,6,0.42857142857142855,2025-09-21,-0.3263426060982729,14,0,2.5714285714285716,4.571428571428571,2.85060544853076,4.147898320698818,0.4100814124211466,0.37443949776756824,0.39998749484150314,0.39689667894264485,0.8366600265340756,0.3320675859354397,2525,Active,11
SESA U10 B- Yellow,IA,26,29,3,19,0,0.11538461538461539,64,147,-77,0.10166666666666666,0,0.0,16,0.6153846153846154,2025-10-05,-0.6033604566215167,26,0,2.4615384615384617,5.653846153846154,2.6680388196375504,5.125110678099236,0.3789480485840593,0.2386300155848594,0.3406528206210183,0.3279073052063948,1.0,0.3279073052063948,2549,Active,12
SESA U10 B Black,IA,21,24,3,18,0,0.14285714285714285,55,150,-63,0.1,0,0.0,10,0.47619047619047616,2025-10-05,-0.5919215305212934,21,0,2.619047619047619,7.142857142857143,2.8177006850923005,6.11219872604738,0.40440862611021866,0.1401878208506232,0.35193417501372937,0.32007979440040596,1.0,0.32007979440040596,2593,Active,13
UFA DSM 2016B A2,IA,6,6,4,2,0,0.6666666666666666,26,16,10,0.3333333333333333,0,0.0,1,0.16666666666666666,2025-09-21,-0.10554088581056918,6,0,4.333333333333333,2.6666666666666665,3.76523713340548,3.0895545039552865,0.5718956503229474,0.546734323868563,0.5323945260641837,0.5431627104768123,0.5477225575051661,0.2975024689237977,2722,Active,14
Dubuque Soccer Club 2016b White,IA,4,4,3,0,0,0.75,19,3,15,0.375,1,0.25,3,0.75,2025-03-30,-0.024372811551090535,4,1,4.75,0.75,3.809443322306393,2.5211469212811677,0.5796071886558012,0.6373342595264786,0.6176107798590111,0.6139547575518627,0.4472135954999579,0.27456891459907345,2836,Inactive,15
Apex 10U Boys Red,IA,5,5,0,5,0,0.0,4,28,-18,0.0,0,0.0,2,0.4,2025-09-21,-0.11129923939659486,5,0,0.8,5.6,2.362563066744363,4.250289465798001,0.32911675757033587,0.3587005997895457,0.6499623131717845,0.527540859375047,0.5,0.2637704296875235,2887,Active,16
Sabers 2016,IA,9,9,1,8,0,0.1111111111111111,13,39,-26,0.05555555555555555,0,0.0,5,0.5555555555555556,2025-09-20,-0.44971356437376475,9,0,1.4444444444444444,4.333333333333333,2.336077639275101,3.8972801797278827,0.3249538030974584,0.4140397536282725,0.35252582486896766,0.35931420626652677,0.6708203932499369,0.24103529714800043,2977,Active,17
SIE 2016 Boys,IA,8,13,0,8,0,0.0,9,42,-30,0.0,3,0.375,5,0.625,2025-04-27,-0.38364666464490643,8,3,1.125,5.25,2.232082491729795,4.3283601909608755,0.3088779711218519,0.3468992520373243,0.30710191485566657,0.31541659354523516,0.6324555320336759,0.1994869694829014,3096,Active,18
North Iowa 10U Tournament - Coed,IA,6,6,0,6,0,0.0,10,46,-30,0.0,0,0.0,1,0.16666666666666666,2025-09-21,-0.45280006506749765,6,0,1.6666666666666667,7.666666666666667,2.6223799905483367,5.232411646812429,0.3713044958468043,0.22596336017665253,0.3592220956416382,0.33498682858967427,0.5477225575051661,0.18347984248568108,3130,Active,19
