Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Chicago Raiders 2016,IL,26,26,20,4,0,0.7692307692307693,110,50,56,0.7999999999999999,12,0.46153846153846156,2,0.07692307692307693,2025-09-28,0.244375610651327,26,12,4.230769230769231,1.9230769230769231,4.020979996108139,2.2721695016286474,0.6159132994802846,0.6745098884464624,0.8012628230843241,0.7388423314359438,1.0,0.7388423314359438,37,Active,1
SLSG IL B 2016 Academy Red,IL,20,20,4,16,0,0.2,46,80,-34,0.20666666666666667,6,0.3,10,0.5,2025-10-05,0.4489000613644946,20,6,2.3,4.0,2.596904280988454,3.830491537691929,0.3670672726617531,0.4248069472501048,0.9185819814613412,0.7095240328591762,1.0,0.7095240328591762,65,Active,2
Glen-Ed SC 16B Premier,IL,30,42,18,6,0,0.6,106,65,39,0.6066666666666667,13,0.43333333333333335,13,0.43333333333333335,2025-10-12,0.12709496430792072,30,13,3.533333333333333,2.1666666666666665,3.4924557859914924,2.4277306067203686,0.5236754260016445,0.6515050084751982,0.7548681969931053,0.6879570050912316,1.0,0.6879570050912316,96,Active,3
Bloomingdale Lightning Blue 16b,IL,30,32,28,2,0,0.9333333333333333,176,45,106,0.9316666666666668,4,0.13333333333333333,11,0.36666666666666664,2025-10-12,0.026848024651223372,30,4,5.866666666666666,1.5,5.334561049149388,1.9014148172466845,0.8038260153515683,0.7259402268891852,0.6257381449553903,0.6813961354213849,1.0,0.6813961354213849,108,Active,4
WCOB FC 2016,IL,27,28,19,6,0,0.7037037037037037,117,57,50,0.7266666666666667,1,0.037037037037037035,6,0.2222222222222222,2025-10-04,0.03060149218018257,27,1,4.333333333333333,2.111111111111111,4.106094853362192,2.407250373010686,0.6301885672244907,0.6545772694936121,0.6514535802002744,0.6478253154637852,1.0,0.6478253154637852,183,Active,5
FC Connection 2016,IL,30,56,18,12,0,0.6,105,81,22,0.595,16,0.5333333333333333,5,0.16666666666666666,2025-10-05,0.0553301496774257,30,16,3.5,2.7,3.4661399965178084,2.848783238299316,0.5189854107361288,0.585863949104091,0.7027305380478107,0.6426081947967304,1.0,0.6426081947967304,197,Active,6
Illinois FC 2016 Boys Orange,IL,30,31,15,7,0,0.5,135,62,54,0.5016666666666667,6,0.2,12,0.4,2025-10-05,0.014786331622014488,30,6,4.5,2.066666666666667,4.2556136807283345,2.3487832382993163,0.654710580203802,0.6632765961587932,0.623664660393921,0.6377962315088717,1.0,0.6377962315088717,208,Active,7
Legion FC 2016 A1,IL,30,34,18,8,0,0.6,126,69,44,0.6033333333333333,2,0.06666666666666667,11,0.36666666666666664,2025-10-12,-0.008816898475891961,30,2,4.2,2.3,4.018771575465177,2.5329937646151053,0.6155401162362442,0.6355193746292995,0.6186997912050871,0.6214317728961609,1.0,0.6214317728961609,257,Active,8
Chicago Inter Soccer 2016B Red South,IL,30,32,20,8,0,0.6666666666666666,112,63,39,0.6766666666666667,0,0.0,6,0.2,2025-09-27,-0.01198224314847732,30,0,3.7333333333333334,2.1,3.6503505228335977,2.3750990277730004,0.5516993162381171,0.6593743253992184,0.6262690838834993,0.6179761786575667,1.0,0.6179761786575667,273,Active,9
SASA Spirits 2016B 1984,IL,23,23,13,8,0,0.5652173913043478,83,56,22,0.475,8,0.34782608695652173,4,0.17391304347826086,2025-10-12,0.026539174646887095,23,8,3.608695652173913,2.4347826086956523,3.5391393505702164,2.6856052598507745,0.5319846121421508,0.6118105101032758,0.6478358811471704,0.6174605531373876,1.0,0.6174605531373876,276,Active,10
2016 Black,IL,30,93,18,7,0,0.6,127,67,53,0.6016666666666666,1,0.03333333333333333,8,0.26666666666666666,2025-10-12,-0.03160397144543273,30,1,4.233333333333333,2.2333333333333334,4.045087364938861,2.480362185667737,0.6199780535080033,0.6435521693522868,0.6070998866876397,0.6169659765846418,1.0,0.6169659765846418,278,Active,11
Roadrunners SC B2016 Select II,IL,25,27,21,3,0,0.84,138,44,79,0.7150000000000001,0,0.0,10,0.4,2025-10-12,-0.07448540121914649,25,0,5.52,1.76,4.991312723262931,2.15920494107194,0.7622830535391938,0.6907109600475996,0.5416978448082633,0.6156175096023166,1.0,0.6156175096023166,287,Active,12
FSSA U10,IL,27,28,17,8,0,0.6296296296296297,148,66,44,0.6116666666666666,7,0.25925925925925924,4,0.14814814814814814,2025-10-12,-0.06908227560516271,27,7,5.481481481481482,2.4444444444444446,4.991809139076477,2.664393230153543,0.762347291803714,0.6151406401530941,0.5587531446853099,0.6107494732025476,1.0,0.6107494732025476,312,Active,13
