Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
WSU Boys 2016/2017 Green,IN,22,22,7,11,0,0.3181818181818182,64,80,-15,0.3,7,0.3181818181818182,12,0.5454545454545454,2025-08-31,0.042323591665335794,22,7,2.909090909090909,3.6363636363636362,3.023777328922557,3.5751254351791335,0.44029826287868556,0.4665501517680858,0.7561754311091781,0.6350749415948611,1.0,0.6350749415948611,214,Active,1
Indy Eleven 2016B Red,IN,29,29,14,12,0,0.4827586206896552,123,97,25,0.48166666666666663,2,0.06896551724137931,11,0.3793103448275862,2025-10-12,0.11995703637936452,29,2,4.241379310344827,3.3448275862068964,4.046305942369641,3.358209812307406,0.6201830776121925,0.5024036677520558,0.6233364167824139,0.598519199142298,1.0,0.598519199142298,368,Active,2
Boilers FC 2016 Boys Academy,IN,21,21,3,15,0,0.14285714285714285,33,113,-60,0.175,6,0.2857142857142857,8,0.38095238095238093,2025-04-06,0.07081136569665827,21,6,1.5714285714285714,5.380952380952381,2.059079995437128,4.836336657081864,0.28314259135639813,0.27507683155377716,0.7866251502842188,0.5836189747525663,1.0,0.5836189747525663,457,Inactive,3
USAI 2016B Red,IN,19,19,12,4,0,0.631578947368421,63,26,37,0.5625,1,0.05263157894736842,6,0.3157894736842105,2025-10-11,-0.0050061534148546916,19,1,3.3157894736842106,1.368421052631579,3.322715550654693,1.9723615946434818,0.4933869463262028,0.7164966028963573,0.5359283452315812,0.5635337169834607,0.9746794344808963,0.5492647245803569,707,Active,4
FCE United 2016 Boys Black,IN,21,21,13,7,0,0.6190476190476191,109,49,35,0.4833333333333333,7,0.3333333333333333,12,0.5714285714285714,2025-05-11,-0.14424339726023405,21,7,5.190476190476191,2.3333333333333335,4.679769650609542,2.6294401053577245,0.7196522177416613,0.6206044340211381,0.45814419111123117,0.5429378450192985,1.0,0.5429378450192985,752,Active,5
Echo Premier Dynamo,IN,14,15,14,0,0,1.0,64,8,52,0.5,0,0.0,6,0.42857142857142855,2025-08-24,0.05700419170048604,14,0,4.571428571428571,0.5714285714285714,4.123332721258032,1.602443775244273,0.6330530458307386,0.7635176246267257,0.535055445924605,0.6003474016462558,0.8366600265340756,0.5022866729910197,1125,Active,6
Hoosier FC 2016B Wolves Black 2,IN,25,25,18,4,0,0.72,98,60,38,0.6116666666666666,5,0.2,13,0.52,2025-10-12,-0.10807684710776608,25,5,3.92,2.4,3.7791915111417187,2.6440534259204247,0.5743338789185163,0.6183237426970046,0.4382842872409472,0.5015020966676725,1.0,0.5015020966676725,1132,Active,7
Carmel FC 2016B Academy 1,IN,16,16,7,4,0,0.4375,65,42,20,0.55,0,0.0,4,0.25,2025-09-27,-0.08289116746389234,16,0,4.0625,2.625,3.821388327819863,2.885573460640584,0.5816844450118628,0.5799419712499203,0.5045337072627932,0.5350455076100326,0.8944271909999159,0.4785592504287655,1345,Active,8
St Francis Premier 2016B Blue,IN,25,25,13,11,0,0.52,71,55,15,0.44166666666666665,0,0.0,8,0.32,2025-09-14,-0.23788720336648583,25,0,2.84,2.2,2.9610096929599004,2.4925382744052733,0.42928240575417204,0.6417007923345915,0.4383853524655878,0.4772278510971054,1.0,0.4772278510971054,1352,Active,9
IXI North MB Rivaldo,IN,9,9,6,2,0,0.6666666666666666,31,13,15,0.3333333333333333,5,0.5555555555555556,5,0.5555555555555556,2025-05-25,0.17418090161368438,9,5,3.4444444444444446,1.4444444444444444,3.3949011686868658,2.3678684150220004,0.5062747455670416,0.6604487087590545,0.7892115374087438,0.7068716133104656,0.6708203932499369,0.47418389361814384,1378,Active,10
