Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
GC SPORTING FC 16B ELITE,KS,18,18,16,2,0,0.8888888888888888,94,20,57,0.7833333333333333,0,0.0,9,0.5,2025-10-04,-0.006660605299862579,18,0,5.222222222222222,1.1111111111111112,4.642819994910643,1.8174524252066926,0.7142974371768702,0.7368598242904055,0.6158082913667455,0.6597164271135025,0.9486832980505138,0.625861955852139,239,Active,1
CKU Arsenal 15B,KS,30,33,20,8,0,0.6666666666666666,138,37,75,0.6733333333333333,27,0.9,3,0.1,2025-10-05,-0.15822631281887237,30,27,4.6,1.2333333333333334,4.334561049149388,1.6908885014572108,0.6673432883613991,0.7527820737621818,0.5119774681668849,0.5912115533248472,1.0,0.5912115533248472,411,Active,2
SPORTING WICHITA 2016B PREMIER,KS,30,38,21,9,0,0.7,160,69,79,0.6983333333333333,0,0.0,8,0.26666666666666666,2025-10-05,-0.1380475790959993,30,0,5.333333333333333,2.3,4.91350841757044,2.5329937646151053,0.7520676642325478,0.6355193746292995,0.4902402677532978,0.5716615684243482,1.0,0.5716615684243482,556,Active,3
WUFC 16B CHEETAHS ACADEMY,KS,27,29,14,9,0,0.5185185185185185,76,55,21,0.5583333333333333,0,0.0,14,0.5185185185185185,2025-10-05,-0.07382756825592378,27,0,2.814814814814815,2.037037037037037,2.9346662819336204,2.3501075158678293,0.42467922217411286,0.6630807495948445,0.579952678702556,0.5655236015753251,1.0,0.5655236015753251,595,Active,4
FC WICHITA 16B,KS,30,33,25,5,0,0.8333333333333334,141,45,76,0.8350000000000001,7,0.23333333333333334,12,0.4,2025-10-17,-0.14716033310050908,30,7,4.7,1.5,4.41350841757044,1.9014148172466845,0.6797398986223776,0.7259402268891852,0.4731266168997656,0.5650119952421719,1.0,0.5650119952421719,599,Active,5
DERBY UNITED 16B COBRAS,KS,30,30,21,5,0,0.7,108,50,52,0.7033333333333334,0,0.0,5,0.16666666666666666,2025-10-05,-0.1281652814500086,30,0,3.6,1.6666666666666667,3.545087364938861,2.0329937646151053,0.5330421202984004,0.7082720107443605,0.5119915905852561,0.5554577805597058,1.0,0.5554577805597058,673,Active,6
PACHUCA WDA 16B,KS,30,41,19,5,0,0.6333333333333333,102,46,52,0.645,0,0.0,6,0.2,2025-10-05,-0.12838295816883796,30,0,3.4,1.5333333333333334,3.3871926280967557,1.9277306067203686,0.5048985826640426,0.7224602902293251,0.5075813145314234,0.5500205632975277,1.0,0.5500205632975277,701,Active,7
SPORTING WICHITA 2016B ACADEMY,KS,19,21,16,3,0,0.8421052631578947,91,32,55,0.6958333333333333,12,0.631578947368421,1,0.05263157894736842,2025-10-04,-0.14400158779703265,19,12,4.7894736842105265,1.6842105263157894,4.35975258769173,2.194583816865704,0.6713252326689059,0.6856848018149932,0.4623549833529114,0.5488149969085268,0.9746794344808963,0.5349186908214377,827,Active,8
DODGE CITY TOROS FC 16/17B,KS,25,25,15,7,0,0.6,134,77,39,0.5083333333333333,0,0.0,9,0.36,2025-10-04,-0.19381877082111942,25,0,5.36,3.08,4.87010060205081,3.15920494107194,0.7462420432235035,0.53528394998686,0.45477842043112676,0.5291722509007487,1.0,0.5291722509007487,868,Active,9
FC ATLAS 16B RED,KS,25,28,12,9,0,0.48,79,43,30,0.4066666666666666,0,0.0,3,0.12,2025-10-04,-0.1699269409252744,25,0,3.16,1.72,3.203433935384143,2.1289019107689096,0.47211815904749466,0.69498049629679,0.4779661385538355,0.5201994142011582,1.0,0.5201994142011582,959,Active,10
CKU Pursuits Jr,KS,25,29,16,7,0,0.64,77,50,24,0.5483333333333333,0,0.0,9,0.36,2025-10-05,-0.17512336171650622,25,0,3.08,2.0,3.1428278747780825,2.3410231228901215,0.4613454698400589,0.6644231061490085,0.4893699653364547,0.5187756943996863,1.0,0.5187756943996863,973,Active,11
SPORTING WICHITA 2016B PRE-ACADEMY,KS,29,31,11,16,0,0.3793103448275862,83,94,-7,0.38333333333333336,10,0.3448275862068966,7,0.2413793103448276,2025-09-28,-0.111753105495174,29,10,2.8620689655172415,3.2413793103448274,2.96522486128856,3.2771287312263246,0.43002011220679276,0.5158188326215853,0.5377673915024532,0.5118282238671477,1.0,0.5118282238671477,1039,Active,12
VC Fusion 16B BLASI,KS,25,27,9,12,0,0.36,76,59,7,0.305,0,0.0,5,0.2,2025-10-05,-0.19169493623883324,25,0,3.04,2.36,3.112524844475052,2.6137503956173944,0.4559720013245328,0.6230471962447413,0.4707531808931836,0.4982557480497649,1.0,0.4982557480497649,1169,Active,13
16 MCFC Boys,KS,26,29,13,11,0,0.5,66,55,11,0.44166666666666665,0,0.0,3,0.11538461538461539,2025-10-05,-0.19453918089569391,26,0,2.5384615384615383,2.1153846153846154,2.7268623490493153,2.419228325158059,0.38888426191033626,0.652781991776969,0.4681416178989861,0.48921822147685273,1.0,0.48921822147685273,1259,Active,14
