Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
MUSA Flyers 2016 Boys Blue,KY,30,32,21,5,0,0.7,148,49,81,0.7016666666666665,0,0.0,5,0.16666666666666666,2025-10-12,0.3671213297096654,30,0,4.933333333333334,1.6333333333333333,4.5904842674359925,2.013522695158212,0.7169961838832906,0.7191957256323749,0.5369947004885296,0.6094352021962508,1.0,0.6094352021962508,422,Active,1
MVP B16 White,KY,30,47,21,5,0,0.7,94,50,44,0.6916666666666667,5,0.16666666666666666,13,0.43333333333333335,2025-10-12,0.30369323260280684,30,5,3.1333333333333333,1.6666666666666667,3.169431635857045,2.0398384846318964,0.4703289487454536,0.7155918373664472,0.6076178914561281,0.601754892096057,1.0,0.601754892096057,475,Active,2
KH PreElite NKY B16-2,KY,27,28,11,10,0,0.4074074074074074,136,84,26,0.45666666666666667,0,0.0,21,0.7777777777777778,2025-10-12,0.13458594704765453,27,0,5.037037037037037,3.111111111111111,4.641097204644792,3.1861103547432017,0.7245114893635964,0.5370326380337571,0.579356680126374,0.5999228335552951,1.0,0.5999228335552951,487,Active,3
MVP B16 Gold,KY,30,41,19,9,0,0.6333333333333333,134,64,61,0.635,5,0.16666666666666666,11,0.36666666666666664,2025-10-12,0.275655447851092,30,4,4.466666666666667,2.1333333333333333,4.222063214804414,2.408259537263475,0.6587646506952977,0.6623611573755013,0.5528050258279606,0.5959081771109361,1.0,0.5959081771109361,507,Active,4
LouCity Oldham 16 Purple,KY,19,19,14,1,0,0.7368421052631579,79,36,39,0.5208333333333334,0,0.0,3,0.15789473684210525,2025-10-12,0.2359487349228767,19,0,4.157894736842105,1.894736842105263,3.9051260060210264,2.3523652746671133,0.6044308889019497,0.6707524552338398,0.5377552047530387,0.5776897916789812,0.9746794344808963,0.5630623594590561,754,Active,5
2016B Trident F.C. Black,KY,12,12,11,1,0,0.9166666666666666,115,13,59,0.4583333333333333,0,0.0,6,0.5,2025-09-25,0.3147169000307304,12,0,9.583333333333334,1.0833333333333333,7.071920108128386,2.025693120800603,0.9404969525627048,0.7175324757088248,0.6545307679802473,0.7243243464424542,0.7745966692414834,0.5610592262048394,772,Active,6
LouCity South 16 Purple,KY,14,14,9,3,0,0.6428571428571429,74,37,32,0.32142857142857145,1,0.07142857142857142,9,0.6428571428571429,2025-08-17,0.2073813139255966,14,1,5.285714285714286,2.642857142857143,4.565381916480351,2.932448291636912,0.71322314877826,0.5792630686992812,0.6714452264990064,0.6613643793949121,0.8366600265340756,0.5533371392132396,836,Active,7
Fusion FC B16 Green,KY,29,29,11,15,0,0.3793103448275862,78,87,-9,0.3875,1,0.034482758620689655,20,0.6896551724137931,2025-10-11,-0.11241876288326305,29,1,2.689655172413793,3.0,2.8226595179072356,3.0949692544868124,0.4074136179507173,0.5522998430037198,0.599298159221117,0.5515215877235575,1.0,0.5515215877235575,854,Active,8
KH PreElite NKY B16-1,KY,30,33,13,13,0,0.43333333333333335,124,105,10,0.4333333333333333,0,0.0,24,0.8,2025-10-12,0.0712657654981527,30,0,4.133333333333334,3.5,3.9589053200675712,3.4872069056845283,0.6138772086876347,0.4862569786260701,0.5519452377535145,0.5511939801148497,1.0,0.5511939801148497,856,Active,9
Javanon 2016 Boys Red,KY,28,33,12,14,0,0.42857142857142855,96,88,-2,0.425,0,0.0,11,0.39285714285714285,2025-10-12,-0.026412643398482552,28,0,3.4285714285714284,3.142857142857143,3.401066726737992,3.2087184004447793,0.5130154365475456,0.5332336197013527,0.5662365277987289,0.548991727929017,1.0,0.548991727929017,867,Active,10
