Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
NEFC Metro West Boys 2016 MLS Futures Red,MA,30,26,2,0,0.8666666666666667,250,14,236,1.0,0,0.0,30,1.0,2025-10-11,0.4562096123499633,27,0,0.8666666666666667,0.98,0.4562096123499633,0.6430591007433113,1.224744871391589,0.7875833356370576,20,Active,1
2016/U10 Boys: Boston Elite Navy,MA,30,25,5,0,0.8333333333333334,169,61,108,0.8,0,0.0,30,1.0,2025-10-12,0.5322233025441583,22,0,0.8333333333333334,0.724,0.5322233025441583,0.6308006481931616,1.224744871391589,0.7725698587450647,29,Active,2
Wellesley Premier Club 2016 Boys FC,MA,30,24,4,0,0.8,151,43,108,0.8,0,0.0,30,1.0,2025-10-05,0.4993650793650793,21,0,0.8,0.724,0.4993650793650793,0.6044190476190476,1.224744871391589,0.7402591287428172,49,Active,3
North Shore 2016B AT Sky Blue,MA,30,22,6,0,0.7333333333333333,172,68,104,0.5,0,0.0,30,1.0,2025-10-13,0.5038202538202539,22,0,0.7333333333333333,0.716,0.5038202538202539,0.5921588189588189,1.224744871391589,0.7252434765691139,71,Active,4
New England Surf Metro South Boys 2016 Sky,MA,30,26,0,0,0.8666666666666667,171,36,135,0.8,2,0.06666666666666667,30,1.0,2025-10-12,0.4206626706626706,22,2,0.8666666666666667,0.778,0.4206626706626706,0.5813309357309357,1.224744871391589,0.711982082117737,102,Active,5
Boston Vigor FC Boys 2016 Milan,MA,30,21,9,0,0.7,113,60,53,1.0,2,0.06666666666666667,30,1.0,2025-10-05,0.522010582010582,21,2,0.7,0.614,0.522010582010582,0.5760063492063492,1.224744871391589,0.7054608220794688,112,Active,6
NEFC North Shore Boys 2016 Navy,MA,30,18,8,0,0.6,130,74,56,0.8,0,0.0,30,1.0,2025-10-12,0.5532129173508483,14,0,0.6,0.62,0.5532129173508483,0.5759277504105089,1.224744871391589,0.7053645586073659,113,Active,7
FC Juventud New England 2016 white,MA,30,16,12,0,0.5333333333333333,114,61,53,0.6,0,0.0,30,1.0,2025-10-05,0.5612781954887218,18,0,0.5333333333333333,0.614,0.5612781954887218,0.5662335839598998,1.224744871391589,0.6934916779645659,145,Active,8
MW 2016 Boys Blue,MA,30,15,15,0,0.5,130,127,3,0.3,0,0.0,30,1.0,2025-10-05,0.5898765432098766,18,0,0.5,0.514,0.5898765432098766,0.556725925925926,1.224744871391589,0.6818472225485115,177,Active,9
B2016 Navy,MA,30,22,8,0,0.7333333333333333,132,101,31,0.6,0,0.0,30,1.0,2025-10-05,0.46330019187162047,28,0,0.7333333333333333,0.57,0.46330019187162047,0.538646781789639,1.224744871391589,0.6597048834884447,276,Active,10
NEFC North Shore Boys 2016 Red,MA,30,17,11,0,0.5666666666666667,99,70,29,0.2,0,0.0,30,1.0,2025-10-12,0.49741595367729663,19,0,0.5666666666666667,0.566,0.49741595367729663,0.5249829055397113,1.224744871391589,0.6429701211280163,370,Active,11
Vipers 2016 Boys Black,MA,30,17,9,0,0.5666666666666667,98,86,12,0.4,0,0.0,30,1.0,2025-10-05,0.504199893673578,21,0,0.5666666666666667,0.532,0.504199893673578,0.5222532695374802,1.224744871391589,0.639627013433518,395,Active,12
South Shore 2016B AT Sky Blue Real,MA,30,14,14,0,0.4666666666666667,108,73,35,0.2,0,0.0,30,1.0,2025-10-13,0.5194564694564694,18,0,0.4666666666666667,0.578,0.5194564694564694,0.520607215007215,1.224744871391589,0.6376110165895448,411,Active,13
NEFC Metro West Boys 2016 Northboro Red,MA,30,21,5,0,0.7,177,61,116,0.7,0,0.0,30,1.0,2025-10-13,0.38421189458689453,20,0,0.7,0.74,0.38421189458689453,0.5185271367521367,1.224744871391589,0.6350634514145445,423,Active,14
New England Surf Metro South 2016 Boys Navy,MA,30,19,11,0,0.6333333333333333,132,81,51,0.6,0,0.0,30,1.0,2025-10-12,0.4380952380952381,17,0,0.6333333333333333,0.61,0.4380952380952381,0.5115238095238095,1.224744871391589,0.6264861623089737,469,Active,15
BEST FC 2016 Boys United,MA,30,18,10,0,0.6,119,91,28,0.9,0,0.0,30,1.0,2025-10-12,0.46342589083968394,24,0,0.6,0.564,0.46342589083968394,0.5108555345038104,1.224744871391589,0.6256676959055507,476,Active,16
FC Stars Northboro 2016 Boys Blue,MA,26,13,13,0,0.5,109,65,44,0.5,0,0.0,26,1.0,2025-09-28,0.546113146113146,14,0,0.5,0.596,0.546113146113146,0.5468678876678876,1.140175425099138,0.6235253262948015,497,Active,17
2016/U10 Boys: Boston Elite Sky Blue,MA,30,17,10,0,0.5666666666666667,130,81,49,0.3,0,0.0,30,1.0,2025-10-12,0.4566580478345185,21,0,0.5666666666666667,0.606,0.4566580478345185,0.5085281620340445,1.224744871391589,0.622817258409387,503,Active,18
